act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,2,11
1,1,1,1,2,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,4,28
1,1,1,1,3,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,5,48
1,1,1,1,4,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,2,8
1,1,1,1,5,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,4,31
1,1,1,1,6,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,7,61
1,1,1,1,7,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,9
1,1,1,1,8,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,2,19
1,1,1,1,9,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,4,31
1,1,1,1,10,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,2,10
1,1,1,1,11,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,1,4
1,1,1,1,12,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,1,6
1,1,1,1,13,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,15
1,1,1,1,14,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,9,66
1,1,1,1,15,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,7
1,1,1,1,16,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,6,53
1,1,1,1,17,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Helen_AWW,1,11
1,1,1,1,18,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,15
1,1,1,1,19,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,2,14
1,1,1,1,20,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,1,6
1,1,1,1,21,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,1,4
1,1,1,1,22,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,12,95
1,1,1,1,23,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,10
1,1,1,1,24,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Countess_AWW,1,5
1,1,1,1,25,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,2,14
1,1,2,2,26,#Bertram_AWW #Helen_AWW #Lafew_AWW,#Bertram_AWW,2,12
1,1,2,2,27,#Bertram_AWW #Helen_AWW #Lafew_AWW,#Lafew_AWW,2,11
1,1,3,3,28,#Helen_AWW,#Helen_AWW,20,163
1,1,4,4,29,#Helen_AWW #Parolles_AWW,#Helen_AWW,7,62
1,1,4,4,30,#Helen_AWW #Parolles_AWW,#Parolles_AWW,1,4
1,1,4,4,31,#Helen_AWW #Parolles_AWW,#Helen_AWW,1,3
1,1,4,4,32,#Helen_AWW #Parolles_AWW,#Parolles_AWW,1,1
1,1,4,4,33,#Helen_AWW #Parolles_AWW,#Helen_AWW,1,2
1,1,4,4,34,#Helen_AWW #Parolles_AWW,#Parolles_AWW,1,5
1,1,4,4,35,#Helen_AWW #Parolles_AWW,#Helen_AWW,3,27
1,1,4,4,36,#Helen_AWW #Parolles_AWW,#Parolles_AWW,1,3
1,1,4,4,37,#Helen_AWW #Parolles_AWW,#Helen_AWW,3,20
1,1,4,4,38,#Helen_AWW #Parolles_AWW,#Parolles_AWW,2,15
1,1,4,4,39,#Helen_AWW #Parolles_AWW,#Helen_AWW,3,19
1,1,4,4,40,#Helen_AWW #Parolles_AWW,#Parolles_AWW,11,90
1,1,4,4,41,#Helen_AWW #Parolles_AWW,#Helen_AWW,2,13
1,1,4,4,42,#Helen_AWW #Parolles_AWW,#Parolles_AWW,15,133
1,1,4,4,43,#Helen_AWW #Parolles_AWW,#Helen_AWW,2,12
