act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,3,24
1,1,1,1,2,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,4
1,1,1,1,3,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,7,52
1,1,1,1,4,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,4
1,1,1,1,5,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,5,44
1,1,1,1,6,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,3
1,1,1,1,7,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,9,74
1,1,1,1,8,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,4
1,1,1,1,9,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,3,16
1,1,1,1,10,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,5
1,1,1,1,11,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,28,219
1,1,1,1,12,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,3,20
1,1,1,1,13,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,6,46
1,1,1,1,14,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,5
1,1,1,1,15,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,1,3
1,1,1,1,16,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,3,21
1,1,1,1,17,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,3,17
1,1,1,1,18,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.2_Cym,1,5
1,1,1,1,19,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,#ATTENDANTS.1_Cym,2,11
1,1,2,3,20,#Imogen_Cym #Posthumus_Cym #Queen_Cym,#Queen_Cym,10,77
1,1,2,3,21,#Imogen_Cym #Posthumus_Cym #Queen_Cym,#Posthumus_Cym,2,8
1,1,2,3,22,#Imogen_Cym #Posthumus_Cym #Queen_Cym,#Queen_Cym,4,27
1,1,3,4,23,#Imogen_Cym #Posthumus_Cym,#Imogen_Cym,10,68
1,1,3,4,24,#Imogen_Cym #Posthumus_Cym,#Posthumus_Cym,10,75
