xml:id,corresp
ATTENDANTS.0.1_Cym,#ATTENDANTS_Cym
ATTENDANTS.0.2_Cym,#ATTENDANTS_Cym
ATTENDANTS.0_Cym,#ATTENDANTS_Cym
ATTENDANTS.1_Cym,#ATTENDANTS_Cym
ATTENDANTS.2_Cym,#ATTENDANTS_Cym
ATTENDANTS.3_Cym,#ATTENDANTS_Cym
ATTENDANTS.CLOTEN.1_Cym,#ATTENDANTS.CLOTEN_Cym
ATTENDANTS.CLOTEN.2_Cym,#ATTENDANTS.CLOTEN_Cym
ATTENDANTS.CLOTEN_Cym,#ATTENDANTS_Cym
ATTENDANTS.GENTLEMEN_Cym,#ATTENDANTS_Cym
ATTENDANTS_Cym,
Arviragus_Cym,
Belarius_Cym,
Cloten_Cym,
Cornelius_Cym,
Cymbeline_Cym,
Dutchman_Cym,
Frenchman_Cym,
GHOSTS.BROTHERS.1_Cym,#GHOSTS.BROTHERS_Cym
GHOSTS.BROTHERS.2_Cym,#GHOSTS.BROTHERS_Cym
GHOSTS.BROTHERS_Cym,#GHOSTS_Cym
GHOSTS.Father_Cym,#GHOSTS_Cym
GHOSTS.Mother_Cym,#GHOSTS_Cym
GHOSTS_Cym,
Guiderius_Cym,
Iachimo_Cym,
Imogen_Cym,
JAILERS.1_Cym,#JAILERS_Cym
JAILERS.2_Cym,#JAILERS_Cym
JAILERS_Cym,
Jupiter_Cym,
LADIES.IMOGEN_Cym,#LADIES_Cym
LADIES.QUEEN.0.1_Cym,#LADIES.QUEEN_Cym
LADIES.QUEEN_Cym,#LADIES_Cym
LADIES_Cym,
Lucius_Cym,
MESSENGERS.1_Cym,#MESSENGERS_Cym
MESSENGERS.2_Cym,#MESSENGERS_Cym
MESSENGERS_Cym,
MUSICIANS_Cym,
Philario_Cym,
Pisanio_Cym,
Posthumus_Cym,
Queen_Cym,
SENATORS.1_Cym,#SENATORS_Cym
SENATORS.2_Cym,#SENATORS_Cym
SENATORS_Cym,
SOLDIERS.BRITON.0.1_Cym,#SOLDIERS.BRITON_Cym
SOLDIERS.BRITON.0.2_Cym,#SOLDIERS.BRITON_Cym
SOLDIERS.BRITON.0_Cym,#SOLDIERS.BRITON_Cym
SOLDIERS.BRITON.CAPTAINS_Cym,#SOLDIERS.BRITON_Cym
SOLDIERS.BRITON_Cym,#SOLDIERS_Cym
SOLDIERS.ROMAN.0.1_Cym,#SOLDIERS.ROMAN_Cym
SOLDIERS.ROMAN.CAPTAINS_Cym,SOLDIERS.ROMAN_Cym
SOLDIERS.ROMAN_Cym,#SOLDIERS_Cym
SOLDIERS_Cym,
Soothsayer_Cym,
Spaniard_Cym,
TRIBUNES.0.1_Cym,#TRIBUNES_Cym
TRIBUNES_Cym,
