xml:id,corresp
AMBASSADORS.0.1_H5,#AMBASSADORS_H5
AMBASSADORS_H5,
ATTENDANTS.ENGLISH.0_H5,#ATTENDANTS.ENGLISH_H5
ATTENDANTS.ENGLISH.Huntington_H5,#ATTENDANTS.ENGLISH_H5
ATTENDANTS.ENGLISH_H5,#ATTENDANTS_H5
ATTENDANTS.FRENCH_H5,#ATTENDANTS_H5
ATTENDANTS_H5,
Alice_H5,
Bardolph_1H4,
Beaumont_H5,
Bedford_H5,
Berri_H5,
BishopOfCanterbury_H5,
BishopOfEly_H5,
Bourbon_H5,
Boy_H5,
Brittany_H5,
Burgundy_H5,
Cambridge_H5,
Chorus_H5,
Clarence_2H4,
Constable_H5,
Dauphin_H5,
Erpingham_H5,
Exeter_H5,
Fluellen_H5,
Gloucester_2H4,
Governor_H5,
Gower_H5,
Grandpre_H5,
Grey_H5,
HERALDS.1_H5,#HERALDS_H5
HERALDS_H5,
HenryV_H5,
Jamy_H5,
Katherine_H5,
KingOfFrance_H5,
MESSENGERS.X.1_H5,#MESSENGERS_H5
MESSENGERS.X.2_H5,#MESSENGERS_H5
MESSENGERS.X.3_H5,#MESSENGERS_H5
MESSENGERS_H5,
MacMorris_H5,
MistressQuickly_1H4,
Montjoy_H5,
Nym_H5,
Orleans_H5,
Pistol_2H4,
QueenOfFrance_H5,
Rambures_H5,
SOLDIERS.ENGLISH.Bates_H5,#SOLDIERS.ENGLISH_H5
SOLDIERS.ENGLISH.Court_H5,#SOLDIERS.ENGLISH_H5
SOLDIERS.ENGLISH.Williams_H5,#SOLDIERS.ENGLISH_H5
SOLDIERS.ENGLISH_H5,#SOLDIERS_H5
SOLDIERS.FRENCH.LeFer_H5,#SOLDIERS.FRENCH_H5
SOLDIERS.FRENCH_H5,#SOLDIERS_H5
SOLDIERS_H5,
Salisbury_H5,
Scroop_H5,
Warwick_2H4,
Westmoreland_1H4,
York_H5,
