xml:id,corresp
ATTENDANTS.0.1_2H6,#ATTENDANTS_2H6
ATTENDANTS.0_2H6,#ATTENDANTS_2H6
ATTENDANTS.YORK.0.1_2H6,#ATTENDANTS.YORK_2H6
ATTENDANTS.YORK.0.2_2H6,#ATTENDANTS.YORK_2H6
ATTENDANTS.YORK_2H6,#ATTENDANTS_2H6
ATTENDANTS_2H6,
Beadle_2H6,
Bevis_2H6,
Bolingbroke_2H6,
Buckingham_2H6,
CITIZENS.LONDON.0.1_2H6,#CITIZENS.LONDON_2H6
CITIZENS.LONDON_2H6,#CITIZENS_2H6
CITIZENS.STALBANS.0.1_2H6,#CITIZENS.STALBANS_2H6
CITIZENS.STALBANS.0_2H6,#CITIZENS.STALBANS_2H6
CITIZENS.STALBANS_2H6,#CITIZENS_2H6
CITIZENS_2H6,
Cade_2H6,
CardinalBeaufort_1H6,
Clerk_2H6,
Clifford_2H6,
Clifford_3H6,
Dick_2H6,
DuchessOfGloucester_2H6,
EdwardIV_3H6,
FALCONERS_2H6,
FOLLOWERS.CADE.0.1_2H6,#FOLLOWERS.CADE_2H6
FOLLOWERS.CADE.0_2H6,#FOLLOWERS.CADE_2H6
FOLLOWERS.CADE_2H6,
GENTLEMEN.1_2H6,#GENTLEMEN_2H6
GENTLEMEN.2_2H6,#GENTLEMEN_2H6
GENTLEMEN_2H6,
George_2H6,
Gloucester_2H4,
HERALDS.X.1_2H6,#HERALDS_2H6
HERALDS.X.2_2H6,#HERALDS_2H6
HERALDS_2H6,
HenryVI_1H6,
Holland_2H6,
Horner_2H6,
Hume_2H6,
Iden_2H6,
Jourdain_2H6,
Lieutenant_2H6,
MESSENGERS.1_2H6,#MESSENGERS_2H6
MESSENGERS.2_2H6,#MESSENGERS_2H6
MESSENGERS.Post_2H6,#MESSENGERS_2H6
MESSENGERS.X.1_2H6,#MESSENGERS_2H6
MESSENGERS.X.2_2H6,#MESSENGERS_2H6
MESSENGERS.X.3_2H6,#MESSENGERS_2H6
MESSENGERS_2H6,
MURDERERS.0.1_2H6,#MURDERERS_2H6
MURDERERS.0.2_2H6,#MURDERERS_2H6
MURDERERS_2H6,
Master_2H6,
Mate_2H6,
MayorOfStAlbans_2H6,
Michael_2H6,
NEIGHBORS.1_2H6,#NEIGHBORS_2H6
NEIGHBORS.2_2H6,#NEIGHBORS_2H6
NEIGHBORS.3_2H6,#NEIGHBORS_2H6
NEIGHBORS_2H6,
OFFICERS_2H6,
PETITIONERS.0.1_2H6,#PETITIONERS_2H6
PETITIONERS.0.2_2H6,#PETITIONERS_2H6
PETITIONERS_2H6,
PRENTICES.1_2H6,#PRENTICES_2H6
PRENTICES.2_2H6,#PRENTICES_2H6
PRENTICES.3_2H6,#PRENTICES_2H6
PRENTICES_2H6,
QueenMargaret_1H6,
RichardIII_R3,
SERVANTS.GLOUCESTER.0.1_2H6,#SERVANTS.GLOUCESTER_2H6
SERVANTS.GLOUCESTER_2H6,#SERVANTS_2H6
SERVANTS.IDEN_2H6,#SERVANTS_2H6
SERVANTS.SUFFOLK_2H6,#SERVANTS_2H6
SERVANTS.YORK.1_2H6,#SERVANTS_2H6
SERVANTS_2H6,
SOLDIERS.1_2H6,#SOLDIERS_2H6
SOLDIERS.HENRY_2H6,#SOLDIERS_2H6
SOLDIERS.YORK_2H6,#SOLDIERS_2H6
SOLDIERS_2H6,
Salisbury_2H6,
Sawyer_2H6,
Saye_2H6,
Scales_2H6,
Sheriff_2H6,
SimpcoxWife_2H6,
Simpcox_2H6,
Smith_2H6,
Somerset_1H6,
Southwell_2H6,
Spirit_2H6,
Stafford_2H6,
Stanley_2H6,
Suffolk_1H6,
Thump_2H6,
Vaux_2H6,
Warwick_2H6,
Whitmore_2H6,
WilliamStafford_2H6,
York_1H6,
