act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,1,8
1,1,1,1,2,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#Chatillion_Jn,3,20
1,1,1,1,3,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#QueenEleanor_Jn,1,5
1,1,1,1,4,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,1,6
1,1,1,1,5,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#Chatillion_Jn,9,60
1,1,1,1,6,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,1,7
1,1,1,1,7,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#Chatillion_Jn,2,15
1,1,1,1,8,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,2,16
1,1,1,1,9,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#Chatillion_Jn,2,14
1,1,1,1,10,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,8,63
1,1,2,2,11,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn,#QueenEleanor_Jn,8,60
1,1,2,2,12,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,1,8
1,1,2,2,13,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn,#QueenEleanor_Jn,4,36
1,1,3,3,14,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn #Sheriff_Jn,#Essex_Jn,3,25
1,1,3,3,15,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn #Sheriff_Jn,#KingJohn_Jn,1,3
1,1,4,4,16,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn,#KingJohn_Jn,2,10
