act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Kent_Lr,2,13
1,1,1,1,2,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,5,40
1,1,1,1,3,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Kent_Lr,1,7
1,1,1,1,4,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,3,23
1,1,1,1,5,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Kent_Lr,1,4
1,1,1,1,6,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,4,32
1,1,1,1,7,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Kent_Lr,2,13
1,1,1,1,8,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,7,62
1,1,1,1,9,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Edmund_Lr,1,3
1,1,1,1,10,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,2,11
1,1,1,1,11,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Edmund_Lr,1,5
1,1,1,1,12,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Kent_Lr,1,10
1,1,1,1,13,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Edmund_Lr,1,5
1,1,1,1,14,#Edmund_Lr #Gloucester_Lr #Kent_Lr,#Gloucester_Lr,2,15
1,1,2,2,15,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,#Lear_Lr,2,8
1,1,2,2,16,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,#Gloucester_Lr,1,4
