tag,type,n,text,xml:id,who,ana,lemma,facs,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#WITCHES.2_Mac', '#WITCHES.3_Mac', '#WITCHES.1_Mac'}",,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
stage,sound,SD 1.1.0,,snd-0000a,,thunder,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Thunder,fs-mac-0000070,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,and,fs-mac-0000090,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Lightning,fs-mac-0000110,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
pc,,SD 1.1.0,.,fs-mac-0000120,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Enter,fs-mac-0000140,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,three,fs-mac-0000160,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
w,,SD 1.1.0,Witches,fs-mac-0000180,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
pc,,SD 1.1.0,.,fs-mac-0000190,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
sp,,,,sp-0001,{'#WITCHES.1_Mac'},,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
l,,1.1.1,,ftln-0001,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
w,,1.1.1,When,fs-mac-0000230,,#crq-q,when,mac.1.1.0003,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,#WITCHES.1_Mac
c,,, ,,,,,,,,,,1,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac,1,
