act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,#Duke_MM,1,1
1,1,1,1,2,#ATTENDANTS_MM #Duke_MM #Escalus_MM,#Escalus_MM,1,2
1,1,1,1,3,#ATTENDANTS_MM #Duke_MM #Escalus_MM,#Duke_MM,20,154
1,1,1,1,4,#ATTENDANTS_MM #Duke_MM #Escalus_MM,#Escalus_MM,3,18
1,1,2,2,5,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Duke_MM,1,4
1,1,2,2,6,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Angelo_MM,2,12
1,1,2,2,7,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Duke_MM,22,157
1,1,2,2,8,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Angelo_MM,4,26
1,1,2,2,9,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Duke_MM,11,80
1,1,2,2,10,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Angelo_MM,2,14
1,1,2,2,11,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Duke_MM,11,91
1,1,2,2,12,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Angelo_MM,1,7
1,1,2,2,13,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Escalus_MM,1,8
1,1,2,2,14,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM,#Duke_MM,1,6
1,1,3,3,15,#ATTENDANTS_MM #Angelo_MM #Escalus_MM,#Escalus_MM,5,42
1,1,3,3,16,#ATTENDANTS_MM #Angelo_MM #Escalus_MM,#Angelo_MM,3,18
1,1,3,3,17,#ATTENDANTS_MM #Angelo_MM #Escalus_MM,#Escalus_MM,1,5
1,2,4,5,18,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,3,25
1,2,4,5,19,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,2,11
1,2,4,5,20,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,1
1,2,4,5,21,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,3,21
1,2,4,5,22,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,4
1,2,4,5,23,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,1,4
1,2,4,5,24,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,5,42
1,2,4,5,25,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,7
1,2,4,5,26,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,2,13
1,2,4,5,27,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,6
1,2,4,5,28,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,1,3
1,2,4,5,29,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,1,7
1,2,4,5,30,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,1,6
1,2,4,5,31,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,3,23
1,2,4,5,32,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,2,10
1,2,4,5,33,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,2,15
1,2,4,5,34,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,5,43
1,2,4,5,35,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,4,34
1,2,4,5,36,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,2,10
1,2,4,5,37,#GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,2,10
1,2,5,6,38,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,3,18
1,2,5,6,39,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,4
1,2,5,6,40,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,1,1
1,2,5,6,41,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,6
1,2,5,6,42,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,1,3
1,2,5,6,43,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,1,4
1,2,5,6,44,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,2,16
1,2,5,6,45,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,3,26
1,2,5,6,46,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,2,11
1,2,5,6,47,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Bawd_MM,2,17
1,2,5,6,48,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.2_MM,1,5
1,2,5,6,49,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Bawd_MM,1,6
1,2,5,6,50,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#GENTLEMEN.1_MM,1,6
1,2,5,6,51,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Bawd_MM,3,28
1,2,5,6,52,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Lucio_MM,2,16
1,2,5,6,53,#Bawd_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Lucio_MM,#Bawd_MM,2,15
