act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,2,15
1,1,1,1,2,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#MESSENGERS.LEONATO.1_Ado,2,16
1,1,1,1,3,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,2,9
1,1,1,1,4,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#MESSENGERS.LEONATO.1_Ado,1,9
1,1,1,1,5,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,4,28
1,1,1,1,6,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#MESSENGERS.LEONATO.1_Ado,6,49
1,1,1,1,7,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,2,14
1,1,1,1,8,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#MESSENGERS.LEONATO.1_Ado,4,29
1,1,1,1,9,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,1,6
1,1,1,1,10,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#MESSENGERS.LEONATO.1_Ado,1,3
1,1,1,1,11,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Leonato_Ado,4,30
1,1,1,1,12,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,#Beatrice_Ado,2,12
