xml:id,corresp
ATTENDANTS.0.1_R2,#ATTENDANTS_R2
ATTENDANTS.GAUNT_R2,#ATTENDANTS_R2
ATTENDANTS.HENRY_R2,#ATTENDANTS_R2
ATTENDANTS_R2,
AbbotOfWestminster_R2,
Aumerle_R2,
Bagot_R2,
Berkeley_R2,
BishopOfCarlisle_R2,
Bushy_R2,
DuchessOfGloucester_R2,
DuchessOfYork_R2,
Exton_R2,
Fitzwater_R2,
Gardener_R2,
Gaunt_R2,
Green_R2,
Groom_R2,
HERALDS.1_R2,#HERALDS_R2
HERALDS.2_R2,#HERALDS_R2
HERALDS.X_R2,#HERALDS_R2
HERALDS_R2,
HenryIV_1H4,
Hotspur_R2,
Jailer_R2,
LADIES.0.1_R2,#LADIES_R2
LADIES_R2,
LORDS.1_R2,#LORDS_R2
LORDS_R2,
LordMarshal_R2,
Mowbray_R2,
Northumberland_R2,
OFFICERS.0.1_R2,#OFFICERS_R2
OFFICERS.0_R2,#OFFICERS_R2
OFFICERS_R2,
Queen_R2,
RichardII_R2,
Ross_R2,
SERVANTS.EXTON.0.1_R2,#SERVANTS.EXTON_R2
SERVANTS.EXTON.0.2_R2,#SERVANTS.EXTON_R2
SERVANTS.EXTON_R2,
SERVANTS.GARDENER.1_R2,#SERVANTS.GARDENER_R2
SERVANTS.GARDENER.2_R2,#SERVANTS.GARDENER_R2
SERVANTS.GARDENER_R2,
SERVANTS.YORK.1_R2,#SERVANTS_R2
SERVANTS_R2,
SOLDIERS.HENRY_R2,#SOLDIERS_R2
SOLDIERS.RICHARD_R2,#SOLDIERS_R2
SOLDIERS_R2,
Salisbury_R2,
Scroop_R2,
Surrey_R2,
WelshCaptain_R2,
Willoughby_R2,
York_R2,
