act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
0,0,1,1,1,#Chorus_Rom,#Chorus_Rom,14,106
1,1,2,3,2,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,8
1,1,2,3,3,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,7
1,1,2,3,4,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,9
1,1,2,3,5,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,2,10
1,1,2,3,6,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,5
1,1,2,3,7,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,8
1,1,2,3,8,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,9
1,1,2,3,9,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,3,20
1,1,2,3,10,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,22
1,1,2,3,11,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,2,13
1,1,2,3,12,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,4,31
1,1,2,3,13,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,2,10
1,1,2,3,14,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,3,29
1,1,2,3,15,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,5
1,1,2,3,16,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,16
1,1,2,3,17,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,9
1,1,2,3,18,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,20
1,1,2,3,19,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET.Gregory_Rom,3,23
1,1,3,4,20,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,10
1,1,3,4,21,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,6
1,1,3,4,22,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,3
1,1,3,4,23,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,5
1,1,3,4,24,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,11
1,1,3,4,25,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,2,15
1,1,3,4,26,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,20
1,1,3,4,27,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE.Abram_Rom,1,8
1,1,3,4,28,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,6
1,1,3,4,29,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE.Abram_Rom,1,8
1,1,3,4,30,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,10
1,1,3,4,31,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,1
1,1,3,4,32,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,17
1,1,3,4,33,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,1,4
1,1,3,4,34,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE.Abram_Rom,1,4
1,1,3,4,35,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,17
1,1,3,4,36,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE.Abram_Rom,1,2
1,1,3,4,37,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,2
1,1,4,5,38,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Gregory_Rom,2,9
1,1,4,5,39,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,1,3
1,1,4,5,40,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE.Abram_Rom,1,2
1,1,4,5,41,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.CAPULET.Sampson_Rom,2,10
1,1,4,5,42,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom,#Benvolio_Rom,2,12
1,1,5,6,43,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Tybalt_Rom,2,15
1,1,5,6,44,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Benvolio_Rom,2,19
1,1,5,6,45,#Benvolio_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Tybalt_Rom,3,22
1,1,6,7,46,#Benvolio_Rom #CITIZENS_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#CITIZENS_Rom,2,16
1,1,7,8,47,#Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Capulet_Rom,1,10
1,1,7,8,48,#Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#LadyCapulet_Rom,2,10
1,1,8,9,49,#Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #LadyMontague_Rom #Montague_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Capulet_Rom,2,16
1,1,8,9,50,#Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #LadyMontague_Rom #Montague_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#Montague_Rom,1,9
1,1,8,9,51,#Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #LadyMontague_Rom #Montague_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#LadyMontague_Rom,1,10
1,1,9,10,52,#ATTENDANTS.PRINCE_Rom #Benvolio_Rom #CITIZENS_Rom #Capulet_Rom #LadyCapulet_Rom #LadyMontague_Rom #Montague_Rom #PrinceEscalus_Rom #SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom #SERVANTS.MONTAGUE.1_Rom #SERVANTS.MONTAGUE.Abram_Rom #Tybalt_Rom,#PrinceEscalus_Rom,23,166
1,1,10,11,53,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#Montague_Rom,2,15
1,1,10,11,54,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#Benvolio_Rom,10,81
1,1,10,11,55,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#LadyMontague_Rom,2,18
1,1,10,11,56,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#Benvolio_Rom,14,101
1,1,10,11,57,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#Montague_Rom,12,89
1,1,10,11,58,#Benvolio_Rom #LadyMontague_Rom #Montague_Rom,#Benvolio_Rom,1,8
