xml:id,corresp
ATTENDANTS.PRINCE_Rom,ATTENDANTS_Rom
ATTENDANTS_Rom,
Apothecary_Rom,
Benvolio_Rom,
Boy_Rom,
CITIZENS.0.1_Rom,#CITIZENS_Rom
CITIZENS_Rom,
Capulet_Rom,
Chorus_Rom,
Cousin_Rom,
FriarJohn_Rom,
FriarLawrence_Rom,
GUESTS_Rom,
Juliet_Rom,
LadyCapulet_Rom,
LadyMontague_Rom,
MASKERS_Rom,
MUSICIANS.0.1_Rom,#MUSICIANS.0_Rom
MUSICIANS.0.2_Rom,#MUSICIANS.0_Rom
MUSICIANS.0.3_Rom,#MUSICIANS.0_Rom
MUSICIANS_Rom,
Mercutio_Rom,
Montague_Rom,
Nurse_Rom,
Paris_Rom,
Petruchio_Rom,
PrinceEscalus_Rom,
Romeo_Rom,
SERVANTS.CAPULET.0.1_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.0.2_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.0.3_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.0_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.Gregory_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.Peter_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.Sampson_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.X.1_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET.X.2_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.CAPULET_Rom,#SERVANTS_Rom
SERVANTS.MONTAGUE.0.1_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.MONTAGUE.1_Rom,#SERVANTS.CAPULET_Rom
SERVANTS.MONTAGUE.Abram_Rom,#SERVANTS.MONTAGUE_Rom
SERVANTS.MONTAGUE.Balthasar_Rom,#SERVANTS.MONTAGUE_Rom
SERVANTS.MONTAGUE_Rom,#SERVANTS_Rom
SERVANTS.PARIS.1_Rom,#SERVANTS_Rom
SERVANTS.TYBALT.1_Rom,#SERVANTS_Rom
SERVANTS_Rom,
Tybalt_Rom,
WATCHMEN.0.1_Rom,#WATCHMEN_Rom
WATCHMEN.0.2_Rom,#WATCHMEN_Rom
WATCHMEN.0.3_Rom,#WATCHMEN_Rom
WATCHMEN_Rom,
