act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Archidamus_WT #Camillo_WT,#Archidamus_WT,4,34
1,1,1,1,2,#Archidamus_WT #Camillo_WT,#Camillo_WT,3,20
1,1,1,1,3,#Archidamus_WT #Camillo_WT,#Archidamus_WT,2,15
1,1,1,1,4,#Archidamus_WT #Camillo_WT,#Camillo_WT,1,2
1,1,1,1,5,#Archidamus_WT #Camillo_WT,#Archidamus_WT,6,47
1,1,1,1,6,#Archidamus_WT #Camillo_WT,#Camillo_WT,2,11
1,1,1,1,7,#Archidamus_WT #Camillo_WT,#Archidamus_WT,3,17
1,1,1,1,8,#Archidamus_WT #Camillo_WT,#Camillo_WT,12,89
1,1,1,1,9,#Archidamus_WT #Camillo_WT,#Archidamus_WT,5,39
1,1,1,1,10,#Archidamus_WT #Camillo_WT,#Camillo_WT,5,44
1,1,1,1,11,#Archidamus_WT #Camillo_WT,#Archidamus_WT,1,7
1,1,1,1,12,#Archidamus_WT #Camillo_WT,#Camillo_WT,2,13
1,1,1,1,13,#Archidamus_WT #Camillo_WT,#Archidamus_WT,2,17
1,2,2,3,14,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,9,67
1,2,2,3,15,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,2,10
1,2,2,3,16,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,6,44
1,2,2,3,17,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,2,11
1,2,2,3,18,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,3
1,2,2,3,19,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,1,3
1,2,2,3,20,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,3
1,2,2,3,21,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,2,13
1,2,2,3,22,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,10,72
1,2,2,3,23,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,2,5
1,2,2,3,24,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,6,50
1,2,2,3,25,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,1,3
1,2,2,3,26,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,12,94
1,2,2,3,27,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,2
1,2,2,3,28,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,1,4
1,2,2,3,29,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,4
1,2,2,3,30,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,12,87
1,2,2,3,31,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,4,23
1,2,2,3,32,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,4,27
1,2,2,3,33,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,4,25
1,2,2,3,34,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,2,10
1,2,2,3,35,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,10,66
1,2,2,3,36,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,2,8
1,2,2,3,37,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,5,36
1,2,2,3,38,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,7,53
1,2,2,3,39,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,1,4
1,2,2,3,40,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,1,4
1,2,2,3,41,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,3,15
1,2,2,3,42,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,1,1
1,2,2,3,43,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,1,3
1,2,2,3,44,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,13,108
1,2,2,3,45,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,6,34
1,2,2,3,46,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,4,28
1,2,2,3,47,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,13,100
1,2,2,3,48,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Mamillius_WT,1,4
1,2,2,3,49,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,9,58
1,2,2,3,50,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Mamillius_WT,1,6
1,2,2,3,51,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,21,157
1,2,2,3,52,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,3
1,2,2,3,53,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,1,4
1,2,2,3,54,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,1,3
1,2,2,3,55,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,1,9
1,2,2,3,56,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,3,16
1,2,2,3,57,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,12,84
1,2,2,3,58,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Mamillius_WT,1,5
1,2,2,3,59,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,3,26
1,2,2,3,60,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Polixenes_WT,7,48
1,2,2,3,61,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,8,50
1,2,2,3,62,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Hermione_WT,2,16
1,2,2,3,63,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT,#Leontes_WT,7,54
1,2,3,4,64,#Camillo_WT #Leontes_WT #Mamillius_WT,#Leontes_WT,26,198
1,2,3,4,65,#Camillo_WT #Leontes_WT #Mamillius_WT,#Mamillius_WT,1,6
1,2,3,4,66,#Camillo_WT #Leontes_WT #Mamillius_WT,#Leontes_WT,2,7
1,2,3,4,67,#Camillo_WT #Leontes_WT #Mamillius_WT,#Camillo_WT,1,4
1,2,3,4,68,#Camillo_WT #Leontes_WT #Mamillius_WT,#Leontes_WT,1,8
1,2,4,5,69,#Camillo_WT #Leontes_WT,#Leontes_WT,1,8
1,2,4,5,70,#Camillo_WT #Leontes_WT,#Camillo_WT,2,17
1,2,4,5,71,#Camillo_WT #Leontes_WT,#Leontes_WT,1,3
1,2,4,5,72,#Camillo_WT #Leontes_WT,#Camillo_WT,2,12
1,2,4,5,73,#Camillo_WT #Leontes_WT,#Leontes_WT,6,31
1,2,4,5,74,#Camillo_WT #Leontes_WT,#Camillo_WT,1,5
1,2,4,5,75,#Camillo_WT #Leontes_WT,#Leontes_WT,8,62
1,2,4,5,76,#Camillo_WT #Leontes_WT,#Camillo_WT,2,11
1,2,4,5,77,#Camillo_WT #Leontes_WT,#Leontes_WT,1,1
1,2,4,5,78,#Camillo_WT #Leontes_WT,#Camillo_WT,1,3
1,2,4,5,79,#Camillo_WT #Leontes_WT,#Leontes_WT,1,3
1,2,4,5,80,#Camillo_WT #Leontes_WT,#Camillo_WT,2,12
1,2,4,5,81,#Camillo_WT #Leontes_WT,#Leontes_WT,9,55
1,2,4,5,82,#Camillo_WT #Leontes_WT,#Camillo_WT,1,5
1,2,4,5,83,#Camillo_WT #Leontes_WT,#Leontes_WT,10,62
