xml:id,corresp
ATTENDANTS.ALCIBIADES_Tim,#ATTENDANTS_Tim
ATTENDANTS.TIMON.0.1_Tim,#ATTENDANTS.TIMON_Tim
ATTENDANTS.TIMON_Tim,#ATTENDANTS_Tim
ATTENDANTS_Tim,
Alcibiades_Tim,
Apemantus_Tim,
BANDITS.1_Tim,#BANDITS_Tim
BANDITS.2_Tim,#BANDITS_Tim
BANDITS.3_Tim,#BANDITS_Tim
BANDITS_Tim,
Cupid_Tim,
FRIENDS.0.1_Tim,#FRIENDS_Tim
FRIENDS.0.2_Tim,#FRIENDS_Tim
FRIENDS.0.3_Tim,#FRIENDS_Tim
FRIENDS.0.4_Tim,#FRIENDS_Tim
FRIENDS.0_Tim,#FRIENDS_Tim
FRIENDS.Lucius_Tim,
FRIENDS.Lucullus_Tim,
FRIENDS.Sempronius_Tim,
FRIENDS.Ventidius_Tim,
FRIENDS_Tim,
Flavius_Tim,
Fool_Tim,
Jeweler_Tim,
LADIES.0.1_Tim,#LADIES_Tim
LADIES_Tim,
LORDS.0.1_Tim,#LORDS_Tim
LORDS.0.2_Tim,#LORDS_Tim
LORDS.0.3_Tim,#LORDS_Tim
LORDS_Tim,
MESSENGERS.X.1_Tim,#MESSENGERS_Tim
MESSENGERS.X.2_Tim,#MESSENGERS_Tim
MESSENGERS.X.3_Tim,#MESSENGERS_Tim
MESSENGERS_Tim,
Merchant_Tim,
OldMan_Tim,
Painter_Tim,
Phrynia_Tim,
Poet_Tim,
SENATORS.0.1_Tim,#SENATORS_Tim
SENATORS.0.2_Tim,#SENATORS_Tim
SENATORS.0.3_Tim,#SENATORS_Tim
SENATORS.1_Tim,#SENATORS_Tim
SENATORS.2_Tim,#SENATORS_Tim
SENATORS.3_Tim,#SENATORS_Tim
SENATORS.4_Tim,#SENATORS_Tim
SENATORS.X_Tim,#SENATORS_Tim
SENATORS_Tim,
SERVANTS.Caphis_Tim,#SERVANTS_Tim
SERVANTS.Hortensius_Tim,#SERVANTS_Tim
SERVANTS.ISIDORE.1_Tim,#SERVANTS_Tim
SERVANTS.LUCIUS.1_Tim,#SERVANTS_Tim
SERVANTS.LUCULLUS.1_Tim,#SERVANTS_Tim
SERVANTS.Page_Tim,#SERVANTS_Tim
SERVANTS.Philotus_Tim,#SERVANTS_Tim
SERVANTS.TIMON.0.1_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.0.2_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.0.3_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.0_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.1_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.2_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.3_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.Flaminius_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.Lucilius_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.Servilius_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.X.1_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON.X.2_Tim,#SERVANTS.TIMON_Tim
SERVANTS.TIMON_Tim,#SERVANTS.TIMON_Tim
SERVANTS.Titus_Tim,#SERVANTS_Tim
SERVANTS.VARRO.1_Tim,#SERVANTS.VARRO_Tim
SERVANTS.VARRO.2_Tim,#SERVANTS.VARRO_Tim
SERVANTS.VARRO_Tim,#SERVANTS_Tim
SOLDIERS.1_Tim,#SOLDIERS_Tim
SOLDIERS_Tim,
STRANGERS.1_Tim,#STRANGERS_Tim
STRANGERS.2_Tim,#STRANGERS_Tim
STRANGERS.3_Tim,#STRANGERS_Tim
STRANGERS_Tim,
Timandra_Tim,
Timon_Tim,
