node1,node2,count
#ATTENDANTS_MND,#Bottom_MND,10
#ATTENDANTS_MND,#Demetrius_MND,20
#ATTENDANTS_MND,#Egeus_MND,4
#ATTENDANTS_MND,#Flute_MND,4
#ATTENDANTS_MND,#Helena_MND,18
#ATTENDANTS_MND,#Hermia_MND,19
#ATTENDANTS_MND,#Hippolyta_MND,25
#ATTENDANTS_MND,#Lysander_MND,21
#ATTENDANTS_MND,#Philostrate_MND,19
#ATTENDANTS_MND,#Quince_MND,2
#ATTENDANTS_MND,#Snout_MND,4
#ATTENDANTS_MND,#Snug_MND,5
#ATTENDANTS_MND,#Starveling_MND,6
#ATTENDANTS_MND,#Theseus_MND,25
#Bottom_MND,#FAIRIES.TITANIA.Cobweb_MND,2
#Bottom_MND,#FAIRIES.TITANIA.Mote_MND,3
#Bottom_MND,#FAIRIES.TITANIA.Mustardseed_MND,3
#Bottom_MND,#FAIRIES.TITANIA.Peaseblossom_MND,3
#Bottom_MND,#Flute_MND,8
#Bottom_MND,#Helena_MND,8
#Bottom_MND,#Oberon_MND,4
#Bottom_MND,#Quince_MND,7
#Bottom_MND,#RobinGoodfellow_MND,4
#Bottom_MND,#Snout_MND,9
#Bottom_MND,#Snug_MND,7
#Bottom_MND,#Starveling_MND,8
#Bottom_MND,#Titania_MND,6
#Demetrius_MND,#Bottom_MND,11
#Demetrius_MND,#Egeus_MND,2
#Demetrius_MND,#FAIRIES.OBERON_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.0.1_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.0.2_MND,1
#Demetrius_MND,#Flute_MND,4
#Demetrius_MND,#Helena_MND,25
#Demetrius_MND,#Hermia_MND,25
#Demetrius_MND,#Lysander_MND,29
#Demetrius_MND,#Oberon_MND,7
#Demetrius_MND,#Quince_MND,2
#Demetrius_MND,#RobinGoodfellow_MND,9
#Demetrius_MND,#Snout_MND,4
#Demetrius_MND,#Snug_MND,5
#Demetrius_MND,#Starveling_MND,6
#Demetrius_MND,#Titania_MND,1
#Egeus_MND,#Bottom_MND,3
