node1,node2,count
#ATTENDANTS_MND,#Bottom_MND,2
#ATTENDANTS_MND,#Demetrius_MND,3
#ATTENDANTS_MND,#Egeus_MND,2
#ATTENDANTS_MND,#FAIRIES.TITANIA.Cobweb_MND,1
#ATTENDANTS_MND,#FAIRIES.TITANIA.Mote_MND,1
#ATTENDANTS_MND,#FAIRIES.TITANIA.Mustardseed_MND,1
#ATTENDANTS_MND,#FAIRIES.TITANIA.Peaseblossom_MND,1
#ATTENDANTS_MND,#FAIRIES_MND,1
#ATTENDANTS_MND,#Flute_MND,1
#ATTENDANTS_MND,#Helena_MND,3
#ATTENDANTS_MND,#Hermia_MND,3
#ATTENDANTS_MND,#Hippolyta_MND,3
#ATTENDANTS_MND,#Lysander_MND,3
#ATTENDANTS_MND,#Oberon_MND,2
#ATTENDANTS_MND,#Philostrate_MND,2
#ATTENDANTS_MND,#Quince_MND,1
#ATTENDANTS_MND,#RobinGoodfellow_MND,2
#ATTENDANTS_MND,#Snout_MND,1
#ATTENDANTS_MND,#Snug_MND,1
#ATTENDANTS_MND,#Starveling_MND,1
#ATTENDANTS_MND,#Theseus_MND,3
#ATTENDANTS_MND,#Titania_MND,2
#Bottom_MND,#FAIRIES.TITANIA.Cobweb_MND,2
#Bottom_MND,#FAIRIES.TITANIA.Mote_MND,2
#Bottom_MND,#FAIRIES.TITANIA.Mustardseed_MND,2
#Bottom_MND,#FAIRIES.TITANIA.Peaseblossom_MND,2
#Bottom_MND,#FAIRIES_MND,1
#Bottom_MND,#Flute_MND,4
#Bottom_MND,#Oberon_MND,2
#Bottom_MND,#Quince_MND,4
#Bottom_MND,#RobinGoodfellow_MND,3
#Bottom_MND,#Snout_MND,4
#Bottom_MND,#Snug_MND,4
#Bottom_MND,#Starveling_MND,4
#Bottom_MND,#Titania_MND,3
#Demetrius_MND,#Bottom_MND,2
#Demetrius_MND,#Egeus_MND,2
#Demetrius_MND,#FAIRIES.OBERON_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.0.1_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.0.2_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.1_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.Cobweb_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.Mote_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.Mustardseed_MND,1
#Demetrius_MND,#FAIRIES.TITANIA.Peaseblossom_MND,1
#Demetrius_MND,#FAIRIES.TITANIA_MND,2
#Demetrius_MND,#FAIRIES_MND,1
#Demetrius_MND,#Flute_MND,1
#Demetrius_MND,#Helena_MND,6
#Demetrius_MND,#Hermia_MND,5
