act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Hippolyta_MND,35,5,108,16
1,1,1,#Theseus_MND,73,11,108,16
1,1,2,#Theseus_MND,29,4,29,4
1,1,3,#Demetrius_MND,13,2,799,109
1,1,3,#Egeus_MND,217,30,799,109
1,1,3,#Hermia_MND,101,13,799,109
1,1,3,#Lysander_MND,102,14,799,109
1,1,3,#Theseus_MND,366,50,799,109
1,1,4,#Hermia_MND,168,22,413,53
1,1,4,#Lysander_MND,245,31,413,53
1,1,5,#Helena_MND,142,19,353,47
1,1,5,#Hermia_MND,163,21,353,47
1,1,5,#Lysander_MND,48,7,353,47
1,1,6,#Lysander_MND,10,2,10,2
1,1,7,#Helena_MND,208,26,208,26
1,2,8,#Bottom_MND,375,53,764,107
1,2,8,#Flute_MND,29,5,764,107
1,2,8,#Quince_MND,348,47,764,107
1,2,8,#Snout_MND,10,2,764,107
1,2,8,#Snug_MND,27,3,764,107
1,2,8,#Starveling_MND,10,2,764,107
2,1,9,#FAIRIES.TITANIA.1_MND,187,28,434,61
2,1,9,#RobinGoodfellow_MND,247,33,434,61
2,1,10,#Oberon_MND,106,16,651,89
2,1,10,#Titania_MND,545,73,651,89
2,1,11,#Oberon_MND,221,29,234,32
2,1,11,#RobinGoodfellow_MND,13,3,234,32
2,1,12,#Oberon_MND,93,12,93,12
2,1,13,#Demetrius_MND,190,23,464,55
2,1,13,#Helena_MND,274,32,464,55
2,1,14,#Helena_MND,18,2,18,2
2,1,15,#Oberon_MND,20,2,20,2
2,1,16,#Oberon_MND,165,21,178,23
2,1,16,#RobinGoodfellow_MND,13,2,178,23
2,2,17,#Titania_MND,67,8,67,8
2,2,18,#FAIRIES.TITANIA.0.1_MND,44,8,104,22
2,2,18,#FAIRIES.TITANIA_MND,60,14,104,22
2,2,19,#FAIRIES.TITANIA.0.2_MND,10,2,10,2
2,2,20,#Oberon_MND,53,8,53,8
2,2,21,#Hermia_MND,108,14,251,31
2,2,21,#Lysander_MND,143,17,251,31
2,2,22,#RobinGoodfellow_MND,105,18,105,18
2,2,23,#Demetrius_MND,18,2,34,4
2,2,23,#Helena_MND,16,2,34,4
2,2,24,#Helena_MND,240,31,377,48
2,2,24,#Lysander_MND,137,17,377,48
2,2,25,#Lysander_MND,79,10,79,10
2,2,26,#Hermia_MND,96,12,96,12
3,1,27,#Bottom_MND,337,40,590,75
3,1,27,#Quince_MND,189,24,590,75
3,1,27,#Snout_MND,46,8,590,75
3,1,27,#Starveling_MND,18,3,590,75
3,1,28,#Bottom_MND,36,5,74,11
3,1,28,#Quince_MND,7,2,74,11
3,1,28,#RobinGoodfellow_MND,31,4,74,11
3,1,29,#RobinGoodfellow_MND,7,1,7,1
3,1,30,#Flute_MND,56,9,114,16
3,1,30,#Quince_MND,58,7,114,16
3,1,31,#Bottom_MND,10,1,22,3
3,1,31,#Quince_MND,12,2,22,3
3,1,32,#RobinGoodfellow_MND,52,7,52,7
3,1,33,#Bottom_MND,15,2,15,2
3,1,34,#Bottom_MND,13,2,24,4
3,1,34,#Snout_MND,11,2,24,4
3,1,35,#Quince_MND,8,2,8,2
3,1,36,#Bottom_MND,71,9,71,9
3,1,37,#Bottom_MND,114,16,263,34
3,1,37,#Titania_MND,149,18,263,34
3,1,38,#Bottom_MND,111,16,249,44
3,1,38,#FAIRIES.TITANIA.Cobweb_MND,8,4,249,44
3,1,38,#FAIRIES.TITANIA.Mote_MND,7,3,249,44
3,1,38,#FAIRIES.TITANIA.Mustardseed_MND,8,4,249,44
3,1,38,#FAIRIES.TITANIA.Peaseblossom_MND,8,4,249,44
3,1,38,#Titania_MND,119,16,249,44
3,2,39,#Oberon_MND,23,3,23,3
3,2,40,#Oberon_MND,41,5,287,39
3,2,40,#RobinGoodfellow_MND,246,34,287,39
3,2,41,#Demetrius_MND,93,11,342,41
3,2,41,#Hermia_MND,233,28,342,41
3,2,41,#Oberon_MND,7,1,342,41
3,2,41,#RobinGoodfellow_MND,9,1,342,41
3,2,42,#Demetrius_MND,49,6,160,20
3,2,42,#Oberon_MND,81,10,160,20
3,2,42,#RobinGoodfellow_MND,30,4,160,20
3,2,43,#Oberon_MND,44,8,44,8
3,2,44,#Oberon_MND,11,2,67,12
3,2,44,#RobinGoodfellow_MND,56,10,67,12
3,2,45,#Demetrius_MND,126,16,461,57
3,2,45,#Helena_MND,210,26,461,57
3,2,45,#Lysander_MND,125,15,461,57
