act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Theseus_MND,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,43,6
1,1,1,2,#Hippolyta_MND,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,35,5
1,1,1,3,#Theseus_MND,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,30,5
1,1,2,4,#Theseus_MND,#ATTENDANTS_MND #Hippolyta_MND #Theseus_MND,29,4
1,1,3,5,#Egeus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,6,1
1,1,3,6,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,8,1
1,1,3,7,#Egeus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,173,24
1,1,3,8,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,54,7
1,1,3,9,#Hermia_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,3,1
1,1,3,10,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,19,3
1,1,3,11,#Hermia_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,9,1
1,1,3,12,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,8,1
1,1,3,13,#Hermia_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,58,7
1,1,3,14,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,102,14
1,1,3,15,#Hermia_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,31,4
1,1,3,16,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,56,8
1,1,3,17,#Demetrius_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,13,2
1,1,3,18,#Lysander_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,14,2
1,1,3,19,#Egeus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,31,4
1,1,3,20,#Lysander_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,88,12
1,1,3,21,#Theseus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,119,16
1,1,3,22,#Egeus_MND,#ATTENDANTS_MND #Demetrius_MND #Egeus_MND #Hermia_MND #Hippolyta_MND #Lysander_MND #Theseus_MND,7,1
1,1,4,23,#Lysander_MND,#Hermia_MND #Lysander_MND,19,2
1,1,4,24,#Hermia_MND,#Hermia_MND #Lysander_MND,17,2
1,1,4,25,#Lysander_MND,#Hermia_MND #Lysander_MND,32,4
1,1,4,26,#Hermia_MND,#Hermia_MND #Lysander_MND,9,1
1,1,4,27,#Lysander_MND,#Hermia_MND #Lysander_MND,7,1
1,1,4,28,#Hermia_MND,#Hermia_MND #Lysander_MND,9,1
1,1,4,29,#Lysander_MND,#Hermia_MND #Lysander_MND,9,1
1,1,4,30,#Hermia_MND,#Hermia_MND #Lysander_MND,8,1
1,1,4,31,#Lysander_MND,#Hermia_MND #Lysander_MND,72,9
1,1,4,32,#Hermia_MND,#Hermia_MND #Lysander_MND,44,6
1,1,4,33,#Lysander_MND,#Hermia_MND #Lysander_MND,99,13
1,1,4,34,#Hermia_MND,#Hermia_MND #Lysander_MND,81,11
1,1,4,35,#Lysander_MND,#Hermia_MND #Lysander_MND,7,1
1,1,5,36,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,5,1
1,1,5,37,#Helena_MND,#Helena_MND #Hermia_MND #Lysander_MND,106,14
1,1,5,38,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,9,1
1,1,5,39,#Helena_MND,#Helena_MND #Hermia_MND #Lysander_MND,10,2
1,1,5,40,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,9,1
1,1,5,41,#Helena_MND,#Helena_MND #Hermia_MND #Lysander_MND,8,1
1,1,5,42,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,9,1
1,1,5,43,#Helena_MND,#Helena_MND #Hermia_MND #Lysander_MND,9,1
1,1,5,44,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,8,1
1,1,5,45,#Helena_MND,#Helena_MND #Hermia_MND #Lysander_MND,9,1
1,1,5,46,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,48,6
1,1,5,47,#Lysander_MND,#Helena_MND #Hermia_MND #Lysander_MND,44,6
1,1,5,48,#Hermia_MND,#Helena_MND #Hermia_MND #Lysander_MND,75,10
1,1,5,49,#Lysander_MND,#Helena_MND #Hermia_MND #Lysander_MND,4,1
1,1,6,50,#Lysander_MND,#Helena_MND #Lysander_MND,10,2
1,1,7,51,#Helena_MND,#Helena_MND,208,26
1,2,8,52,#Quince_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,5,1
1,2,8,53,#Bottom_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,14,2
1,2,8,54,#Quince_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,32,4
1,2,8,55,#Bottom_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,23,3
1,2,8,56,#Quince_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,16,3
1,2,8,57,#Bottom_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,26,3
1,2,8,58,#Quince_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,9,1
1,2,8,59,#Bottom_MND,#Bottom_MND #Flute_MND #Quince_MND #Snout_MND #Snug_MND #Starveling_MND,9,2
