act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Bertram_AWW,64,10,581,79
1,1,1,#Countess_AWW,332,43,581,79
1,1,1,#Helen_AWW,11,1,581,79
1,1,1,#Lafew_AWW,174,25,581,79
1,1,2,#Bertram_AWW,12,2,23,4
1,1,2,#Lafew_AWW,11,2,23,4
1,1,3,#Helen_AWW,163,20,163,20
1,1,4,#Helen_AWW,302,42,677,89
1,1,4,#Parolles_AWW,375,47,677,89
1,1,5,#Helen_AWW,77,11,200,29
1,1,5,#Page_AWW,7,1,200,29
1,1,5,#Parolles_AWW,116,17,200,29
1,1,6,#Helen_AWW,116,14,116,14
1,2,7,#King_AWW,18,3,18,3
1,2,8,#ATTENDANTS.KING.0.1_AWW,18,4,91,15
1,2,8,#King_AWW,73,11,91,15
1,2,9,#ATTENDANTS.KING.0.2_AWW,16,3,16,3
1,2,10,#ATTENDANTS.KING.0.1_AWW,10,2,478,65
1,2,10,#ATTENDANTS.KING.0.2_AWW,13,2,478,65
1,2,10,#Bertram_AWW,41,7,478,65
1,2,10,#King_AWW,414,54,478,65
1,3,11,#Countess_AWW,151,26,734,98
1,3,11,#Fool_AWW,523,65,734,98
1,3,11,#Steward_AWW,60,7,734,98
1,3,12,#Countess_AWW,99,13,247,31
1,3,12,#Steward_AWW,148,18,247,31
1,3,13,#Countess_AWW,544,72,1062,144
1,3,13,#Helen_AWW,518,72,1062,144
2,1,14,#Bertram_AWW,65,9,367,54
2,1,14,#King_AWW,149,21,367,54
2,1,14,#LORDS.DUMAINE.1_AWW,48,9,367,54
2,1,14,#LORDS.DUMAINE.2_AWW,19,4,367,54
2,1,14,#Parolles_AWW,91,12,367,54
2,1,15,#Bertram_AWW,8,2,94,14
2,1,15,#Parolles_AWW,86,12,94,14
2,1,16,#King_AWW,60,10,277,39
2,1,16,#Lafew_AWW,217,29,277,39
2,1,17,#King_AWW,5,1,47,7
2,1,17,#Lafew_AWW,42,6,47,7
2,1,18,#Helen_AWW,527,68,889,117
2,1,18,#King_AWW,362,49,889,117
2,2,19,#Countess_AWW,233,32,542,67
2,2,19,#Fool_AWW,309,35,542,67
2,3,20,#Bertram_AWW,3,1,255,39
2,3,20,#Lafew_AWW,113,19,255,39
2,3,20,#Parolles_AWW,139,19,255,39
2,3,21,#King_AWW,42,6,93,13
2,3,21,#Lafew_AWW,32,4,93,13
2,3,21,#Parolles_AWW,19,3,93,13
2,3,22,#Bertram_AWW,145,19,1077,145
2,3,22,#Helen_AWW,249,35,1077,145
2,3,22,#King_AWW,549,73,1077,145
2,3,22,#LORDS.COURT.1_AWW,11,2,1077,145
