act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Bertram_AWW,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,64,10
1,1,1,#Countess_AWW,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,332,43
1,1,1,#Helen_AWW,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,11,1
1,1,1,#Lafew_AWW,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,174,25
1,1,2,#Bertram_AWW,#Bertram_AWW #Helen_AWW #Lafew_AWW,12,2
1,1,2,#Lafew_AWW,#Bertram_AWW #Helen_AWW #Lafew_AWW,11,2
1,1,3,#Helen_AWW,#Helen_AWW,163,20
1,1,4,#Helen_AWW,#Helen_AWW #Parolles_AWW,302,42
1,1,4,#Parolles_AWW,#Helen_AWW #Parolles_AWW,375,47
1,1,5,#Helen_AWW,#Helen_AWW #Page_AWW #Parolles_AWW,77,11
1,1,5,#Page_AWW,#Helen_AWW #Page_AWW #Parolles_AWW,7,1
1,1,5,#Parolles_AWW,#Helen_AWW #Page_AWW #Parolles_AWW,116,17
1,1,6,#Helen_AWW,#Helen_AWW,116,14
1,2,7,#King_AWW,#ATTENDANTS.KING_AWW #King_AWW,18,3
1,2,8,#ATTENDANTS.KING.0.1_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING_AWW #King_AWW,18,4
1,2,8,#King_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING_AWW #King_AWW,73,11
1,2,9,#ATTENDANTS.KING.0.2_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #King_AWW,16,3
1,2,10,#ATTENDANTS.KING.0.1_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Lafew_AWW #Parolles_AWW,10,2
1,2,10,#ATTENDANTS.KING.0.2_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Lafew_AWW #Parolles_AWW,13,2
1,2,10,#Bertram_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Lafew_AWW #Parolles_AWW,41,7
1,2,10,#King_AWW,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Lafew_AWW #Parolles_AWW,414,54
1,3,11,#Countess_AWW,#Countess_AWW #Fool_AWW #Steward_AWW,151,26
1,3,11,#Fool_AWW,#Countess_AWW #Fool_AWW #Steward_AWW,523,65
1,3,11,#Steward_AWW,#Countess_AWW #Fool_AWW #Steward_AWW,60,7
1,3,12,#Countess_AWW,#Countess_AWW #Steward_AWW,99,13
1,3,12,#Steward_AWW,#Countess_AWW #Steward_AWW,148,18
1,3,13,#Countess_AWW,#Countess_AWW #Helen_AWW,544,72
1,3,13,#Helen_AWW,#Countess_AWW #Helen_AWW,518,72
2,1,14,#Bertram_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,65,9
2,1,14,#King_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,149,21
2,1,14,#LORDS.DUMAINE.1_AWW,#ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW,43,8
