node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.KING.0.1_AWW,589,32,84,7
#ATTENDANTS.KING.0.2_AWW,1994,29,273,5
#ATTENDANTS.KING_AWW,6223,0,855,0
#ATTENDANTS_AWW,305,0,45,0
#Bertram_AWW,9860,2033,1362,289
#CITIZENS_AWW,785,0,120,0
#Countess_AWW,7900,2175,1060,299
#Diana_AWW,3515,1024,495,142
#Duke_AWW,271,124,41,19
#Epilogue_AWW,52,52,6,6
#Fool_AWW,2733,1671,355,200
#GENTLEMEN.1_AWW,423,61,65,11
#GENTLEMEN.2_AWW,423,79,65,13
#GENTLEMEN.3_AWW,453,125,64,21
#Helen_AWW,8133,3586,1121,485
#King_AWW,6223,2831,855,384
#LORDS.COURT.1_AWW,1077,11,145,2
#LORDS.COURT.2_AWW,1077,13,145,2
#LORDS.COURT.3_AWW,1077,8,145,1
#LORDS.COURT.4_AWW,1077,14,145,2
#LORDS.DUMAINE.1_AWW,7381,1100,1021,159
#LORDS.DUMAINE.2_AWW,6766,837,926,112
#Lafew_AWW,7700,2219,1042,289
#Mariana_AWW,785,172,120,22
#Page_AWW,200,7,29,1
#Parolles_AWW,9165,2995,1268,400
#SOLDIERS.0.1_AWW,26,7,5,2
#SOLDIERS.Interpreter_AWW,3065,607,431,97
#SOLDIERS_AWW,1868,7,273,1
#Servant_AWW,215,34,28,4
#Steward_AWW,1325,345,173,43
#Widow_AWW,3175,435,450,67
