node1,node2,n_lines,n_tokens
#Bertram_AWW,1.01.0001,79,581
#Countess_AWW,1.01.0001,79,581
#Helen_AWW,1.01.0001,79,581
#Lafew_AWW,1.01.0001,79,581
#Bertram_AWW,1.01.0002,4,23
#Helen_AWW,1.01.0002,4,23
#Lafew_AWW,1.01.0002,4,23
#Helen_AWW,1.01.0003,20,163
#Helen_AWW,1.01.0004,89,677
#Parolles_AWW,1.01.0004,89,677
#Helen_AWW,1.01.0005,29,200
#Page_AWW,1.01.0005,29,200
#Parolles_AWW,1.01.0005,29,200
#Helen_AWW,1.01.0006,14,116
#ATTENDANTS.KING_AWW,1.02.0007,3,18
#King_AWW,1.02.0007,3,18
#ATTENDANTS.KING.0.1_AWW,1.02.0008,15,91
#ATTENDANTS.KING_AWW,1.02.0008,15,91
#King_AWW,1.02.0008,15,91
#ATTENDANTS.KING.0.1_AWW,1.02.0009,3,16
#ATTENDANTS.KING.0.2_AWW,1.02.0009,3,16
#ATTENDANTS.KING_AWW,1.02.0009,3,16
#King_AWW,1.02.0009,3,16
#ATTENDANTS.KING.0.1_AWW,1.02.0010,65,478
#ATTENDANTS.KING.0.2_AWW,1.02.0010,65,478
#ATTENDANTS.KING_AWW,1.02.0010,65,478
#Bertram_AWW,1.02.0010,65,478
#King_AWW,1.02.0010,65,478
#Lafew_AWW,1.02.0010,65,478
#Parolles_AWW,1.02.0010,65,478
#Countess_AWW,1.03.0011,98,734
#Fool_AWW,1.03.0011,98,734
#Steward_AWW,1.03.0011,98,734
#Countess_AWW,1.03.0012,31,247
#Steward_AWW,1.03.0012,31,247
#Countess_AWW,1.03.0013,144,1062
#Helen_AWW,1.03.0013,144,1062
#ATTENDANTS.KING_AWW,2.01.0014,54,367
#Bertram_AWW,2.01.0014,54,367
#King_AWW,2.01.0014,54,367
#LORDS.DUMAINE.1_AWW,2.01.0014,54,367
#LORDS.DUMAINE.2_AWW,2.01.0014,54,367
#Parolles_AWW,2.01.0014,54,367
#ATTENDANTS.KING_AWW,2.01.0015,14,94
#Bertram_AWW,2.01.0015,14,94
#King_AWW,2.01.0015,14,94
#Parolles_AWW,2.01.0015,14,94
#ATTENDANTS.KING_AWW,2.01.0016,39,277
#King_AWW,2.01.0016,39,277
#Lafew_AWW,2.01.0016,39,277
#ATTENDANTS.KING_AWW,2.01.0017,7,47
#Helen_AWW,2.01.0017,7,47
#King_AWW,2.01.0017,7,47
#Lafew_AWW,2.01.0017,7,47
#ATTENDANTS.KING_AWW,2.01.0018,117,889
#Helen_AWW,2.01.0018,117,889
#King_AWW,2.01.0018,117,889
#Countess_AWW,2.02.0019,67,542
#Fool_AWW,2.02.0019,67,542
#Bertram_AWW,2.03.0020,39,255
#Lafew_AWW,2.03.0020,39,255
#Parolles_AWW,2.03.0020,39,255
#ATTENDANTS.KING_AWW,2.03.0021,13,93
#Bertram_AWW,2.03.0021,13,93
#Helen_AWW,2.03.0021,13,93
#King_AWW,2.03.0021,13,93
#Lafew_AWW,2.03.0021,13,93
#Parolles_AWW,2.03.0021,13,93
#ATTENDANTS.KING_AWW,2.03.0022,145,1077
#Bertram_AWW,2.03.0022,145,1077
#Helen_AWW,2.03.0022,145,1077
#King_AWW,2.03.0022,145,1077
#LORDS.COURT.1_AWW,2.03.0022,145,1077
