node,node_type
#ATTENDANTS.KING.0.1_AWW,character
#ATTENDANTS.KING.0.2_AWW,character
#ATTENDANTS.KING_AWW,character
#ATTENDANTS_AWW,character
#Bertram_AWW,character
#CITIZENS_AWW,character
#Countess_AWW,character
#Diana_AWW,character
#Duke_AWW,character
#Epilogue_AWW,character
#Fool_AWW,character
#GENTLEMEN.1_AWW,character
#GENTLEMEN.2_AWW,character
#GENTLEMEN.3_AWW,character
#Helen_AWW,character
#King_AWW,character
#LORDS.COURT.1_AWW,character
#LORDS.COURT.2_AWW,character
#LORDS.COURT.3_AWW,character
#LORDS.COURT.4_AWW,character
#LORDS.DUMAINE.1_AWW,character
#LORDS.DUMAINE.2_AWW,character
#Lafew_AWW,character
#Mariana_AWW,character
#Page_AWW,character
#Parolles_AWW,character
#SOLDIERS.0.1_AWW,character
#SOLDIERS.Interpreter_AWW,character
#SOLDIERS_AWW,character
#Servant_AWW,character
#Steward_AWW,character
#Widow_AWW,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.01.0006,text_unit
1.02.0007,text_unit
1.02.0008,text_unit
1.02.0009,text_unit
1.02.0010,text_unit
1.03.0011,text_unit
1.03.0012,text_unit
1.03.0013,text_unit
2.01.0014,text_unit
2.01.0015,text_unit
2.01.0016,text_unit
2.01.0017,text_unit
2.01.0018,text_unit
2.02.0019,text_unit
2.03.0020,text_unit
2.03.0021,text_unit
2.03.0022,text_unit
2.03.0023,text_unit
2.03.0024,text_unit
2.03.0025,text_unit
2.03.0026,text_unit
2.03.0027,text_unit
2.04.0028,text_unit
2.04.0029,text_unit
2.04.0030,text_unit
2.05.0031,text_unit
2.05.0032,text_unit
2.05.0033,text_unit
2.05.0034,text_unit
2.05.0035,text_unit
3.01.0036,text_unit
3.02.0037,text_unit
3.02.0038,text_unit
3.02.0039,text_unit
3.02.0040,text_unit
3.02.0041,text_unit
3.03.0042,text_unit
3.04.0043,text_unit
3.05.0044,text_unit
3.05.0045,text_unit
3.05.0046,text_unit
3.05.0047,text_unit
3.06.0048,text_unit
3.06.0049,text_unit
3.06.0050,text_unit
3.06.0051,text_unit
3.07.0052,text_unit
4.01.0053,text_unit
4.01.0054,text_unit
4.01.0055,text_unit
4.01.0056,text_unit
4.02.0057,text_unit
4.02.0058,text_unit
4.03.0059,text_unit
4.03.0060,text_unit
4.03.0061,text_unit
4.03.0062,text_unit
4.03.0063,text_unit
4.03.0064,text_unit
4.03.0065,text_unit
4.04.0066,text_unit
4.05.0067,text_unit
4.05.0068,text_unit
4.05.0069,text_unit
5.01.0070,text_unit
5.01.0071,text_unit
5.02.0072,text_unit
5.02.0073,text_unit
5.02.0074,text_unit
5.03.0075,text_unit
5.03.0076,text_unit
5.03.0077,text_unit
5.03.0078,text_unit
5.03.0079,text_unit
5.03.0080,text_unit
5.03.0081,text_unit
5.03.0082,text_unit
5.03.0083,text_unit
5.03.0084,text_unit
5.03.0085,text_unit
5.03.0086,text_unit
6.00.0087,text_unit
