node1,node2,n_lines,n_tokens
#Bertram_AWW,1.01,235,1760
#Countess_AWW,1.01,235,1760
#Helen_AWW,1.01,235,1760
#Lafew_AWW,1.01,235,1760
#Page_AWW,1.01,235,1760
#Parolles_AWW,1.01,235,1760
#ATTENDANTS.KING.0.1_AWW,1.02,86,603
#ATTENDANTS.KING.0.2_AWW,1.02,86,603
#ATTENDANTS.KING_AWW,1.02,86,603
#Bertram_AWW,1.02,86,603
#King_AWW,1.02,86,603
#Lafew_AWW,1.02,86,603
#Parolles_AWW,1.02,86,603
#Countess_AWW,1.03,273,2043
#Fool_AWW,1.03,273,2043
#Helen_AWW,1.03,273,2043
#Steward_AWW,1.03,273,2043
#ATTENDANTS.KING_AWW,2.01,231,1674
#Bertram_AWW,2.01,231,1674
#Helen_AWW,2.01,231,1674
#King_AWW,2.01,231,1674
#LORDS.DUMAINE.1_AWW,2.01,231,1674
#LORDS.DUMAINE.2_AWW,2.01,231,1674
#Lafew_AWW,2.01,231,1674
#Parolles_AWW,2.01,231,1674
#Countess_AWW,2.02,67,542
#Fool_AWW,2.02,67,542
#ATTENDANTS.KING_AWW,2.03,316,2358
#Bertram_AWW,2.03,316,2358
#Helen_AWW,2.03,316,2358
#King_AWW,2.03,316,2358
#LORDS.COURT.1_AWW,2.03,316,2358
#LORDS.COURT.2_AWW,2.03,316,2358
#LORDS.COURT.3_AWW,2.03,316,2358
#LORDS.COURT.4_AWW,2.03,316,2358
#Lafew_AWW,2.03,316,2358
#Parolles_AWW,2.03,316,2358
#Fool_AWW,2.04,58,423
#Helen_AWW,2.04,58,423
#Parolles_AWW,2.04,58,423
#Bertram_AWW,2.05,103,723
#Helen_AWW,2.05,103,723
#Lafew_AWW,2.05,103,723
#Parolles_AWW,2.05,103,723
#Duke_AWW,3.01,27,177
#LORDS.DUMAINE.1_AWW,3.01,27,177
#LORDS.DUMAINE.2_AWW,3.01,27,177
#SOLDIERS_AWW,3.01,27,177
#Countess_AWW,3.02,140,1030
#Fool_AWW,3.02,140,1030
#GENTLEMEN.1_AWW,3.02,140,1030
#GENTLEMEN.2_AWW,3.02,140,1030
#Helen_AWW,3.02,140,1030
#Bertram_AWW,3.03,14,94
#Duke_AWW,3.03,14,94
#Parolles_AWW,3.03,14,94
#SOLDIERS_AWW,3.03,14,94
#Countess_AWW,3.04,44,344
#Steward_AWW,3.04,44,344
#Bertram_AWW,3.05,120,785
#CITIZENS_AWW,3.05,120,785
#Diana_AWW,3.05,120,785
#Helen_AWW,3.05,120,785
#Mariana_AWW,3.05,120,785
#Parolles_AWW,3.05,120,785
#SOLDIERS_AWW,3.05,120,785
#Widow_AWW,3.05,120,785
#Bertram_AWW,3.06,122,966
#LORDS.DUMAINE.1_AWW,3.06,122,966
#LORDS.DUMAINE.2_AWW,3.06,122,966
#Parolles_AWW,3.06,122,966
#Helen_AWW,3.07,54,394
#Widow_AWW,3.07,54,394
#LORDS.DUMAINE.1_AWW,4.01,105,695
#Parolles_AWW,4.01,105,695
#SOLDIERS.0.1_AWW,4.01,105,695
#SOLDIERS.Interpreter_AWW,4.01,105,695
#SOLDIERS_AWW,4.01,105,695
#Bertram_AWW,4.02,88,653
#Diana_AWW,4.02,88,653
#Bertram_AWW,4.03,362,2629
#LORDS.DUMAINE.1_AWW,4.03,362,2629
#LORDS.DUMAINE.2_AWW,4.03,362,2629
#Parolles_AWW,4.03,362,2629
#SOLDIERS.Interpreter_AWW,4.03,362,2629
#SOLDIERS_AWW,4.03,362,2629
#Servant_AWW,4.03,362,2629
#Diana_AWW,4.04,40,296
#Helen_AWW,4.04,40,296
#Widow_AWW,4.04,40,296
#Countess_AWW,4.05,108,843
#Fool_AWW,4.05,108,843
#Lafew_AWW,4.05,108,843
#ATTENDANTS_AWW,5.01,45,305
#Diana_AWW,5.01,45,305
#GENTLEMEN.3_AWW,5.01,45,305
#Helen_AWW,5.01,45,305
#Widow_AWW,5.01,45,305
#Fool_AWW,5.02,56,434
#Lafew_AWW,5.02,56,434
#Parolles_AWW,5.02,56,434
#ATTENDANTS.KING.0.1_AWW,5.03,380,2776
#ATTENDANTS.KING.0.2_AWW,5.03,380,2776
#ATTENDANTS.KING_AWW,5.03,380,2776
#Bertram_AWW,5.03,380,2776
#Countess_AWW,5.03,380,2776
#Diana_AWW,5.03,380,2776
#GENTLEMEN.3_AWW,5.03,380,2776
#Helen_AWW,5.03,380,2776
#King_AWW,5.03,380,2776
#LORDS.DUMAINE.1_AWW,5.03,380,2776
#LORDS.DUMAINE.2_AWW,5.03,380,2776
#Lafew_AWW,5.03,380,2776
#Parolles_AWW,5.03,380,2776
#Widow_AWW,5.03,380,2776
#Epilogue_AWW,6.00,6,52
