node1,node2,n_lines,n_tokens
#Alexas_Ant,1.01,72,497
#Antony_JC,1.01,72,497
#Charmian_Ant,1.01,72,497
#Cleopatra_Ant,1.01,72,497
#Demetrius_Ant,1.01,72,497
#EUNUCHS_Ant,1.01,72,497
#Iras_Ant,1.01,72,497
#MESSENGERS.X.1_Ant,1.01,72,497
#Mardian_Ant,1.01,72,497
#Philo_Ant,1.01,72,497
#Alexas_Ant,1.02,214,1419
#Antony_JC,1.02,214,1419
#Charmian_Ant,1.02,214,1419
#Cleopatra_Ant,1.02,214,1419
#Enobarbus_Ant,1.02,214,1419
#Iras_Ant,1.02,214,1419
#MESSENGERS.ANTONY.1_Ant,1.02,214,1419
#MESSENGERS.ANTONY.2_Ant,1.02,214,1419
#MESSENGERS.ANTONY.3_Ant,1.02,214,1419
#Mardian_Ant,1.02,214,1419
#SERVANTS.Lamprius_Ant,1.02,214,1419
#SERVANTS.Lucillius_Ant,1.02,214,1419
#SERVANTS.Rannius_Ant,1.02,214,1419
#Soothsayer_Ant,1.02,214,1419
#Alexas_Ant,1.03,127,851
#Antony_JC,1.03,127,851
#Charmian_Ant,1.03,127,851
#Cleopatra_Ant,1.03,127,851
#Iras_Ant,1.03,127,851
#ATTENDANTS.ROMAN_Ant,1.04,97,677
#Lepidus_JC,1.04,97,677
#MESSENGERS.CAESAR.1_Ant,1.04,97,677
#MESSENGERS.CAESAR.2_Ant,1.04,97,677
#Octavius_JC,1.04,97,677
#Alexas_Ant,1.05,93,599
#Charmian_Ant,1.05,93,599
#Cleopatra_Ant,1.05,93,599
#Iras_Ant,1.05,93,599
#Mardian_Ant,1.05,93,599
#Menas_Ant,2.01,62,414
#Menecrates_Ant,2.01,62,414
#Pompey_Ant,2.01,62,414
#Varrius_Ant,2.01,62,414
#Agrippa_Ant,2.02,288,1910
#Antony_JC,2.02,288,1910
#Enobarbus_Ant,2.02,288,1910
#Lepidus_JC,2.02,288,1910
#Maecenas_Ant,2.02,288,1910
#Octavius_JC,2.02,288,1910
#Ventidius_Ant,2.02,288,1910
#Antony_JC,2.03,49,329
#Octavia_Ant,2.03,49,329
#Octavius_JC,2.03,49,329
#Soothsayer_Ant,2.03,49,329
#Ventidius_Ant,2.03,49,329
#Agrippa_Ant,2.04,14,71
#Lepidus_JC,2.04,14,71
#Maecenas_Ant,2.04,14,71
#Alexas_Ant,2.05,149,987
#Charmian_Ant,2.05,149,987
#Cleopatra_Ant,2.05,149,987
#Iras_Ant,2.05,149,987
#MESSENGERS.X.2_Ant,2.05,149,987
#Mardian_Ant,2.05,149,987
#Agrippa_Ant,2.06,166,1066
#Antony_JC,2.06,166,1066
#Enobarbus_Ant,2.06,166,1066
#Lepidus_JC,2.06,166,1066
#Maecenas_Ant,2.06,166,1066
#Menas_Ant,2.06,166,1066
#Octavius_JC,2.06,166,1066
#Pompey_Ant,2.06,166,1066
#SOLDIERS_Ant,2.06,166,1066
#Agrippa_Ant,2.07,162,1045
#Antony_JC,2.07,162,1045
#Boy_Ant,2.07,162,1045
#CAPTAINS_Ant,2.07,162,1045
#Enobarbus_Ant,2.07,162,1045
#Lepidus_JC,2.07,162,1045
#Maecenas_Ant,2.07,162,1045
#Menas_Ant,2.07,162,1045
#Octavius_JC,2.07,162,1045
#Pompey_Ant,2.07,162,1045
#SERVANTS.0.1_Ant,2.07,162,1045
#SERVANTS.0.2_Ant,2.07,162,1045
#SERVANTS_Ant,2.07,162,1045
#SOLDIERS_Ant,3.01,42,287
#Silius_Ant,3.01,42,287
#Ventidius_Ant,3.01,42,287
#Agrippa_Ant,3.02,83,528
#Antony_JC,3.02,83,528
#Enobarbus_Ant,3.02,83,528
#Lepidus_JC,3.02,83,528
#Octavia_Ant,3.02,83,528
#Octavius_JC,3.02,83,528
#Alexas_Ant,3.03,68,378
#Charmian_Ant,3.03,68,378
#Cleopatra_Ant,3.03,68,378
#Iras_Ant,3.03,68,378
#MESSENGERS.X.2_Ant,3.03,68,378
#Antony_JC,3.04,41,298
#Octavia_Ant,3.04,41,298
#Enobarbus_Ant,3.05,27,173
#Eros_Ant,3.05,27,173
#ATTENDANTS.OCTAVIA_Ant,3.06,112,747
#Agrippa_Ant,3.06,112,747
#Maecenas_Ant,3.06,112,747
#Octavia_Ant,3.06,112,747
#Octavius_JC,3.06,112,747
#Antony_JC,3.07,102,644
#Canidius_Ant,3.07,102,644
#Cleopatra_Ant,3.07,102,644
#Enobarbus_Ant,3.07,102,644
#MESSENGERS.X.3_Ant,3.07,102,644
#MESSENGERS.X.4_Ant,3.07,102,644
#SOLDIERS.ANTONY.X.1_Ant,3.07,102,644
#Octavius_JC,3.08,7,32
#SOLDIERS.CAESAR_Ant,3.08,7,32
#Taurus_Ant,3.08,7,32
#Antony_JC,3.09,4,30
#Enobarbus_Ant,3.09,4,30
#Canidius_Ant,3.10,45,282
#Enobarbus_Ant,3.10,45,282
#Scarus_Ant,3.10,45,282
#ATTENDANTS.ANTONY_Ant,3.11,82,556
#Antony_JC,3.11,82,556
#Charmian_Ant,3.11,82,556
#Cleopatra_Ant,3.11,82,556
#Eros_Ant,3.11,82,556
#Iras_Ant,3.11,82,556
#ATTENDANTS.CAESAR_Ant,3.12,44,284
#Agrippa_Ant,3.12,44,284
#Ambassador_Ant,3.12,44,284
#Dolabella_Ant,3.12,44,284
#Octavius_JC,3.12,44,284
#Thidias_Ant,3.12,44,284
#Ambassador_Ant,3.13,242,1629
#Antony_JC,3.13,242,1629
#Charmian_Ant,3.13,242,1629
#Cleopatra_Ant,3.13,242,1629
#Enobarbus_Ant,3.13,242,1629
#Iras_Ant,3.13,242,1629
#SERVANTS.X.1_Ant,3.13,242,1629
#SERVANTS.X.2_Ant,3.13,242,1629
#SERVANTS_Ant,3.13,242,1629
#Thidias_Ant,3.13,242,1629
#Agrippa_Ant,4.01,19,136
#Maecenas_Ant,4.01,19,136
#Octavius_JC,4.01,19,136
