node,node_type
#ATTENDANTS.ANTONY_Ant,character
#ATTENDANTS.CAESAR_Ant,character
#ATTENDANTS.OCTAVIA_Ant,character
#ATTENDANTS.ROMAN_Ant,character
#ATTENDANTS_Ant,character
#Agrippa_Ant,character
#Alexas_Ant,character
#Ambassador_Ant,character
#Antony_JC,character
#Boy_Ant,character
#CAPTAINS.0.1_Ant,character
#CAPTAINS_Ant,character
#Canidius_Ant,character
#Charmian_Ant,character
#Cleopatra_Ant,character
#Countryman_Ant,character
#Demetrius_Ant,character
#Diomedes_Ant,character
#Dolabella_Ant,character
#EUNUCHS_Ant,character
#Egyptian_Ant,character
#Enobarbus_Ant,character
#Eros_Ant,character
#GUARDS.0.1_Ant,character
#GUARDS.0.2_Ant,character
#GUARDS.0.3_Ant,character
#GUARDS.CAESAR.0.1_Ant,character
#GUARDS.CAESAR.0.2_Ant,character
#GUARDS.CAESAR.1_Ant,character
#GUARDS.CAESAR_Ant,character
#GUARDS.Dercetus_Ant,character
#GUARDS_Ant,character
#Gallus_Ant,character
#Iras_Ant,character
#LADIES_Ant,character
#Lepidus_JC,character
#MESSENGERS.ANTONY.1_Ant,character
#MESSENGERS.ANTONY.2_Ant,character
#MESSENGERS.ANTONY.3_Ant,character
#MESSENGERS.CAESAR.1_Ant,character
#MESSENGERS.CAESAR.2_Ant,character
#MESSENGERS.X.1_Ant,character
#MESSENGERS.X.2_Ant,character
#MESSENGERS.X.3_Ant,character
#MESSENGERS.X.4_Ant,character
#MESSENGERS.X.5_Ant,character
#Maecenas_Ant,character
#Mardian_Ant,character
#Menas_Ant,character
#Menecrates_Ant,character
#Octavia_Ant,character
#Octavius_JC,character
#Philo_Ant,character
#Pompey_Ant,character
#Proculeius_Ant,character
#SERVANTS.0.1_Ant,character
#SERVANTS.0.2_Ant,character
#SERVANTS.ANTONY_Ant,character
#SERVANTS.Lamprius_Ant,character
#SERVANTS.Lucillius_Ant,character
#SERVANTS.Rannius_Ant,character
#SERVANTS.X.1_Ant,character
#SERVANTS.X.2_Ant,character
#SERVANTS_Ant,character
#SOLDIERS.ANTONY.0.1_Ant,character
#SOLDIERS.ANTONY.0.2_Ant,character
#SOLDIERS.ANTONY.0.3_Ant,character
#SOLDIERS.ANTONY.0.4_Ant,character
#SOLDIERS.ANTONY.0_Ant,character
#SOLDIERS.ANTONY.X.1_Ant,character
#SOLDIERS.ANTONY.X.2_Ant,character
#SOLDIERS.ANTONY.X.3_Ant,character
#SOLDIERS.ANTONY_Ant,character
#SOLDIERS.CAESAR.X.1_Ant,character
#SOLDIERS.CAESAR_Ant,character
#SOLDIERS_Ant,character
#Scarus_Ant,character
#Seleucus_Ant,character
#Silius_Ant,character
#Soothsayer_Ant,character
#Taurus_Ant,character
#Thidias_Ant,character
#Varrius_Ant,character
#Ventidius_Ant,character
#WATCHMEN.1_Ant,character
#WATCHMEN.2_Ant,character
#WATCHMEN.Sentry_Ant,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
1.05,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
2.05,text_unit
2.06,text_unit
2.07,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
3.05,text_unit
3.06,text_unit
3.07,text_unit
3.08,text_unit
3.09,text_unit
3.10,text_unit
3.11,text_unit
3.12,text_unit
3.13,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
4.05,text_unit
4.06,text_unit
4.07,text_unit
4.08,text_unit
4.09,text_unit
4.10,text_unit
4.11,text_unit
4.12,text_unit
4.13,text_unit
4.14,text_unit
4.15,text_unit
5.01,text_unit
5.02,text_unit
