source,target,n_lines,n_tokens,edge_type
#ATTENDANTS.ANTONY_Ant,3.11.0070,1,3,active
#ATTENDANTS.CAESAR_Ant,5.02.0151,1,4,active
#ATTENDANTS.CAESAR_Ant,5.02.0168,1,7,active
#Agrippa_Ant,2.02.0026,19,135,active
#Agrippa_Ant,2.02.0027,11,49,active
#Agrippa_Ant,2.04.0032,3,14,active
#Agrippa_Ant,2.06.0040,1,5,active
#Agrippa_Ant,2.07.0044,2,14,active
#Agrippa_Ant,3.02.0047,8,46,active
#Agrippa_Ant,3.02.0048,5,30,active
#Agrippa_Ant,3.06.0054,4,22,active
#Agrippa_Ant,3.06.0055,1,2,active
#Agrippa_Ant,4.06.0103,1,3,active
#Agrippa_Ant,4.07.0109,3,18,active
#Agrippa_Ant,5.01.0141,6,37,active
#Agrippa_Ant,5.01.0145,1,1,active
#Alexas_Ant,1.02.0005,10,52,active
#Alexas_Ant,1.02.0006,1,7,active
#Alexas_Ant,1.05.0021,18,125,active
#Alexas_Ant,2.05.0033,1,3,active
#Alexas_Ant,3.03.0049,1,4,active
#Alexas_Ant,3.03.0050,3,16,active
#Ambassador_Ant,3.12.0073,14,101,active
#Ambassador_Ant,3.13.0076,2,6,active
#Antony_JC,1.01.0002,3,19,active
#Antony_JC,1.01.0003,24,167,active
#Antony_JC,1.02.0008,14,109,active
#Antony_JC,1.02.0009,3,15,active
#Antony_JC,1.02.0010,2,12,active
#Antony_JC,1.02.0011,3,8,active
#Antony_JC,1.02.0012,9,73,active
#Antony_JC,1.02.0013,31,208,active
#Antony_JC,1.03.0016,49,278,active
#Antony_JC,2.02.0026,83,584,active
#Antony_JC,2.03.0028,8,49,active
#Antony_JC,2.03.0029,7,39,active
#Antony_JC,2.03.0030,9,78,active
#Antony_JC,2.03.0031,3,15,active
#Antony_JC,2.06.0040,16,102,active
#Antony_JC,2.07.0044,31,210,active
#Antony_JC,3.02.0048,20,125,active
#Antony_JC,3.04.0052,25,186,active
#Antony_JC,3.07.0057,16,99,active
#Antony_JC,3.07.0058,1,2,active
#Antony_JC,3.07.0059,5,35,active
#Antony_JC,3.07.0060,2,7,active
#Antony_JC,3.09.0064,4,30,active
#Antony_JC,3.11.0070,24,200,active
#Antony_JC,3.11.0071,35,250,active
#Antony_JC,3.13.0076,17,110,active
#Antony_JC,3.13.0082,8,49,active
#Antony_JC,3.13.0083,12,82,active
#Antony_JC,3.13.0084,28,202,active
#Antony_JC,3.13.0085,22,170,active
#Antony_JC,3.13.0086,31,218,active
#Antony_JC,4.02.0089,8,49,active
#Antony_JC,4.02.0090,11,71,active
#Antony_JC,4.02.0091,25,182,active
#Antony_JC,4.04.0097,2,12,active
#Antony_JC,4.04.0098,16,108,active
#Antony_JC,4.04.0099,4,28,active
#Antony_JC,4.04.0100,11,78,active
#Antony_JC,4.05.0102,11,71,active
#Antony_JC,4.07.0110,2,6,active
#Antony_JC,4.07.0111,3,18,active
#Antony_JC,4.08.0112,12,93,active
#Antony_JC,4.08.0113,33,200,active
#Antony_JC,4.10.0115,9,67,active
#Antony_JC,4.12.0117,3,24,active
#Antony_JC,4.12.0119,9,69,active
#Antony_JC,4.12.0120,14,104,active
#Antony_JC,4.12.0121,9,60,active
#Antony_JC,4.12.0122,13,91,active
#Antony_JC,4.14.0124,23,164,active
#Antony_JC,4.14.0125,8,49,active
#Antony_JC,4.14.0126,7,48,active
#Antony_JC,4.14.0127,11,95,active
#Antony_JC,4.14.0128,45,313,active
#Antony_JC,4.14.0129,2,16,active
#Antony_JC,4.14.0130,1,8,active
#Antony_JC,4.14.0134,5,31,active
#Antony_JC,4.14.0135,8,67,active
#Antony_JC,4.15.0138,8,43,active
#Antony_JC,4.15.0139,15,102,active
#Boy_Ant,2.07.0044,6,39,active
#CAPTAINS.0.1_Ant,4.04.0100,1,7,active
#CAPTAINS_Ant,2.07.0044,2,14,active
#CAPTAINS_Ant,4.04.0100,1,3,active
#Canidius_Ant,3.07.0057,6,35,active
#Canidius_Ant,3.07.0061,9,56,active
#Canidius_Ant,3.07.0062,2,12,active
#Canidius_Ant,3.10.0067,6,43,active
#Canidius_Ant,3.10.0068,3,19,active
#Charmian_Ant,1.02.0005,42,285,active
#Charmian_Ant,1.02.0006,1,2,active
#Charmian_Ant,1.03.0014,1,6,active
#Charmian_Ant,1.03.0015,6,48,active
#Charmian_Ant,1.03.0016,1,4,active
#Charmian_Ant,1.05.0020,4,14,active
#Charmian_Ant,1.05.0021,4,17,active
#Charmian_Ant,2.05.0033,1,3,active
#Charmian_Ant,2.05.0034,5,33,active
#Charmian_Ant,2.05.0036,3,15,active
#Charmian_Ant,2.05.0038,3,7,active
#Charmian_Ant,3.03.0050,4,14,active
#Charmian_Ant,3.03.0051,5,21,active
#Charmian_Ant,3.11.0071,2,5,active
