act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Orlando_AYL,#Adam_AYL #Orlando_AYL,234,25
1,1,2,#Adam_AYL,#Adam_AYL #Oliver_AYL #Orlando_AYL,46,6
1,1,2,#Oliver_AYL,#Adam_AYL #Oliver_AYL #Orlando_AYL,88,14
1,1,2,#Orlando_AYL,#Adam_AYL #Oliver_AYL #Orlando_AYL,318,38
1,1,3,#Oliver_AYL,#Oliver_AYL,24,3
1,1,4,#Dennis_AYL,#Dennis_AYL #Oliver_AYL,17,3
1,1,4,#Oliver_AYL,#Dennis_AYL #Oliver_AYL,14,3
1,1,5,#Oliver_AYL,#Oliver_AYL,10,2
1,1,6,#Charles_AYL,#Charles_AYL #Oliver_AYL,337,38
1,1,6,#Oliver_AYL,#Charles_AYL #Oliver_AYL,237,29
1,1,7,#Oliver_AYL,#Oliver_AYL,96,10
1,2,8,#Celia_AYL,#Celia_AYL #Rosalind_AYL,237,27
1,2,8,#Rosalind_AYL,#Celia_AYL #Rosalind_AYL,123,17
1,2,9,#Celia_AYL,#Celia_AYL #Rosalind_AYL #Touchstone_AYL,157,21
1,2,9,#Rosalind_AYL,#Celia_AYL #Rosalind_AYL #Touchstone_AYL,30,5
1,2,9,#Touchstone_AYL,#Celia_AYL #Rosalind_AYL #Touchstone_AYL,157,20
1,2,10,#Celia_AYL,#Celia_AYL #LORDS.FREDERICK.LeBeau_AYL #Rosalind_AYL #Touchstone_AYL,74,12
1,2,10,#LORDS.FREDERICK.LeBeau_AYL,#Celia_AYL #LORDS.FREDERICK.LeBeau_AYL #Rosalind_AYL #Touchstone_AYL,182,22
1,2,10,#Rosalind_AYL,#Celia_AYL #LORDS.FREDERICK.LeBeau_AYL #Rosalind_AYL #Touchstone_AYL,71,11
1,2,10,#Touchstone_AYL,#Celia_AYL #LORDS.FREDERICK.LeBeau_AYL #Rosalind_AYL #Touchstone_AYL,46,7
