node1,node2,n_lines,n_tokens
#Adam_AYL,1.01.0001,25,234
#Orlando_AYL,1.01.0001,25,234
#Adam_AYL,1.01.0002,58,452
#Oliver_AYL,1.01.0002,58,452
#Orlando_AYL,1.01.0002,58,452
#Oliver_AYL,1.01.0003,3,24
#Dennis_AYL,1.01.0004,6,31
#Oliver_AYL,1.01.0004,6,31
#Oliver_AYL,1.01.0005,2,10
#Charles_AYL,1.01.0006,67,574
#Oliver_AYL,1.01.0006,67,574
#Oliver_AYL,1.01.0007,10,96
#Celia_AYL,1.02.0008,44,360
#Rosalind_AYL,1.02.0008,44,360
#Celia_AYL,1.02.0009,46,344
#Rosalind_AYL,1.02.0009,46,344
#Touchstone_AYL,1.02.0009,46,344
#Celia_AYL,1.02.0010,52,373
#LORDS.FREDERICK.LeBeau_AYL,1.02.0010,52,373
#Rosalind_AYL,1.02.0010,52,373
#Touchstone_AYL,1.02.0010,52,373
#ATTENDANTS_AYL,1.02.0011,73,526
#Celia_AYL,1.02.0011,73,526
#Charles_AYL,1.02.0011,73,526
#DukeFrederick_AYL,1.02.0011,73,526
#LORDS.FREDERICK.LeBeau_AYL,1.02.0011,73,526
#LORDS.FREDERICK_AYL,1.02.0011,73,526
#Orlando_AYL,1.02.0011,73,526
#Rosalind_AYL,1.02.0011,73,526
#Touchstone_AYL,1.02.0011,73,526
#ATTENDANTS_AYL,1.02.0012,11,74
#Celia_AYL,1.02.0012,11,74
#DukeFrederick_AYL,1.02.0012,11,74
#LORDS.FREDERICK.LeBeau_AYL,1.02.0012,11,74
#LORDS.FREDERICK_AYL,1.02.0012,11,74
#Orlando_AYL,1.02.0012,11,74
#Rosalind_AYL,1.02.0012,11,74
#Touchstone_AYL,1.02.0012,11,74
#Celia_AYL,1.02.0013,31,219
#Orlando_AYL,1.02.0013,31,219
#Rosalind_AYL,1.02.0013,31,219
#Orlando_AYL,1.02.0014,4,30
#LORDS.FREDERICK.LeBeau_AYL,1.02.0015,26,207
#Orlando_AYL,1.02.0015,26,207
#Orlando_AYL,1.02.0016,3,19
#Celia_AYL,1.03.0017,37,276
#Rosalind_AYL,1.03.0017,37,276
#Celia_AYL,1.03.0018,56,408
#DukeFrederick_AYL,1.03.0018,56,408
#LORDS.FREDERICK_AYL,1.03.0018,56,408
#Rosalind_AYL,1.03.0018,56,408
#Celia_AYL,1.03.0019,52,399
#Rosalind_AYL,1.03.0019,52,399
#DukeSenior_AYL,2.01.0020,25,194
