source,target,key,n_lines,n_tokens,edge_index,edge_type
#Orlando_AYL,1.01.0001,0,25,234,1,active
1.01.0001,#Adam_AYL,0,25,234,1,passive
#Adam_AYL,1.01.0002,0,1,6,2,active
1.01.0002,#Oliver_AYL,0,1,6,2,passive
1.01.0002,#Orlando_AYL,0,1,6,2,passive
#Orlando_AYL,1.01.0002,0,2,13,3,active
1.01.0002,#Adam_AYL,0,2,13,3,passive
1.01.0002,#Oliver_AYL,1,2,13,3,passive
#Oliver_AYL,1.01.0002,0,1,6,4,active
1.01.0002,#Adam_AYL,1,1,6,4,passive
1.01.0002,#Orlando_AYL,1,1,6,4,passive
#Orlando_AYL,1.01.0002,1,1,8,5,active
1.01.0002,#Adam_AYL,2,1,8,5,passive
1.01.0002,#Oliver_AYL,2,1,8,5,passive
#Oliver_AYL,1.01.0002,1,1,5,6,active
1.01.0002,#Adam_AYL,3,1,5,6,passive
1.01.0002,#Orlando_AYL,2,1,5,6,passive
#Orlando_AYL,1.01.0002,2,3,20,7,active
1.01.0002,#Adam_AYL,4,3,20,7,passive
1.01.0002,#Oliver_AYL,3,3,20,7,passive
#Oliver_AYL,1.01.0002,2,2,9,8,active
1.01.0002,#Adam_AYL,5,2,9,8,passive
1.01.0002,#Orlando_AYL,3,2,9,8,passive
#Orlando_AYL,1.01.0002,3,3,23,9,active
1.01.0002,#Adam_AYL,6,3,23,9,passive
1.01.0002,#Oliver_AYL,4,3,23,9,passive
#Oliver_AYL,1.01.0002,3,1,6,10,active
1.01.0002,#Adam_AYL,7,1,6,10,passive
1.01.0002,#Orlando_AYL,4,1,6,10,passive
#Orlando_AYL,1.01.0002,4,1,8,11,active
1.01.0002,#Adam_AYL,8,1,8,11,passive
1.01.0002,#Oliver_AYL,5,1,8,11,passive
#Oliver_AYL,1.01.0002,4,1,5,12,active
1.01.0002,#Adam_AYL,9,1,5,12,passive
1.01.0002,#Orlando_AYL,5,1,5,12,passive
#Orlando_AYL,1.01.0002,5,9,80,13,active
1.01.0002,#Adam_AYL,10,9,80,13,passive
1.01.0002,#Oliver_AYL,6,9,80,13,passive
#Oliver_AYL,1.01.0002,5,1,2,14,active
1.01.0002,#Adam_AYL,11,1,2,14,passive
1.01.0002,#Orlando_AYL,6,1,2,14,passive
#Orlando_AYL,1.01.0002,6,2,10,15,active
1.01.0002,#Adam_AYL,12,2,10,15,passive
1.01.0002,#Oliver_AYL,7,2,10,15,passive
#Oliver_AYL,1.01.0002,6,1,7,16,active
1.01.0002,#Adam_AYL,13,1,7,16,passive
1.01.0002,#Orlando_AYL,7,1,7,16,passive
#Orlando_AYL,1.01.0002,7,6,61,17,active
1.01.0002,#Adam_AYL,14,6,61,17,passive
1.01.0002,#Oliver_AYL,8,6,61,17,passive
#Adam_AYL,1.01.0002,1,2,11,18,active
1.01.0002,#Oliver_AYL,9,2,11,18,passive
1.01.0002,#Orlando_AYL,8,2,11,18,passive
#Oliver_AYL,1.01.0002,7,1,5,19,active
1.01.0002,#Adam_AYL,15,1,5,19,passive
1.01.0002,#Orlando_AYL,9,1,5,19,passive
#Orlando_AYL,1.01.0002,8,9,83,20,active
1.01.0002,#Adam_AYL,16,9,83,20,passive
1.01.0002,#Oliver_AYL,10,9,83,20,passive
#Oliver_AYL,1.01.0002,8,4,36,21,active
1.01.0002,#Adam_AYL,17,4,36,21,passive
1.01.0002,#Orlando_AYL,10,4,36,21,passive
