source,target,n_lines,n_tokens,edge_type
#Adam_AYL,1.01.0002,6,46,active
#Adam_AYL,2.03.0026,54,430,active
#Adam_AYL,2.06.0031,3,24,active
#Adam_AYL,2.07.0037,2,13,active
#Audrey_AYL,3.03.0046,12,76,active
#Audrey_AYL,5.01.0064,4,26,active
#Audrey_AYL,5.01.0065,3,14,active
#Audrey_AYL,5.03.0071,3,25,active
#Audrey_AYL,5.03.0072,1,8,active
#Celia_AYL,1.02.0008,27,237,active
#Celia_AYL,1.02.0009,21,157,active
#Celia_AYL,1.02.0010,12,74,active
#Celia_AYL,1.02.0011,15,117,active
#Celia_AYL,1.02.0013,10,65,active
#Celia_AYL,1.03.0017,21,165,active
#Celia_AYL,1.03.0018,12,92,active
#Celia_AYL,1.03.0019,31,249,active
#Celia_AYL,2.04.0027,1,11,active
#Celia_AYL,2.04.0029,4,41,active
#Celia_AYL,3.02.0042,32,168,active
#Celia_AYL,3.02.0043,37,254,active
#Celia_AYL,3.02.0044,1,5,active
#Celia_AYL,3.04.0049,26,218,active
#Celia_AYL,3.04.0050,2,8,active
#Celia_AYL,4.01.0056,5,33,active
#Celia_AYL,4.01.0057,7,50,active
#Celia_AYL,4.03.0061,3,22,active
#Celia_AYL,4.03.0062,2,7,active
#Celia_AYL,4.03.0063,18,133,active
#Charles_AYL,1.01.0006,38,337,active
#Charles_AYL,1.02.0011,5,38,active
#Corin_AYL,2.04.0028,3,26,active
#Corin_AYL,2.04.0029,23,174,active
#Corin_AYL,3.02.0040,32,261,active
#Corin_AYL,3.02.0041,2,9,active
#Corin_AYL,3.04.0050,10,70,active
#Corin_AYL,5.01.0066,2,9,active
#Dennis_AYL,1.01.0004,3,17,active
#DukeFrederick_AYL,1.02.0011,15,96,active
#DukeFrederick_AYL,1.02.0012,9,63,active
#DukeFrederick_AYL,1.03.0018,25,178,active
#DukeFrederick_AYL,2.02.0023,3,24,active
#DukeFrederick_AYL,2.02.0025,5,38,active
#DukeFrederick_AYL,3.01.0038,16,130,active
#DukeSenior_AYL,2.01.0020,22,170,active
#DukeSenior_AYL,2.01.0021,3,18,active
#DukeSenior_AYL,2.01.0022,3,19,active
#DukeSenior_AYL,2.07.0032,2,17,active
#DukeSenior_AYL,2.07.0033,3,25,active
#DukeSenior_AYL,2.07.0034,12,84,active
#DukeSenior_AYL,2.07.0035,15,117,active
#DukeSenior_AYL,2.07.0036,4,24,active
#DukeSenior_AYL,2.07.0037,16,117,active
#DukeSenior_AYL,5.04.0073,2,15,active
#DukeSenior_AYL,5.04.0074,1,10,active
#DukeSenior_AYL,5.04.0075,2,14,active
#DukeSenior_AYL,5.04.0076,5,31,active
#DukeSenior_AYL,5.04.0077,3,26,active
#DukeSenior_AYL,5.04.0078,15,106,active
#DukeSenior_AYL,5.04.0079,2,15,active
#Hymen_AYL,5.04.0077,24,134,active
#Jaques_AYL,2.05.0030,41,283,active
#Jaques_AYL,2.07.0034,70,560,active
#Jaques_AYL,2.07.0035,5,29,active
#Jaques_AYL,2.07.0036,28,211,active
#Jaques_AYL,3.02.0044,21,150,active
#Jaques_AYL,3.03.0046,4,19,active
#Jaques_AYL,3.03.0047,11,78,active
#Jaques_AYL,4.01.0054,15,118,active
