node1,node2,count
#AEDILES.X.1_Cor,#AEDILES_Cor,1
#AEDILES.X.1_Cor,#SENATORS.ROMAN.0.2_Cor,1
#AEDILES.X.2_Cor,#Virgilia_Cor,1
#AEDILES.X.2_Cor,#Volumnia_Cor,1
#AEDILES.X.3_Cor,#CITIZENS.ROMAN.0.3_Cor,1
#AEDILES.X.3_Cor,#MESSENGERS.TRIBUNES.1_Cor,1
#AEDILES.X.3_Cor,#MESSENGERS.TRIBUNES.2_Cor,1
#AEDILES_Cor,#SENATORS.ROMAN.0.2_Cor,1
#ATTENDANTS.ROMAN_Cor,#YoungMartius_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#CITIZENS.VOLSCIAN_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#CONSPIRATORS.0.1_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#CONSPIRATORS.0.2_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#CONSPIRATORS.0.3_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#CONSPIRATORS_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#LORDS.VOLSCIAN.0.1_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#LORDS.VOLSCIAN.0.2_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#LORDS.VOLSCIAN.0.3_Cor,1
#ATTENDANTS.VOLSCIAN_Cor,#LORDS.VOLSCIAN_Cor,1
#Adrian_Cor,#Nicanor_Cor,1
#Aufidius_Cor,#ATTENDANTS.ROMAN_Cor,1
#Aufidius_Cor,#ATTENDANTS.VOLSCIAN_Cor,1
#Aufidius_Cor,#CITIZENS.VOLSCIAN_Cor,1
#Aufidius_Cor,#CONSPIRATORS.0.1_Cor,1
#Aufidius_Cor,#CONSPIRATORS.0.2_Cor,1
#Aufidius_Cor,#CONSPIRATORS.0.3_Cor,1
#Aufidius_Cor,#CONSPIRATORS_Cor,1
#Aufidius_Cor,#LORDS.VOLSCIAN.0.1_Cor,1
#Aufidius_Cor,#LORDS.VOLSCIAN.0.2_Cor,1
#Aufidius_Cor,#LORDS.VOLSCIAN.0.3_Cor,1
#Aufidius_Cor,#LORDS.VOLSCIAN_Cor,1
#Aufidius_Cor,#SENATORS.VOLSCIAN.0.2_Cor,1
#Aufidius_Cor,#SERVANTS.1_Cor,1
#Aufidius_Cor,#SERVANTS.2_Cor,1
#Aufidius_Cor,#SERVANTS.3_Cor,1
#Aufidius_Cor,#SOLDIERS.VOLSCIAN.0.1_Cor,1
#Aufidius_Cor,#SOLDIERS.VOLSCIAN.Lieutenant_Cor,1
#Aufidius_Cor,#WATCHMEN.1_Cor,1
#Aufidius_Cor,#WATCHMEN.2_Cor,1
#Aufidius_Cor,#YoungMartius_Cor,1
#CITIZENS.ROMAN.0.1_Cor,#AEDILES.X.1_Cor,1
