act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#CITIZENS.ROMAN.0.1_Cor,45,8,66,12
1,1,1,#CITIZENS.ROMAN_Cor,21,4,66,12
1,1,2,#CITIZENS.ROMAN.0.1_Cor,204,25,264,37
1,1,2,#CITIZENS.ROMAN.0.2_Cor,48,9,264,37
1,1,2,#CITIZENS.ROMAN_Cor,12,3,264,37
1,1,3,#CITIZENS.ROMAN.0.1_Cor,14,3,900,123
1,1,3,#CITIZENS.ROMAN.0.2_Cor,245,34,900,123
1,1,3,#Menenius_Cor,641,86,900,123
1,1,4,#CITIZENS.ROMAN.0.2_Cor,6,1,490,73
1,1,4,#Coriolanus_Cor,434,63,490,73
1,1,4,#Menenius_Cor,50,9,490,73
1,1,5,#Coriolanus_Cor,19,3,31,5
1,1,5,#MESSENGERS.X.1_Cor,12,2,31,5
1,1,6,#Coriolanus_Cor,4,1,4,1
1,1,7,#Cominius_Cor,11,3,193,33
1,1,7,#Coriolanus_Cor,107,16,193,33
1,1,7,#Lartius_Cor,31,6,193,33
1,1,7,#Menenius_Cor,3,1,193,33
1,1,7,#SENATORS.ROMAN.0.1_Cor,41,7,193,33
1,1,8,#Coriolanus_Cor,9,2,9,2
1,1,9,#TRIBUNES.Brutus_Cor,124,19,218,35
1,1,9,#TRIBUNES.Sicinius_Cor,94,16,218,35
1,2,10,#Aufidius_Cor,164,24,200,30
1,2,10,#SENATORS.VOLSCIAN.0.1_Cor,36,6,200,30
1,2,11,#Aufidius_Cor,52,8,98,18
1,2,11,#SENATORS.VOLSCIAN.0.1_Cor,1,1,98,18
1,2,11,#SENATORS.VOLSCIAN.0.2_Cor,40,7,98,18
1,2,11,#SENATORS.VOLSCIAN_Cor,5,2,98,18
1,3,12,#Virgilia_Cor,10,2,234,27
1,3,12,#Volumnia_Cor,224,25,234,27
1,3,13,#Gentlewoman_Cor,9,2,147,20
1,3,13,#Virgilia_Cor,15,2,147,20
1,3,13,#Volumnia_Cor,123,16,147,20
1,3,14,#Virgilia_Cor,7,1,19,3
1,3,14,#Volumnia_Cor,12,2,19,3
1,3,15,#Valeria_Cor,339,41,500,66
1,3,15,#Virgilia_Cor,116,17,500,66
1,3,15,#Volumnia_Cor,45,8,500,66
1,4,16,#Coriolanus_Cor,64,10,111,17
1,4,16,#Lartius_Cor,32,5,111,17
1,4,16,#MESSENGERS.X.2_Cor,15,2,111,17
1,4,17,#Coriolanus_Cor,7,1,7,1
1,4,18,#SENATORS.VOLSCIAN.0.1_Cor,66,11,66,11
1,4,19,#Coriolanus_Cor,5,1,12,2
1,4,19,#Lartius_Cor,7,1,12,2
1,4,20,#Coriolanus_Cor,60,9,60,9
1,4,21,#Coriolanus_Cor,118,14,118,14
1,4,22,#Coriolanus_Cor,27,4,27,4
1,4,23,#SOLDIERS.ROMAN.0.1_Cor,3,1,3,1
1,4,24,#SOLDIERS.ROMAN.0.1_Cor,6,1,14,3
1,4,24,#SOLDIERS.ROMAN.0.2_Cor,2,1,14,3
1,4,24,#SOLDIERS.ROMAN_Cor,6,1,14,3
1,4,25,#Lartius_Cor,79,12,110,17
1,4,25,#SOLDIERS.ROMAN.0.1_Cor,28,4,110,17
1,4,25,#SOLDIERS.ROMAN_Cor,3,1,110,17
1,4,26,#Lartius_Cor,11,2,13,3
1,4,26,#SOLDIERS.ROMAN.0.1_Cor,2,1,13,3
1,5,27,#SOLDIERS.ROMAN.0.1_Cor,6,1,6,1
1,5,28,#SOLDIERS.ROMAN.0.2_Cor,3,1,3,1
1,5,29,#SOLDIERS.ROMAN.0.3_Cor,9,1,9,1
1,5,30,#Coriolanus_Cor,44,5,44,5
1,5,31,#Coriolanus_Cor,89,13,133,21
1,5,31,#Lartius_Cor,44,8,133,21
1,5,32,#Lartius_Cor,22,3,22,3
1,6,33,#Cominius_Cor,70,11,70,11
1,6,34,#Cominius_Cor,40,7,102,16
1,6,34,#MESSENGERS.X.3_Cor,62,9,102,16
1,6,35,#Cominius_Cor,180,29,552,80
