act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#CITIZENS.ROMAN.0.1_Cor,263,36,2175,321
1,1,#CITIZENS.ROMAN.0.2_Cor,299,44,2109,309
1,1,#CITIZENS.ROMAN_Cor,33,7,1948,284
1,1,#Cominius_Cor,11,3,206,36
1,1,#Coriolanus_Cor,573,85,727,114
1,1,#Lartius_Cor,31,6,206,36
1,1,#MESSENGERS.X.1_Cor,12,2,237,41
1,1,#Menenius_Cor,694,96,1627,237
1,1,#SENATORS.ROMAN.0.1_Cor,41,7,420,70
1,1,#TRIBUNES.Brutus_Cor,124,19,424,71
1,1,#TRIBUNES.Sicinius_Cor,94,16,424,71
1,2,#Aufidius_Cor,216,32,298,48
1,2,#SENATORS.VOLSCIAN.0.1_Cor,37,7,298,48
1,2,#SENATORS.VOLSCIAN.0.2_Cor,40,7,98,18
1,2,#SENATORS.VOLSCIAN_Cor,5,2,298,48
1,3,#Gentlewoman_Cor,9,2,647,86
1,3,#Valeria_Cor,339,41,500,66
1,3,#Virgilia_Cor,148,22,900,116
1,3,#Volumnia_Cor,404,51,900,116
1,4,#Coriolanus_Cor,281,39,414,61
1,4,#Lartius_Cor,129,20,379,60
1,4,#MESSENGERS.X.2_Cor,15,2,256,40
1,4,#SENATORS.VOLSCIAN.0.1_Cor,66,11,423,64
1,4,#SOLDIERS.ROMAN.0.1_Cor,39,7,140,24
1,4,#SOLDIERS.ROMAN.0.2_Cor,2,1,137,23
1,4,#SOLDIERS.ROMAN_Cor,9,2,541,82
1,5,#Coriolanus_Cor,133,18,177,26
1,5,#Lartius_Cor,66,11,199,29
1,5,#SOLDIERS.ROMAN.0.1_Cor,6,1,217,32
1,5,#SOLDIERS.ROMAN.0.2_Cor,3,1,211,31
1,5,#SOLDIERS.ROMAN.0.3_Cor,9,1,208,30
1,6,#Cominius_Cor,290,47,724,107
1,6,#Coriolanus_Cor,372,51,552,80
1,6,#MESSENGERS.X.3_Cor,62,9,102,16
1,7,#Lartius_Cor,59,8,64,9
1,7,#SOLDIERS.ROMAN.Lieutenant_Cor,5,1,64,9
1,8,#Aufidius_Cor,58,12,124,22
1,8,#Coriolanus_Cor,66,10,124,22
1,9,#Cominius_Cor,413,56,755,106
1,9,#Coriolanus_Cor,320,44,755,106
1,9,#Lartius_Cor,22,6,667,94
1,9,#SOLDIERS.ROMAN_Cor,3,1,755,106
1,10,#Aufidius_Cor,258,32,275,36
1,10,#SOLDIERS.VOLSCIAN.0.1_Cor,17,4,271,35
2,1,#Cominius_Cor,10,3,337,57
2,1,#Coriolanus_Cor,123,23,337,57
2,1,#Herald_Cor,38,6,337,57
2,1,#MESSENGERS.X.4_Cor,71,9,96,14
2,1,#Menenius_Cor,1002,129,1570,223
2,1,#TRIBUNES.Brutus_Cor,391,59,2111,304
2,1,#TRIBUNES.Sicinius_Cor,189,34,2111,304
2,1,#Valeria_Cor,16,4,805,124
2,1,#Virgilia_Cor,27,5,805,124
2,1,#Volumnia_Cor,276,40,805,124
2,2,#Cominius_Cor,373,47,953,147
2,2,#Coriolanus_Cor,167,26,513,87
2,2,#Menenius_Cor,244,42,953,147
2,2,#OFFICERS.1_Cor,114,15,1250,183
2,2,#OFFICERS.2_Cor,186,22,1250,183
2,2,#SENATORS.ROMAN.0.1_Cor,73,13,922,141
2,2,#SENATORS.ROMAN_Cor,7,1,953,147
2,2,#TRIBUNES.Brutus_Cor,77,14,1002,154
2,2,#TRIBUNES.Sicinius_Cor,58,10,1002,154
2,3,#CITIZENS.ROMAN.1_Cor,94,14,1367,189
2,3,#CITIZENS.ROMAN.2_Cor,119,21,1367,189
2,3,#CITIZENS.ROMAN.3_Cor,461,59,1367,189
2,3,#CITIZENS.ROMAN.4_Cor,69,12,1427,193
2,3,#CITIZENS.ROMAN.5_Cor,38,7,1427,193
2,3,#CITIZENS.ROMAN.6_Cor,36,7,1309,179
2,3,#CITIZENS.ROMAN.7_Cor,42,8,1309,179
2,3,#CITIZENS.ROMAN.8_Cor,24,5,1309,179
2,3,#Coriolanus_Cor,491,69,849,125
2,3,#Menenius_Cor,85,13,287,43
2,3,#TRIBUNES.Brutus_Cor,408,57,1008,146
2,3,#TRIBUNES.Sicinius_Cor,359,53,1008,146
3,1,#AEDILES_Cor,2,1,936,155
3,1,#CITIZENS.ROMAN.0.1_Cor,15,3,528,86
3,1,#CITIZENS.ROMAN_Cor,42,9,936,155
3,1,#Cominius_Cor,129,22,1939,314
3,1,#Coriolanus_Cor,1090,162,1984,322
3,1,#Lartius_Cor,87,13,1799,289
3,1,#Menenius_Cor,590,93,2659,432
3,1,#SENATORS.ROMAN.0.1_Cor,85,14,2435,394
3,1,#SENATORS.ROMAN.0.2_Cor,15,4,1191,199
3,1,#SENATORS.ROMAN_Cor,9,2,1799,289
3,1,#TRIBUNES.Brutus_Cor,243,45,2223,359
3,1,#TRIBUNES.Sicinius_Cor,382,69,2223,359
3,2,#Cominius_Cor,68,11,457,64
3,2,#Coriolanus_Cor,429,60,1236,177
3,2,#Menenius_Cor,122,22,1041,148
3,2,#NOBLES.0.1_Cor,4,1,1191,171
3,2,#SENATORS.ROMAN.0.1_Cor,17,3,1025,145
3,2,#Volumnia_Cor,596,80,1079,154
3,3,#AEDILES.X.2_Cor,39,9,977,150
3,3,#CITIZENS.ROMAN_Cor,59,7,818,123
3,3,#Cominius_Cor,70,11,822,127
3,3,#Coriolanus_Cor,342,52,822,127
3,3,#Menenius_Cor,88,15,822,127
3,3,#SENATORS.ROMAN.0.1_Cor,2,1,823,125
3,3,#TRIBUNES.Brutus_Cor,161,25,1125,173
3,3,#TRIBUNES.Sicinius_Cor,368,54,1125,173
4,1,#Cominius_Cor,59,7,475,69
4,1,#Coriolanus_Cor,330,48,475,69
4,1,#Menenius_Cor,35,5,475,69
4,1,#Virgilia_Cor,7,2,475,69
4,1,#Volumnia_Cor,44,7,475,69
4,2,#Menenius_Cor,28,6,394,62
4,2,#TRIBUNES.Brutus_Cor,49,10,370,58
4,2,#TRIBUNES.Sicinius_Cor,86,16,370,58
4,2,#Virgilia_Cor,25,4,391,61
4,2,#Volumnia_Cor,270,37,391,61
4,3,#Adrian_Cor,160,22,394,53
4,3,#Nicanor_Cor,234,31,394,53
4,4,#CITIZENS.ANTIUM.1_Cor,20,4,48,10
4,4,#Coriolanus_Cor,195,28,215,32
4,5,#Aufidius_Cor,430,61,799,110
4,5,#Coriolanus_Cor,444,66,1058,159
4,5,#SERVANTS.1_Cor,248,40,1702,245
4,5,#SERVANTS.2_Cor,267,40,1650,236
4,5,#SERVANTS.3_Cor,397,55,689,104
4,6,#AEDILES.X.3_Cor,38,6,938,150
4,6,#CITIZENS.ROMAN.0.1_Cor,50,7,1079,175
4,6,#CITIZENS.ROMAN.0.2_Cor,12,2,153,22
4,6,#CITIZENS.ROMAN.0.3_Cor,37,4,149,21
4,6,#CITIZENS.ROMAN_Cor,15,4,282,43
4,6,#Cominius_Cor,256,42,562,89
4,6,#MESSENGERS.TRIBUNES.1_Cor,70,11,785,125
4,6,#MESSENGERS.TRIBUNES.2_Cor,36,6,662,103
4,6,#Menenius_Cor,369,59,1085,178
4,6,#TRIBUNES.Brutus_Cor,125,22,1250,201
4,6,#TRIBUNES.Sicinius_Cor,249,40,1250,201
4,7,#Aufidius_Cor,393,50,474,61
4,7,#SOLDIERS.VOLSCIAN.Lieutenant_Cor,81,11,474,61
5,1,#Cominius_Cor,240,31,616,86
5,1,#Menenius_Cor,283,40,511,72
5,1,#TRIBUNES.Brutus_Cor,25,4,616,86
5,1,#TRIBUNES.Sicinius_Cor,68,11,616,86
5,2,#Aufidius_Cor,5,1,279,37
5,2,#Coriolanus_Cor,97,14,279,37
5,2,#Menenius_Cor,439,58,853,114
5,2,#WATCHMEN.1_Cor,252,32,874,117
5,2,#WATCHMEN.2_Cor,81,12,874,117
5,3,#Aufidius_Cor,59,9,1717,234
5,3,#Coriolanus_Cor,786,110,1717,234
5,3,#Virgilia_Cor,31,6,1540,210
5,3,#Volumnia_Cor,824,107,1540,210
5,3,#YoungMartius_Cor,17,2,1540,210
5,4,#MESSENGERS.TRIBUNES.1_Cor,39,5,232,32
5,4,#MESSENGERS.TRIBUNES.2_Cor,101,13,193,27
5,4,#Menenius_Cor,309,37,524,68
5,4,#TRIBUNES.Sicinius_Cor,75,13,524,68
5,5,#SENATORS.ROMAN.0.1_Cor,41,7,44,8
5,5,#SENATORS.ROMAN_Cor,3,1,44,8
5,6,#Aufidius_Cor,615,89,1237,185
5,6,#CITIZENS.VOLSCIAN_Cor,22,3,669,102
5,6,#CONSPIRATORS.0.1_Cor,56,8,1172,175
5,6,#CONSPIRATORS.0.2_Cor,38,7,1150,171
5,6,#CONSPIRATORS.0.3_Cor,80,12,1115,165
5,6,#CONSPIRATORS_Cor,11,2,1174,176
5,6,#Coriolanus_Cor,242,37,669,102
5,6,#LORDS.VOLSCIAN.0.1_Cor,89,13,723,109
5,6,#LORDS.VOLSCIAN.0.2_Cor,61,9,252,39
5,6,#LORDS.VOLSCIAN.0.3_Cor,12,2,171,25
5,6,#LORDS.VOLSCIAN_Cor,11,3,753,115
1,1,#SENATORS.ROMAN_Cor,0,0,206,36
1,3,#Usher_Cor,0,0,500,66
1,4,#SENATORS.VOLSCIAN_Cor,0,0,73,12
1,4,#SOLDIERS.VOLSCIAN_Cor,0,0,100,16
1,5,#SOLDIERS.ROMAN.Trumpeter_Cor,0,0,199,29
1,5,#SOLDIERS.ROMAN_Cor,0,0,62,8
1,6,#SOLDIERS.ROMAN_Cor,0,0,724,107
1,7,#SOLDIERS.ROMAN.Scout_Cor,0,0,64,9
1,7,#SOLDIERS.ROMAN_Cor,0,0,64,9
1,8,#SOLDIERS.VOLSCIAN_Cor,0,0,12,3
1,9,#SOLDIERS.ROMAN.0_Cor,0,0,667,94
1,10,#SOLDIERS.VOLSCIAN_Cor,0,0,275,36
2,1,#Lartius_Cor,0,0,337,57
2,1,#SOLDIERS.ROMAN_Cor,0,0,337,57
2,2,#LICTORS_Cor,0,0,953,147
3,1,#AEDILES.X.1_Cor,0,0,4,1
3,2,#NOBLES_Cor,0,0,1236,177
3,2,#SENATORS.ROMAN_Cor,0,0,1041,148
3,3,#SENATORS.ROMAN_Cor,0,0,822,127
4,1,#NOBLES_Cor,0,0,475,69
4,2,#AEDILES.X.2_Cor,0,0,60,10
5,3,#ATTENDANTS.ROMAN_Cor,0,0,1540,210
5,3,#Valeria_Cor,0,0,1540,210
5,5,#Valeria_Cor,0,0,44,8
5,5,#Virgilia_Cor,0,0,44,8
5,5,#Volumnia_Cor,0,0,44,8
5,6,#ATTENDANTS.VOLSCIAN_Cor,0,0,63,9
