act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,8,2
1,1,1,2,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,2,1
1,1,1,3,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,10,2
1,1,1,4,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,2,1
1,1,1,5,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,11,2
1,1,1,6,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,6,1
1,1,1,7,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,16,2
1,1,1,8,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,11,1
1,1,2,9,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,4,1
1,1,2,10,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,93,11
1,1,2,11,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,7,2
1,1,2,12,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,10,2
1,1,2,13,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,10,2
1,1,2,14,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,21,3
1,1,2,15,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,5,1
1,1,2,16,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,50,6
1,1,2,17,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,22,3
1,1,2,18,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,40,5
1,1,2,19,#CITIZENS.ROMAN_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor,2,1
1,1,3,20,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,4,1
1,1,3,21,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,10,2
1,1,3,22,#CITIZENS.ROMAN.0.1_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,10,2
1,1,3,23,#Menenius_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,20,3
1,1,3,24,#CITIZENS.ROMAN.0.2_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,41,5
1,1,3,25,#Menenius_Cor,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN.0.2_Cor #CITIZENS.ROMAN_Cor #Menenius_Cor,12,3
