node,node_type
#AEDILES.X.1_Cor,character
#AEDILES.X.2_Cor,character
#AEDILES.X.3_Cor,character
#AEDILES_Cor,character
#ATTENDANTS.ROMAN_Cor,character
#ATTENDANTS.VOLSCIAN_Cor,character
#Adrian_Cor,character
#Aufidius_Cor,character
#CITIZENS.ANTIUM.1_Cor,character
#CITIZENS.ROMAN.0.1_Cor,character
#CITIZENS.ROMAN.0.2_Cor,character
#CITIZENS.ROMAN.0.3_Cor,character
#CITIZENS.ROMAN.1_Cor,character
#CITIZENS.ROMAN.2_Cor,character
#CITIZENS.ROMAN.3_Cor,character
#CITIZENS.ROMAN.4_Cor,character
#CITIZENS.ROMAN.5_Cor,character
#CITIZENS.ROMAN.6_Cor,character
#CITIZENS.ROMAN.7_Cor,character
#CITIZENS.ROMAN.8_Cor,character
#CITIZENS.ROMAN_Cor,character
#CITIZENS.VOLSCIAN_Cor,character
#CONSPIRATORS.0.1_Cor,character
#CONSPIRATORS.0.2_Cor,character
#CONSPIRATORS.0.3_Cor,character
#CONSPIRATORS_Cor,character
#Cominius_Cor,character
#Coriolanus_Cor,character
#Gentlewoman_Cor,character
#Herald_Cor,character
#LICTORS_Cor,character
#LORDS.VOLSCIAN.0.1_Cor,character
#LORDS.VOLSCIAN.0.2_Cor,character
#LORDS.VOLSCIAN.0.3_Cor,character
#LORDS.VOLSCIAN_Cor,character
#Lartius_Cor,character
#MESSENGERS.TRIBUNES.1_Cor,character
#MESSENGERS.TRIBUNES.2_Cor,character
#MESSENGERS.X.1_Cor,character
#MESSENGERS.X.2_Cor,character
#MESSENGERS.X.3_Cor,character
#MESSENGERS.X.4_Cor,character
#Menenius_Cor,character
#NOBLES.0.1_Cor,character
#NOBLES_Cor,character
#Nicanor_Cor,character
#OFFICERS.1_Cor,character
#OFFICERS.2_Cor,character
#SENATORS.ROMAN.0.1_Cor,character
#SENATORS.ROMAN.0.2_Cor,character
#SENATORS.ROMAN_Cor,character
#SENATORS.VOLSCIAN.0.1_Cor,character
#SENATORS.VOLSCIAN.0.2_Cor,character
#SENATORS.VOLSCIAN_Cor,character
#SERVANTS.1_Cor,character
#SERVANTS.2_Cor,character
#SERVANTS.3_Cor,character
#SOLDIERS.ROMAN.0.1_Cor,character
#SOLDIERS.ROMAN.0.2_Cor,character
#SOLDIERS.ROMAN.0.3_Cor,character
#SOLDIERS.ROMAN.0_Cor,character
#SOLDIERS.ROMAN.Lieutenant_Cor,character
#SOLDIERS.ROMAN.Scout_Cor,character
#SOLDIERS.ROMAN.Trumpeter_Cor,character
#SOLDIERS.ROMAN_Cor,character
#SOLDIERS.VOLSCIAN.0.1_Cor,character
#SOLDIERS.VOLSCIAN.Lieutenant_Cor,character
#SOLDIERS.VOLSCIAN_Cor,character
#TRIBUNES.Brutus_Cor,character
#TRIBUNES.Sicinius_Cor,character
#Usher_Cor,character
#Valeria_Cor,character
#Virgilia_Cor,character
#Volumnia_Cor,character
#WATCHMEN.1_Cor,character
#WATCHMEN.2_Cor,character
#YoungMartius_Cor,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.01.0006,text_unit
1.01.0007,text_unit
1.01.0008,text_unit
1.01.0009,text_unit
