node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#ATTENDANTS.1_Cym,#ATTENDANTS.2_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#ATTENDANTS_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#Cymbeline_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#Imogen_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#Pisanio_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#ATTENDANTS.1_Cym,#Queen_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#ATTENDANTS_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#Cymbeline_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#Imogen_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#Pisanio_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#ATTENDANTS.2_Cym,#Queen_Cym,0,1,1,1483,221,1
#ATTENDANTS_Cym,#Cymbeline_Cym,0,1,1,1483,221,1
#ATTENDANTS_Cym,#Imogen_Cym,0,1,1,1483,221,1
#ATTENDANTS_Cym,#Pisanio_Cym,0,1,1,1483,221,1
#ATTENDANTS_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#ATTENDANTS_Cym,#Queen_Cym,0,1,1,1483,221,1
#Cymbeline_Cym,#Imogen_Cym,0,1,1,1483,221,1
#Cymbeline_Cym,#Pisanio_Cym,0,1,1,1483,221,1
#Cymbeline_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#Cymbeline_Cym,#Queen_Cym,0,1,1,1483,221,1
#Imogen_Cym,#Pisanio_Cym,0,1,1,1483,221,1
#Imogen_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#Imogen_Cym,#Queen_Cym,0,1,1,1483,221,1
#Pisanio_Cym,#Posthumus_Cym,0,1,1,1483,221,1
#Pisanio_Cym,#Queen_Cym,0,1,1,1483,221,1
#Posthumus_Cym,#Queen_Cym,0,1,1,1483,221,1
#ATTENDANTS.CLOTEN.1_Cym,#ATTENDANTS.CLOTEN.2_Cym,0,1,2,265,41,2
#ATTENDANTS.CLOTEN.1_Cym,#Cloten_Cym,0,1,2,265,41,2
#ATTENDANTS.CLOTEN.2_Cym,#Cloten_Cym,0,1,2,265,41,2
#Imogen_Cym,#LADIES.IMOGEN_Cym,0,1,3,339,49,3
#Imogen_Cym,#Pisanio_Cym,1,1,3,339,49,3
#Pisanio_Cym,#LADIES.IMOGEN_Cym,0,1,3,339,49,3
#Dutchman_Cym,#Frenchman_Cym,0,1,4,1386,181,4
#Dutchman_Cym,#Iachimo_Cym,0,1,4,1386,181,4
#Dutchman_Cym,#Philario_Cym,0,1,4,1386,181,4
#Dutchman_Cym,#Spaniard_Cym,0,1,4,1386,181,4
#Frenchman_Cym,#Iachimo_Cym,0,1,4,1386,181,4
#Frenchman_Cym,#Philario_Cym,0,1,4,1386,181,4
#Frenchman_Cym,#Spaniard_Cym,0,1,4,1386,181,4
#Iachimo_Cym,#Philario_Cym,0,1,4,1386,181,4
#Iachimo_Cym,#Spaniard_Cym,0,1,4,1386,181,4
#Philario_Cym,#Spaniard_Cym,0,1,4,1386,181,4
#Posthumus_Cym,#Dutchman_Cym,0,1,4,1386,181,4
#Posthumus_Cym,#Frenchman_Cym,0,1,4,1386,181,4
#Posthumus_Cym,#Iachimo_Cym,0,1,4,1386,181,4
#Posthumus_Cym,#Philario_Cym,0,1,4,1386,181,4
#Posthumus_Cym,#Spaniard_Cym,0,1,4,1386,181,4
#Cornelius_Cym,#LADIES.QUEEN.0.1_Cym,0,1,5,726,100,5
#Cornelius_Cym,#LADIES.QUEEN_Cym,0,1,5,726,100,5
#LADIES.QUEEN.0.1_Cym,#LADIES.QUEEN_Cym,0,1,5,726,100,5
#Pisanio_Cym,#Cornelius_Cym,0,1,5,726,100,5
#Pisanio_Cym,#LADIES.QUEEN.0.1_Cym,0,1,5,726,100,5
#Pisanio_Cym,#LADIES.QUEEN_Cym,0,1,5,726,100,5
#Pisanio_Cym,#Queen_Cym,1,1,5,726,100,5
#Queen_Cym,#Cornelius_Cym,0,1,5,726,100,5
#Queen_Cym,#LADIES.QUEEN.0.1_Cym,0,1,5,726,100,5
#Queen_Cym,#LADIES.QUEEN_Cym,0,1,5,726,100,5
#Imogen_Cym,#Iachimo_Cym,0,1,6,1659,244,6
#Imogen_Cym,#Pisanio_Cym,2,1,6,1659,244,6
#Pisanio_Cym,#Iachimo_Cym,0,1,6,1659,244,6
#ATTENDANTS.CLOTEN.1_Cym,#ATTENDANTS.CLOTEN.2_Cym,1,2,1,477,65,7
#ATTENDANTS.CLOTEN.1_Cym,#Cloten_Cym,1,2,1,477,65,7
#ATTENDANTS.CLOTEN.2_Cym,#Cloten_Cym,1,2,1,477,65,7
#Imogen_Cym,#Iachimo_Cym,1,2,2,411,56,8
#Imogen_Cym,#LADIES.IMOGEN_Cym,1,2,2,411,56,8
#LADIES.IMOGEN_Cym,#Iachimo_Cym,0,2,2,411,56,8
#ATTENDANTS.CLOTEN.1_Cym,#ATTENDANTS.CLOTEN.2_Cym,2,2,3,1259,180,9
#ATTENDANTS.CLOTEN.1_Cym,#Cloten_Cym,2,2,3,1259,180,9
#ATTENDANTS.CLOTEN.1_Cym,#LADIES.IMOGEN_Cym,0,2,3,1259,180,9
#ATTENDANTS.CLOTEN.1_Cym,#MESSENGERS.1_Cym,0,2,3,1259,180,9
