act,scene,n_tokens,n_lines,onstage
1,1,1483,221,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym #ATTENDANTS_Cym #Cymbeline_Cym #Imogen_Cym #Pisanio_Cym #Posthumus_Cym #Queen_Cym
1,2,265,41,#ATTENDANTS.CLOTEN.1_Cym #ATTENDANTS.CLOTEN.2_Cym #Cloten_Cym
1,3,339,49,#Imogen_Cym #LADIES.IMOGEN_Cym #Pisanio_Cym
1,4,1386,181,#Dutchman_Cym #Frenchman_Cym #Iachimo_Cym #Philario_Cym #Posthumus_Cym #Spaniard_Cym
1,5,726,100,#Cornelius_Cym #LADIES.QUEEN.0.1_Cym #LADIES.QUEEN_Cym #Pisanio_Cym #Queen_Cym
1,6,1659,244,#Iachimo_Cym #Imogen_Cym #Pisanio_Cym
2,1,477,65,#ATTENDANTS.CLOTEN.1_Cym #ATTENDANTS.CLOTEN.2_Cym #Cloten_Cym
2,2,411,56,#Iachimo_Cym #Imogen_Cym #LADIES.IMOGEN_Cym
2,3,1259,180,#ATTENDANTS.CLOTEN.1_Cym #ATTENDANTS.CLOTEN.2_Cym #ATTENDANTS_Cym #Cloten_Cym #Cymbeline_Cym #Imogen_Cym #LADIES.IMOGEN_Cym #MESSENGERS.1_Cym #MUSICIANS_Cym #Pisanio_Cym #Queen_Cym
2,4,1282,195,#Iachimo_Cym #Philario_Cym #Posthumus_Cym
2,5,285,36,#Posthumus_Cym
3,1,684,92,#ATTENDANTS_Cym #Cloten_Cym #Cymbeline_Cym #Lucius_Cym #Queen_Cym
3,2,690,87,#Imogen_Cym #Pisanio_Cym
3,3,917,115,#Arviragus_Cym #Belarius_Cym #Guiderius_Cym
3,4,1600,222,#Imogen_Cym #Pisanio_Cym
3,5,1345,188,#ATTENDANTS.0.1_Cym #ATTENDANTS_Cym #Cloten_Cym #Cymbeline_Cym #Lucius_Cym #Pisanio_Cym #Queen_Cym
3,6,788,115,#Arviragus_Cym #Belarius_Cym #Guiderius_Cym #Imogen_Cym
3,7,117,19,#SENATORS.1_Cym #SENATORS.2_Cym #TRIBUNES.0.1_Cym #TRIBUNES_Cym
4,1,240,26,#Cloten_Cym
4,2,3332,486,#Arviragus_Cym #Belarius_Cym #Cloten_Cym #Guiderius_Cym #Imogen_Cym #Lucius_Cym #SOLDIERS.ROMAN.0.1_Cym #SOLDIERS.ROMAN_Cym #Soothsayer_Cym
4,3,396,54,#ATTENDANTS.0.2_Cym #ATTENDANTS_Cym #Cymbeline_Cym #Pisanio_Cym
4,4,456,65,#Arviragus_Cym #Belarius_Cym #Guiderius_Cym
5,1,274,33,#Posthumus_Cym
5,2,145,20,#Arviragus_Cym #Belarius_Cym #Cymbeline_Cym #Guiderius_Cym #Iachimo_Cym #Imogen_Cym #Lucius_Cym #SOLDIERS.BRITON_Cym #SOLDIERS.ROMAN_Cym
5,3,810,106,#ATTENDANTS.3_Cym #Posthumus_Cym #SOLDIERS.BRITON.0.1_Cym #SOLDIERS.BRITON.0.2_Cym #SOLDIERS.BRITON_Cym
5,4,1515,210,#GHOSTS.BROTHERS.1_Cym #GHOSTS.BROTHERS.2_Cym #GHOSTS.Father_Cym #GHOSTS.Mother_Cym #JAILERS.1_Cym #JAILERS.2_Cym #Jupiter_Cym #MESSENGERS.2_Cym #Posthumus_Cym
5,5,3982,586,#ATTENDANTS_Cym #Arviragus_Cym #Belarius_Cym #Cornelius_Cym #Cymbeline_Cym #Guiderius_Cym #Iachimo_Cym #Imogen_Cym #LADIES.QUEEN_Cym #Lucius_Cym #Pisanio_Cym #Posthumus_Cym #SOLDIERS.BRITON_Cym #SOLDIERS.ROMAN_Cym #Soothsayer_Cym
