node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0.1_Cym,101,22,15,3
#ATTENDANTS.0.2_Cym,260,102,36,16
#ATTENDANTS.1_Cym,577,506,80,67
#ATTENDANTS.2_Cym,577,71,80,13
#ATTENDANTS.3_Cym,532,34,71,7
#ATTENDANTS.CLOTEN.1_Cym,1112,190,161,27
#ATTENDANTS.CLOTEN.2_Cym,1224,313,175,48
#ATTENDANTS_Cym,6062,0,889,0
#Arviragus_Cym,7616,947,1115,146
#Belarius_Cym,7896,2503,1148,343
#Cloten_Cym,4361,2001,616,265
#Cornelius_Cym,4159,522,613,75
#Cymbeline_Cym,5947,1988,873,298
#Dutchman_Cym,1386,0,181,0
#Frenchman_Cym,1386,180,181,25
#GHOSTS.BROTHERS.1_Cym,547,73,94,15
#GHOSTS.BROTHERS.2_Cym,547,44,94,9
#GHOSTS.Father_Cym,547,230,94,41
#GHOSTS.Mother_Cym,547,62,94,13
#Guiderius_Cym,7747,1110,1141,173
#Iachimo_Cym,7907,3193,1143,439
#Imogen_Cym,12217,4417,1761,606
#JAILERS.1_Cym,511,412,60,45
#JAILERS.2_Cym,21,4,3,1
#Jupiter_Cym,154,154,21,21
#LADIES.IMOGEN_Cym,151,60,29,14
#LADIES.QUEEN.0.1_Cym,709,2,98,1
#LADIES.QUEEN_Cym,3839,6,567,1
#Lucius_Cym,4857,721,707,104
#MESSENGERS.1_Cym,12,12,2,2
#MESSENGERS.2_Cym,38,10,7,2
#MUSICIANS_Cym,136,44,20,9
#Philario_Cym,2668,292,376,44
#Pisanio_Cym,8620,1499,1230,219
#Posthumus_Cym,9128,3391,1296,453
#Queen_Cym,2612,1209,370,170
#SENATORS.1_Cym,117,101,19,15
#SENATORS.2_Cym,117,1,19,1
#SOLDIERS.BRITON.0.1_Cym,95,30,14,4
#SOLDIERS.BRITON.0.2_Cym,78,51,12,7
#SOLDIERS.BRITON_Cym,3542,0,524,0
#SOLDIERS.ROMAN.0.1_Cym,582,68,81,11
#SOLDIERS.ROMAN_Cym,4065,0,597,0
#Soothsayer_Cym,4003,310,587,45
#Spaniard_Cym,1386,0,181,0
#TRIBUNES.0.1_Cym,47,15,9,3
#TRIBUNES_Cym,117,0,19,0
