node1,node2,n_lines,n_tokens
#ATTENDANTS.1_Cym,1.01.0001,80,577
#ATTENDANTS.2_Cym,1.01.0001,80,577
#Imogen_Cym,1.01.0002,16,112
#Posthumus_Cym,1.01.0002,16,112
#Queen_Cym,1.01.0002,16,112
#Imogen_Cym,1.01.0003,20,143
#Posthumus_Cym,1.01.0003,20,143
#Imogen_Cym,1.01.0004,7,47
#Posthumus_Cym,1.01.0004,7,47
#Queen_Cym,1.01.0004,7,47
#Imogen_Cym,1.01.0005,23,148
#Posthumus_Cym,1.01.0005,23,148
#ATTENDANTS_Cym,1.01.0006,8,46
#Cymbeline_Cym,1.01.0006,8,46
#Imogen_Cym,1.01.0006,8,46
#Posthumus_Cym,1.01.0006,8,46
#ATTENDANTS_Cym,1.01.0007,29,170
#Cymbeline_Cym,1.01.0007,29,170
#Imogen_Cym,1.01.0007,29,170
#ATTENDANTS_Cym,1.01.0008,11,59
#Cymbeline_Cym,1.01.0008,11,59
#Imogen_Cym,1.01.0008,11,59
#Queen_Cym,1.01.0008,11,59
#Imogen_Cym,1.01.0009,1,5
#Queen_Cym,1.01.0009,1,5
#Imogen_Cym,1.01.0010,26,176
#Pisanio_Cym,1.01.0010,26,176
#Queen_Cym,1.01.0010,26,176
#ATTENDANTS.CLOTEN.1_Cym,1.02.0011,41,265
#ATTENDANTS.CLOTEN.2_Cym,1.02.0011,41,265
#Cloten_Cym,1.02.0011,41,265
#Imogen_Cym,1.03.0012,44,315
#Pisanio_Cym,1.03.0012,44,315
#Imogen_Cym,1.03.0013,5,24
#LADIES.IMOGEN_Cym,1.03.0013,5,24
#Pisanio_Cym,1.03.0013,5,24
#Dutchman_Cym,1.04.0014,28,213
#Frenchman_Cym,1.04.0014,28,213
#Iachimo_Cym,1.04.0014,28,213
#Philario_Cym,1.04.0014,28,213
#Spaniard_Cym,1.04.0014,28,213
#Dutchman_Cym,1.04.0015,150,1157
#Frenchman_Cym,1.04.0015,150,1157
#Iachimo_Cym,1.04.0015,150,1157
#Philario_Cym,1.04.0015,150,1157
#Posthumus_Cym,1.04.0015,150,1157
#Spaniard_Cym,1.04.0015,150,1157
#Dutchman_Cym,1.04.0016,3,16
#Frenchman_Cym,1.04.0016,3,16
#Philario_Cym,1.04.0016,3,16
#Spaniard_Cym,1.04.0016,3,16
#Cornelius_Cym,1.05.0017,2,17
#LADIES.QUEEN_Cym,1.05.0017,2,17
#Queen_Cym,1.05.0017,2,17
#Cornelius_Cym,1.05.0018,2,3
#LADIES.QUEEN.0.1_Cym,1.05.0018,2,3
#LADIES.QUEEN_Cym,1.05.0018,2,3
#Queen_Cym,1.05.0018,2,3
#Cornelius_Cym,1.05.0019,27,181
#LADIES.QUEEN.0.1_Cym,1.05.0019,27,181
#Queen_Cym,1.05.0019,27,181
#Cornelius_Cym,1.05.0020,23,163
#LADIES.QUEEN.0.1_Cym,1.05.0020,23,163
#Pisanio_Cym,1.05.0020,23,163
#Queen_Cym,1.05.0020,23,163
#LADIES.QUEEN.0.1_Cym,1.05.0021,31,257
