node,node_type
#ATTENDANTS.0.1_Cym,character
#ATTENDANTS.0.2_Cym,character
#ATTENDANTS.1_Cym,character
#ATTENDANTS.2_Cym,character
#ATTENDANTS.3_Cym,character
#ATTENDANTS.CLOTEN.1_Cym,character
#ATTENDANTS.CLOTEN.2_Cym,character
#ATTENDANTS_Cym,character
#Arviragus_Cym,character
#Belarius_Cym,character
#Cloten_Cym,character
#Cornelius_Cym,character
#Cymbeline_Cym,character
#Dutchman_Cym,character
#Frenchman_Cym,character
#GHOSTS.BROTHERS.1_Cym,character
#GHOSTS.BROTHERS.2_Cym,character
#GHOSTS.Father_Cym,character
#GHOSTS.Mother_Cym,character
#Guiderius_Cym,character
#Iachimo_Cym,character
#Imogen_Cym,character
#JAILERS.1_Cym,character
#JAILERS.2_Cym,character
#Jupiter_Cym,character
#LADIES.IMOGEN_Cym,character
#LADIES.QUEEN.0.1_Cym,character
#LADIES.QUEEN_Cym,character
#Lucius_Cym,character
#MESSENGERS.1_Cym,character
#MESSENGERS.2_Cym,character
#MUSICIANS_Cym,character
#Philario_Cym,character
#Pisanio_Cym,character
#Posthumus_Cym,character
#Queen_Cym,character
#SENATORS.1_Cym,character
#SENATORS.2_Cym,character
#SOLDIERS.BRITON.0.1_Cym,character
#SOLDIERS.BRITON.0.2_Cym,character
#SOLDIERS.BRITON_Cym,character
#SOLDIERS.ROMAN.0.1_Cym,character
#SOLDIERS.ROMAN_Cym,character
#Soothsayer_Cym,character
#Spaniard_Cym,character
#TRIBUNES.0.1_Cym,character
#TRIBUNES_Cym,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
1.05,text_unit
1.06,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
2.05,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
3.05,text_unit
3.06,text_unit
3.07,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
5.04,text_unit
5.05,text_unit
