node1,node2,count
#AMBASSADORS_Ham,#ATTENDANTS.2_Ham,1
#AMBASSADORS_Ham,#Fortinbras_Ham,1
#AMBASSADORS_Ham,#Osric_Ham,1
#AMBASSADORS_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#ATTENDANTS.0.1_Ham,#SAILORS.0.1_Ham,1
#ATTENDANTS.0.1_Ham,#SAILORS_Ham,1
#ATTENDANTS.1_Ham,#FOLLOWERS.LAERTES_Ham,1
#ATTENDANTS.1_Ham,#MESSENGERS.1_Ham,1
#ATTENDANTS.2_Ham,#Fortinbras_Ham,1
#ATTENDANTS.2_Ham,#Osric_Ham,1
#ATTENDANTS.2_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#ATTENDANTS.GUARDS_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#ATTENDANTS_Ham,#AMBASSADORS_Ham,1
#ATTENDANTS_Ham,#ATTENDANTS.0.1_Ham,1
#ATTENDANTS_Ham,#ATTENDANTS.2_Ham,1
#ATTENDANTS_Ham,#ATTENDANTS.GUARDS_Ham,1
#ATTENDANTS_Ham,#Doctor_Ham,1
#ATTENDANTS_Ham,#Fortinbras_Ham,1
#ATTENDANTS_Ham,#Gravedigger_Ham,1
#ATTENDANTS_Ham,#GravediggersCompanion_Ham,1
#ATTENDANTS_Ham,#Guildenstern_Ham,4
#ATTENDANTS_Ham,#Ophelia_Ham,3
#ATTENDANTS_Ham,#Osric_Ham,1
#ATTENDANTS_Ham,#PLAYERS.0.1_Ham,1
#ATTENDANTS_Ham,#PLAYERS.1_Ham,1
#ATTENDANTS_Ham,#PLAYERS.King_Ham,1
#ATTENDANTS_Ham,#PLAYERS.Lucianus_Ham,1
#ATTENDANTS_Ham,#PLAYERS.Prologue_Ham,1
#ATTENDANTS_Ham,#PLAYERS.Queen_Ham,1
#ATTENDANTS_Ham,#PLAYERS_Ham,2
#ATTENDANTS_Ham,#Rosencrantz_Ham,4
#ATTENDANTS_Ham,#SAILORS.0.1_Ham,1
#ATTENDANTS_Ham,#SAILORS_Ham,1
#ATTENDANTS_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Barnardo_Ham,#Claudius_Ham,1
#Barnardo_Ham,#Cornelius_Ham,1
#Barnardo_Ham,#Francisco_Ham,1
#Barnardo_Ham,#Gertrude_Ham,1
#Barnardo_Ham,#Ghost_Ham,1
#Barnardo_Ham,#Hamlet_Ham,1
#Barnardo_Ham,#Horatio_Ham,2
#Barnardo_Ham,#Laertes_Ham,1
#Barnardo_Ham,#Marcellus_Ham,2
#Barnardo_Ham,#Polonius_Ham,1
#Barnardo_Ham,#Voltemand_Ham,1
#Claudius_Ham,#AMBASSADORS_Ham,1
#Claudius_Ham,#ATTENDANTS.1_Ham,1
#Claudius_Ham,#ATTENDANTS.2_Ham,1
#Claudius_Ham,#ATTENDANTS.GUARDS_Ham,1
#Claudius_Ham,#ATTENDANTS_Ham,6
#Claudius_Ham,#Cornelius_Ham,2
#Claudius_Ham,#Doctor_Ham,1
#Claudius_Ham,#FOLLOWERS.LAERTES_Ham,1
#Claudius_Ham,#Fortinbras_Ham,1
#Claudius_Ham,#Gertrude_Ham,9
#Claudius_Ham,#Gravedigger_Ham,1
#Claudius_Ham,#GravediggersCompanion_Ham,1
#Claudius_Ham,#Guildenstern_Ham,6
#Claudius_Ham,#Hamlet_Ham,8
#Claudius_Ham,#Laertes_Ham,5
#Claudius_Ham,#MESSENGERS.1_Ham,1
#Claudius_Ham,#MESSENGERS.2_Ham,1
#Claudius_Ham,#Ophelia_Ham,4
#Claudius_Ham,#Osric_Ham,1
#Claudius_Ham,#PLAYERS.0.1_Ham,1
#Claudius_Ham,#PLAYERS.1_Ham,1
#Claudius_Ham,#PLAYERS.King_Ham,1
#Claudius_Ham,#PLAYERS.Lucianus_Ham,1
#Claudius_Ham,#PLAYERS.Prologue_Ham,1
#Claudius_Ham,#PLAYERS.Queen_Ham,1
#Claudius_Ham,#PLAYERS_Ham,2
#Claudius_Ham,#Polonius_Ham,5
#Claudius_Ham,#Rosencrantz_Ham,6
#Claudius_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Claudius_Ham,#Voltemand_Ham,2
#Cornelius_Ham,#ATTENDANTS_Ham,1
#Cornelius_Ham,#Gertrude_Ham,2
#Cornelius_Ham,#Guildenstern_Ham,1
#Cornelius_Ham,#Hamlet_Ham,2
#Cornelius_Ham,#Laertes_Ham,1
#Cornelius_Ham,#PLAYERS.1_Ham,1
#Cornelius_Ham,#PLAYERS_Ham,1
#Cornelius_Ham,#Polonius_Ham,2
#Cornelius_Ham,#Rosencrantz_Ham,1
#Cornelius_Ham,#Voltemand_Ham,2
#Doctor_Ham,#Gravedigger_Ham,1
#Doctor_Ham,#GravediggersCompanion_Ham,1
#FOLLOWERS.LAERTES_Ham,#MESSENGERS.1_Ham,1
#Fortinbras_Ham,#ATTENDANTS.GUARDS_Ham,1
#Fortinbras_Ham,#Osric_Ham,1
#Fortinbras_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#Fortinbras_Ham,#SOLDIERS.FORTINBRAS_Ham,2
#Francisco_Ham,#Ghost_Ham,1
#Francisco_Ham,#Horatio_Ham,1
#Francisco_Ham,#Marcellus_Ham,1
#Gertrude_Ham,#AMBASSADORS_Ham,1
#Gertrude_Ham,#ATTENDANTS.1_Ham,1
#Gertrude_Ham,#ATTENDANTS.2_Ham,1
#Gertrude_Ham,#ATTENDANTS_Ham,5
#Gertrude_Ham,#Doctor_Ham,1
#Gertrude_Ham,#FOLLOWERS.LAERTES_Ham,1
#Gertrude_Ham,#Fortinbras_Ham,1
#Gertrude_Ham,#Gravedigger_Ham,1
#Gertrude_Ham,#GravediggersCompanion_Ham,1
#Gertrude_Ham,#Guildenstern_Ham,4
#Gertrude_Ham,#Hamlet_Ham,7
#Gertrude_Ham,#Laertes_Ham,5
#Gertrude_Ham,#MESSENGERS.1_Ham,1
#Gertrude_Ham,#MESSENGERS.2_Ham,1
#Gertrude_Ham,#Ophelia_Ham,4
#Gertrude_Ham,#Osric_Ham,1
#Gertrude_Ham,#PLAYERS.0.1_Ham,1
#Gertrude_Ham,#PLAYERS.1_Ham,1
#Gertrude_Ham,#PLAYERS.King_Ham,1
#Gertrude_Ham,#PLAYERS.Lucianus_Ham,1
#Gertrude_Ham,#PLAYERS.Prologue_Ham,1
#Gertrude_Ham,#PLAYERS.Queen_Ham,1
#Gertrude_Ham,#PLAYERS_Ham,2
#Gertrude_Ham,#Polonius_Ham,5
#Gertrude_Ham,#Rosencrantz_Ham,4
#Gertrude_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Gertrude_Ham,#Voltemand_Ham,2
#Ghost_Ham,#Gertrude_Ham,1
#Ghost_Ham,#Hamlet_Ham,3
#Ghost_Ham,#Horatio_Ham,3
#Ghost_Ham,#Marcellus_Ham,3
#Ghost_Ham,#Polonius_Ham,1
#Gravedigger_Ham,#GravediggersCompanion_Ham,1
#Guildenstern_Ham,#ATTENDANTS.GUARDS_Ham,3
#Guildenstern_Ham,#Fortinbras_Ham,1
#Guildenstern_Ham,#Ophelia_Ham,2
#Guildenstern_Ham,#PLAYERS.0.1_Ham,1
#Guildenstern_Ham,#PLAYERS.1_Ham,1
#Guildenstern_Ham,#PLAYERS.King_Ham,1
#Guildenstern_Ham,#PLAYERS.Lucianus_Ham,1
#Guildenstern_Ham,#PLAYERS.Prologue_Ham,1
#Guildenstern_Ham,#PLAYERS.Queen_Ham,1
#Guildenstern_Ham,#PLAYERS_Ham,2
#Guildenstern_Ham,#Rosencrantz_Ham,8
#Guildenstern_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#Guildenstern_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Hamlet_Ham,#AMBASSADORS_Ham,1
#Hamlet_Ham,#ATTENDANTS.2_Ham,1
#Hamlet_Ham,#ATTENDANTS.GUARDS_Ham,3
#Hamlet_Ham,#ATTENDANTS_Ham,6
#Hamlet_Ham,#Doctor_Ham,1
#Hamlet_Ham,#Fortinbras_Ham,2
#Hamlet_Ham,#Gravedigger_Ham,1
#Hamlet_Ham,#GravediggersCompanion_Ham,1
#Hamlet_Ham,#Guildenstern_Ham,7
#Hamlet_Ham,#Laertes_Ham,3
#Hamlet_Ham,#Ophelia_Ham,3
#Hamlet_Ham,#Osric_Ham,1
#Hamlet_Ham,#PLAYERS.0.1_Ham,1
#Hamlet_Ham,#PLAYERS.1_Ham,1
#Hamlet_Ham,#PLAYERS.King_Ham,1
#Hamlet_Ham,#PLAYERS.Lucianus_Ham,1
#Hamlet_Ham,#PLAYERS.Prologue_Ham,1
#Hamlet_Ham,#PLAYERS.Queen_Ham,1
#Hamlet_Ham,#PLAYERS_Ham,2
#Hamlet_Ham,#Polonius_Ham,6
#Hamlet_Ham,#Rosencrantz_Ham,7
#Hamlet_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#Hamlet_Ham,#SOLDIERS.FORTINBRAS_Ham,2
#Hamlet_Ham,#Voltemand_Ham,2
#Horatio_Ham,#AMBASSADORS_Ham,1
#Horatio_Ham,#ATTENDANTS.0.1_Ham,1
#Horatio_Ham,#ATTENDANTS.1_Ham,1
#Horatio_Ham,#ATTENDANTS.2_Ham,1
#Horatio_Ham,#ATTENDANTS_Ham,4
#Horatio_Ham,#Claudius_Ham,5
#Horatio_Ham,#Cornelius_Ham,1
#Horatio_Ham,#Doctor_Ham,1
#Horatio_Ham,#FOLLOWERS.LAERTES_Ham,1
#Horatio_Ham,#Fortinbras_Ham,1
#Horatio_Ham,#Gertrude_Ham,5
#Horatio_Ham,#Gravedigger_Ham,1
#Horatio_Ham,#GravediggersCompanion_Ham,1
#Horatio_Ham,#Guildenstern_Ham,1
#Horatio_Ham,#Hamlet_Ham,6
#Horatio_Ham,#Laertes_Ham,4
#Horatio_Ham,#MESSENGERS.1_Ham,1
#Horatio_Ham,#Marcellus_Ham,4
#Horatio_Ham,#Ophelia_Ham,3
#Horatio_Ham,#Osric_Ham,1
#Horatio_Ham,#PLAYERS.0.1_Ham,1
#Horatio_Ham,#PLAYERS.King_Ham,1
#Horatio_Ham,#PLAYERS.Lucianus_Ham,1
#Horatio_Ham,#PLAYERS.Prologue_Ham,1
#Horatio_Ham,#PLAYERS.Queen_Ham,1
#Horatio_Ham,#PLAYERS_Ham,1
#Horatio_Ham,#Polonius_Ham,2
#Horatio_Ham,#Rosencrantz_Ham,1
#Horatio_Ham,#SAILORS.0.1_Ham,1
#Horatio_Ham,#SAILORS_Ham,1
#Horatio_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Horatio_Ham,#Voltemand_Ham,1
#Laertes_Ham,#AMBASSADORS_Ham,1
#Laertes_Ham,#ATTENDANTS.1_Ham,1
#Laertes_Ham,#ATTENDANTS.2_Ham,1
#Laertes_Ham,#ATTENDANTS_Ham,2
#Laertes_Ham,#Doctor_Ham,1
#Laertes_Ham,#FOLLOWERS.LAERTES_Ham,1
#Laertes_Ham,#Fortinbras_Ham,1
#Laertes_Ham,#Gravedigger_Ham,1
#Laertes_Ham,#GravediggersCompanion_Ham,1
#Laertes_Ham,#MESSENGERS.1_Ham,1
#Laertes_Ham,#MESSENGERS.2_Ham,1
#Laertes_Ham,#Ophelia_Ham,3
#Laertes_Ham,#Osric_Ham,1
#Laertes_Ham,#Polonius_Ham,2
#Laertes_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#Laertes_Ham,#Voltemand_Ham,1
#Marcellus_Ham,#Claudius_Ham,1
#Marcellus_Ham,#Cornelius_Ham,1
#Marcellus_Ham,#Gertrude_Ham,1
#Marcellus_Ham,#Hamlet_Ham,3
#Marcellus_Ham,#Laertes_Ham,1
#Marcellus_Ham,#Polonius_Ham,1
#Marcellus_Ham,#Voltemand_Ham,1
#Ophelia_Ham,#ATTENDANTS.1_Ham,1
#Ophelia_Ham,#Doctor_Ham,1
#Ophelia_Ham,#FOLLOWERS.LAERTES_Ham,1
#Ophelia_Ham,#Gravedigger_Ham,1
#Ophelia_Ham,#GravediggersCompanion_Ham,1
#Ophelia_Ham,#MESSENGERS.1_Ham,1
#Ophelia_Ham,#PLAYERS.0.1_Ham,1
#Ophelia_Ham,#PLAYERS.King_Ham,1
#Ophelia_Ham,#PLAYERS.Lucianus_Ham,1
#Ophelia_Ham,#PLAYERS.Prologue_Ham,1
#Ophelia_Ham,#PLAYERS.Queen_Ham,1
#Ophelia_Ham,#PLAYERS_Ham,1
#Ophelia_Ham,#Reynaldo_Ham,1
#Ophelia_Ham,#Rosencrantz_Ham,2
#Osric_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#PLAYERS.0.1_Ham,#PLAYERS.King_Ham,1
#PLAYERS.0.1_Ham,#PLAYERS.Lucianus_Ham,1
#PLAYERS.0.1_Ham,#PLAYERS.Prologue_Ham,1
#PLAYERS.0.1_Ham,#PLAYERS.Queen_Ham,1
#PLAYERS.0.1_Ham,#PLAYERS_Ham,1
#PLAYERS.0.1_Ham,#Rosencrantz_Ham,1
#PLAYERS.King_Ham,#PLAYERS.Lucianus_Ham,1
#PLAYERS.King_Ham,#PLAYERS.Prologue_Ham,1
#PLAYERS.King_Ham,#PLAYERS.Queen_Ham,1
#PLAYERS.King_Ham,#PLAYERS_Ham,1
#PLAYERS.King_Ham,#Rosencrantz_Ham,1
#PLAYERS.Lucianus_Ham,#PLAYERS.Prologue_Ham,1
#PLAYERS.Lucianus_Ham,#PLAYERS.Queen_Ham,1
#PLAYERS.Lucianus_Ham,#PLAYERS_Ham,1
#PLAYERS.Lucianus_Ham,#Rosencrantz_Ham,1
#PLAYERS.Prologue_Ham,#PLAYERS.Queen_Ham,1
#PLAYERS.Prologue_Ham,#PLAYERS_Ham,1
#PLAYERS.Prologue_Ham,#Rosencrantz_Ham,1
#PLAYERS.Queen_Ham,#PLAYERS_Ham,1
#PLAYERS.Queen_Ham,#Rosencrantz_Ham,1
#PLAYERS_Ham,#PLAYERS.1_Ham,1
#PLAYERS_Ham,#Rosencrantz_Ham,2
#Polonius_Ham,#ATTENDANTS_Ham,3
#Polonius_Ham,#Guildenstern_Ham,4
#Polonius_Ham,#Ophelia_Ham,4
#Polonius_Ham,#PLAYERS.0.1_Ham,1
#Polonius_Ham,#PLAYERS.1_Ham,1
#Polonius_Ham,#PLAYERS.King_Ham,1
#Polonius_Ham,#PLAYERS.Lucianus_Ham,1
#Polonius_Ham,#PLAYERS.Prologue_Ham,1
#Polonius_Ham,#PLAYERS.Queen_Ham,1
#Polonius_Ham,#PLAYERS_Ham,2
#Polonius_Ham,#Reynaldo_Ham,1
#Polonius_Ham,#Rosencrantz_Ham,4
#Polonius_Ham,#Voltemand_Ham,2
#Rosencrantz_Ham,#ATTENDANTS.GUARDS_Ham,3
#Rosencrantz_Ham,#Fortinbras_Ham,1
#Rosencrantz_Ham,#PLAYERS.1_Ham,1
#Rosencrantz_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#Rosencrantz_Ham,#SOLDIERS.FORTINBRAS_Ham,1
#SAILORS.0.1_Ham,#SAILORS_Ham,1
#SOLDIERS.FORTINBRAS_Ham,#ATTENDANTS.GUARDS_Ham,1
#SOLDIERS.FORTINBRAS_Ham,#SOLDIERS.FORTINBRAS.Captain_Ham,1
#Voltemand_Ham,#ATTENDANTS_Ham,1
#Voltemand_Ham,#Guildenstern_Ham,1
#Voltemand_Ham,#PLAYERS.1_Ham,1
#Voltemand_Ham,#PLAYERS_Ham,1
#Voltemand_Ham,#Rosencrantz_Ham,1
