source,target,key,n_lines,n_tokens,edge_index,edge_type
#Barnardo_Ham,1.01.0001,0,1,2,1,active
1.01.0001,#Francisco_Ham,0,1,2,1,passive
#Francisco_Ham,1.01.0001,0,1,7,2,active
1.01.0001,#Barnardo_Ham,0,1,7,2,passive
#Barnardo_Ham,1.01.0001,1,1,4,3,active
1.01.0001,#Francisco_Ham,1,1,4,3,passive
#Francisco_Ham,1.01.0001,1,1,1,4,active
1.01.0001,#Barnardo_Ham,1,1,1,4,passive
#Barnardo_Ham,1.01.0001,2,1,1,5,active
1.01.0001,#Francisco_Ham,2,1,1,5,passive
#Francisco_Ham,1.01.0001,2,1,7,6,active
1.01.0001,#Barnardo_Ham,2,1,7,6,passive
#Barnardo_Ham,1.01.0001,3,1,9,7,active
1.01.0001,#Francisco_Ham,3,1,9,7,passive
#Francisco_Ham,1.01.0001,3,2,14,8,active
1.01.0001,#Barnardo_Ham,3,2,14,8,passive
#Barnardo_Ham,1.01.0001,4,1,5,9,active
1.01.0001,#Francisco_Ham,4,1,5,9,passive
#Francisco_Ham,1.01.0001,4,1,4,10,active
1.01.0001,#Barnardo_Ham,4,1,4,10,passive
#Barnardo_Ham,1.01.0001,5,3,19,11,active
1.01.0001,#Francisco_Ham,5,3,19,11,passive
#Francisco_Ham,1.01.0002,0,1,10,12,active
1.01.0002,#Barnardo_Ham,0,1,10,12,passive
1.01.0002,#Horatio_Ham,0,1,10,12,passive
1.01.0002,#Marcellus_Ham,0,1,10,12,passive
#Horatio_Ham,1.01.0002,0,1,4,13,active
1.01.0002,#Barnardo_Ham,1,1,4,13,passive
1.01.0002,#Francisco_Ham,0,1,4,13,passive
1.01.0002,#Marcellus_Ham,1,1,4,13,passive
#Marcellus_Ham,1.01.0002,0,1,5,14,active
1.01.0002,#Barnardo_Ham,2,1,5,14,passive
1.01.0002,#Francisco_Ham,1,1,5,14,passive
1.01.0002,#Horatio_Ham,1,1,5,14,passive
#Francisco_Ham,1.01.0002,1,1,4,15,active
1.01.0002,#Barnardo_Ham,3,1,4,15,passive
1.01.0002,#Horatio_Ham,2,1,4,15,passive
1.01.0002,#Marcellus_Ham,2,1,4,15,passive
#Marcellus_Ham,1.01.0002,1,2,8,16,active
1.01.0002,#Barnardo_Ham,4,2,8,16,passive
1.01.0002,#Francisco_Ham,2,2,8,16,passive
1.01.0002,#Horatio_Ham,3,2,8,16,passive
#Francisco_Ham,1.01.0002,2,1,8,17,active
1.01.0002,#Barnardo_Ham,5,1,8,17,passive
1.01.0002,#Horatio_Ham,4,1,8,17,passive
1.01.0002,#Marcellus_Ham,3,1,8,17,passive
#Marcellus_Ham,1.01.0003,0,1,2,18,active
1.01.0003,#Barnardo_Ham,0,1,2,18,passive
1.01.0003,#Horatio_Ham,0,1,2,18,passive
#Barnardo_Ham,1.01.0003,0,1,5,19,active
1.01.0003,#Horatio_Ham,1,1,5,19,passive
