node1,node2,count
#ATTENDANTS_1H4,#Bedford_H5,1
#ATTENDANTS_1H4,#Blunt_1H4,2
#ATTENDANTS_1H4,#HenryIV_1H4,4
#ATTENDANTS_1H4,#HenryV_H5,1
#ATTENDANTS_1H4,#Hotspur_R2,2
#ATTENDANTS_1H4,#Northumberland_R2,2
#ATTENDANTS_1H4,#Westmoreland_1H4,1
#ATTENDANTS_1H4,#Worcester_1H4,1
#Archbishop_1H4,#SirMichael_1H4,1
#Bardolph_1H4,#DRAWERS.Francis_1H4,4
#Bardolph_1H4,#Gadshill_1H4,10
#Bardolph_1H4,#MistressQuickly_1H4,6
#Bardolph_1H4,#Peto_1H4,14
#Bardolph_1H4,#TRAVELERS.CARRIERS_1H4,1
#Bardolph_1H4,#TRAVELERS.GENTLEMEN.0.1_1H4,2
#Bardolph_1H4,#TRAVELERS.GENTLEMEN_1H4,1
#Bedford_H5,#Blunt_1H4,3
#Bedford_H5,#Falstaff_1H4,4
#Bedford_H5,#HenryIV_1H4,7
#Bedford_H5,#HenryV_H5,7
#Bedford_H5,#Hotspur_R2,1
#Bedford_H5,#SOLDIERS.HENRY_1H4,2
#Bedford_H5,#Vernon_1H4,2
#Bedford_H5,#Westmoreland_1H4,4
#Bedford_H5,#Worcester_1H4,2
#Blunt_1H4,#Douglas_1H4,3
#Blunt_1H4,#Falstaff_1H4,6
#Blunt_1H4,#HenryV_H5,5
#Blunt_1H4,#Hotspur_R2,4
#Blunt_1H4,#Northumberland_R2,2
#Blunt_1H4,#Vernon_1H4,2
#Blunt_1H4,#Worcester_1H4,3
#DRAWERS.Francis_1H4,#MistressQuickly_1H4,3
#DRAWERS.Francis_1H4,#Vintner_1H4,1
#Douglas_1H4,#MESSENGERS.1_1H4,2
#Douglas_1H4,#MESSENGERS.2_1H4,1
#Douglas_1H4,#MESSENGERS.X_1H4,2
#Douglas_1H4,#SOLDIERS.HOTSPUR_1H4,4
#Falstaff_1H4,#Bardolph_1H4,15
#Falstaff_1H4,#DRAWERS.Francis_1H4,3
#Falstaff_1H4,#Gadshill_1H4,9
#Falstaff_1H4,#MistressQuickly_1H4,5
#Falstaff_1H4,#Peto_1H4,15
#Falstaff_1H4,#Poins_1H4,9
#Falstaff_1H4,#Sheriff_1H4,1
#Falstaff_1H4,#TRAVELERS.CARRIERS.X_1H4,1
#Falstaff_1H4,#TRAVELERS.CARRIERS_1H4,1
#Falstaff_1H4,#TRAVELERS.GENTLEMEN.0.1_1H4,2
#Falstaff_1H4,#TRAVELERS.GENTLEMEN_1H4,1
#Falstaff_1H4,#Vernon_1H4,1
#Gadshill_1H4,#Chamberlain_1H4,1
#Gadshill_1H4,#DRAWERS.Francis_1H4,4
#Gadshill_1H4,#MistressQuickly_1H4,4
#Gadshill_1H4,#Ostler_1H4,3
#Gadshill_1H4,#TRAVELERS.CARRIERS.1_1H4,1
#Gadshill_1H4,#TRAVELERS.CARRIERS.2_1H4,1
#Gadshill_1H4,#TRAVELERS.CARRIERS_1H4,1
#Gadshill_1H4,#TRAVELERS.GENTLEMEN.0.1_1H4,2
#Gadshill_1H4,#TRAVELERS.GENTLEMEN_1H4,1
#Glendower_1H4,#LadyMortimer_1H4,2
#Glendower_1H4,#Mortimer_1H4,3
#HenryIV_1H4,#Blunt_1H4,6
#HenryIV_1H4,#Douglas_1H4,2
#HenryIV_1H4,#Falstaff_1H4,3
#HenryIV_1H4,#HenryV_H5,12
#HenryIV_1H4,#Hotspur_R2,2
#HenryIV_1H4,#Northumberland_R2,2
#HenryIV_1H4,#SOLDIERS.HENRY_1H4,2
#HenryIV_1H4,#Vernon_1H4,2
#HenryIV_1H4,#Westmoreland_1H4,4
#HenryIV_1H4,#Worcester_1H4,3
#HenryV_H5,#Bardolph_1H4,12
#HenryV_H5,#DRAWERS.Francis_1H4,7
#HenryV_H5,#Douglas_1H4,1
#HenryV_H5,#Falstaff_1H4,26
#HenryV_H5,#Gadshill_1H4,8
#HenryV_H5,#MistressQuickly_1H4,5
#HenryV_H5,#Peto_1H4,15
#HenryV_H5,#Poins_1H4,22
#HenryV_H5,#SOLDIERS.HENRY_1H4,2
#HenryV_H5,#Sheriff_1H4,1
#HenryV_H5,#TRAVELERS.CARRIERS.X_1H4,1
