node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#ATTENDANTS_1H4,#Bedford_H5,0,1,1,803,107,1
#ATTENDANTS_1H4,#HenryIV_1H4,0,1,1,803,107,1
#ATTENDANTS_1H4,#Westmoreland_1H4,0,1,1,803,107,1
#Bedford_H5,#HenryIV_1H4,0,1,1,803,107,1
#Bedford_H5,#Westmoreland_1H4,0,1,1,803,107,1
#HenryIV_1H4,#Westmoreland_1H4,0,1,1,803,107,1
#Falstaff_1H4,#HenryV_H5,0,1,2,1767,224,2
#Falstaff_1H4,#Poins_1H4,0,1,2,1767,224,2
#HenryV_H5,#Poins_1H4,0,1,2,1767,224,2
#ATTENDANTS_1H4,#Blunt_1H4,0,1,3,2296,313,3
#ATTENDANTS_1H4,#HenryIV_1H4,1,1,3,2296,313,3
#ATTENDANTS_1H4,#Hotspur_R2,0,1,3,2296,313,3
#ATTENDANTS_1H4,#Northumberland_R2,0,1,3,2296,313,3
#ATTENDANTS_1H4,#Worcester_1H4,0,1,3,2296,313,3
#Blunt_1H4,#Hotspur_R2,0,1,3,2296,313,3
#Blunt_1H4,#Northumberland_R2,0,1,3,2296,313,3
#Blunt_1H4,#Worcester_1H4,0,1,3,2296,313,3
#HenryIV_1H4,#Blunt_1H4,0,1,3,2296,313,3
#HenryIV_1H4,#Hotspur_R2,0,1,3,2296,313,3
#HenryIV_1H4,#Northumberland_R2,0,1,3,2296,313,3
#HenryIV_1H4,#Worcester_1H4,0,1,3,2296,313,3
#Hotspur_R2,#Northumberland_R2,0,1,3,2296,313,3
#Hotspur_R2,#Worcester_1H4,0,1,3,2296,313,3
#Northumberland_R2,#Worcester_1H4,0,1,3,2296,313,3
#Chamberlain_1H4,#Gadshill_1H4,0,2,1,774,103,4
#Chamberlain_1H4,#Ostler_1H4,0,2,1,774,103,4
#Chamberlain_1H4,#TRAVELERS.CARRIERS.1_1H4,0,2,1,774,103,4
#Chamberlain_1H4,#TRAVELERS.CARRIERS.2_1H4,0,2,1,774,103,4
#Gadshill_1H4,#Ostler_1H4,0,2,1,774,103,4
#Gadshill_1H4,#TRAVELERS.CARRIERS.1_1H4,0,2,1,774,103,4
#Gadshill_1H4,#TRAVELERS.CARRIERS.2_1H4,0,2,1,774,103,4
#Ostler_1H4,#TRAVELERS.CARRIERS.1_1H4,0,2,1,774,103,4
#Ostler_1H4,#TRAVELERS.CARRIERS.2_1H4,0,2,1,774,103,4
