act,scene,n_tokens,n_lines,onstage
1,1,803,107,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4
1,2,1767,224,#Falstaff_1H4 #HenryV_H5 #Poins_1H4
1,3,2296,313,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4
2,1,774,103,#Chamberlain_1H4 #Gadshill_1H4 #Ostler_1H4 #TRAVELERS.CARRIERS.1_1H4 #TRAVELERS.CARRIERS.2_1H4
2,2,815,117,#Bardolph_1H4 #Falstaff_1H4 #Gadshill_1H4 #HenryV_H5 #Peto_1H4 #Poins_1H4 #TRAVELERS.CARRIERS_1H4 #TRAVELERS.GENTLEMEN.0.1_1H4 #TRAVELERS.GENTLEMEN_1H4
2,3,991,124,#Hotspur_R2 #LadyPercy_1H4 #SERVANTS.HOTSPUR.1_1H4
2,4,4331,571,#Bardolph_1H4 #DRAWERS.Francis_1H4 #Falstaff_1H4 #Gadshill_1H4 #HenryV_H5 #MistressQuickly_1H4 #Peto_1H4 #Poins_1H4 #Sheriff_1H4 #TRAVELERS.CARRIERS.X_1H4 #Vintner_1H4
3,1,2027,276,#Glendower_1H4 #Hotspur_R2 #LadyMortimer_1H4 #LadyPercy_1H4 #Mortimer_1H4 #Worcester_1H4
3,2,1364,185,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #HenryV_H5
3,3,1707,220,#Bardolph_1H4 #Falstaff_1H4 #HenryV_H5 #MistressQuickly_1H4 #Peto_1H4
4,1,1086,144,#Douglas_1H4 #Hotspur_R2 #MESSENGERS.X_1H4 #Vernon_1H4 #Worcester_1H4
4,2,667,83,#Bardolph_1H4 #Falstaff_1H4 #HenryV_H5 #Westmoreland_1H4
4,3,872,121,#Blunt_1H4 #Douglas_1H4 #Hotspur_R2 #Vernon_1H4 #Worcester_1H4
4,4,311,41,#Archbishop_1H4 #SirMichael_1H4
5,1,1124,142,#Bedford_H5 #Blunt_1H4 #Falstaff_1H4 #HenryIV_1H4 #HenryV_H5 #Vernon_1H4 #Worcester_1H4
5,2,774,104,#Douglas_1H4 #Hotspur_R2 #MESSENGERS.1_1H4 #MESSENGERS.2_1H4 #SOLDIERS.HOTSPUR_1H4 #Vernon_1H4 #Worcester_1H4
5,3,506,65,#Blunt_1H4 #Douglas_1H4 #Falstaff_1H4 #HenryV_H5 #Hotspur_R2
5,4,1397,169,#Bedford_H5 #Douglas_1H4 #Falstaff_1H4 #HenryIV_1H4 #HenryV_H5 #Hotspur_R2 #Westmoreland_1H4
5,5,331,46,#Bedford_H5 #HenryIV_1H4 #HenryV_H5 #SOLDIERS.HENRY_1H4 #Vernon_1H4 #Westmoreland_1H4 #Worcester_1H4
