act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#HenryIV_1H4,574,75,803,107
1,1,#Westmoreland_1H4,229,32,803,107
1,2,#Falstaff_1H4,708,87,1297,166
1,2,#HenryV_H5,667,89,1767,224
1,2,#Poins_1H4,392,48,695,90
1,3,#Blunt_1H4,54,7,925,126
1,3,#HenryIV_1H4,339,44,925,126
1,3,#Hotspur_R2,1286,173,2296,313
1,3,#Northumberland_R2,170,26,2296,313
1,3,#Worcester_1H4,447,63,1482,202
2,1,#Chamberlain_1H4,149,19,419,51
2,1,#Gadshill_1H4,308,40,523,69
2,1,#Ostler_1H4,2,1,747,99
2,1,#TRAVELERS.CARRIERS.1_1H4,175,23,352,51
2,1,#TRAVELERS.CARRIERS.2_1H4,140,20,299,43
2,2,#Bardolph_1H4,3,2,488,76
2,2,#Falstaff_1H4,473,63,693,100
2,2,#Gadshill_1H4,35,7,317,53
2,2,#HenryV_H5,208,30,521,78
2,2,#Peto_1H4,7,2,488,76
2,2,#Poins_1H4,61,10,488,72
2,2,#TRAVELERS.CARRIERS_1H4,3,1,90,16
2,2,#TRAVELERS.GENTLEMEN.0.1_1H4,19,3,236,37
2,2,#TRAVELERS.GENTLEMEN_1H4,12,3,90,16
2,3,#Hotspur_R2,606,73,991,124
2,3,#LadyPercy_1H4,366,48,646,88
2,3,#SERVANTS.HOTSPUR.1_1H4,19,3,64,9
2,4,#Bardolph_1H4,115,16,3184,409
2,4,#DRAWERS.Francis_1H4,83,17,3262,433
2,4,#Falstaff_1H4,2002,239,3301,427
2,4,#HenryV_H5,1764,236,4331,571
2,4,#MistressQuickly_1H4,92,13,1773,225
2,4,#Peto_1H4,86,14,3513,455
2,4,#Poins_1H4,93,23,4002,525
2,4,#Sheriff_1H4,59,8,158,21
2,4,#TRAVELERS.CARRIERS.X_1H4,4,1,158,21
2,4,#Vintner_1H4,33,4,42,6
3,1,#Glendower_1H4,608,78,1676,229
3,1,#Hotspur_R2,805,109,1992,271
3,1,#LadyPercy_1H4,53,10,555,79
3,1,#Mortimer_1H4,444,62,2027,276
3,1,#Worcester_1H4,117,17,2027,276
3,2,#Blunt_1H4,54,7,143,19
3,2,#HenryIV_1H4,971,134,1364,185
3,2,#HenryV_H5,339,44,1364,185
3,3,#Bardolph_1H4,68,12,1626,209
3,3,#Falstaff_1H4,1005,123,1707,220
3,3,#HenryV_H5,315,44,893,123
3,3,#MistressQuickly_1H4,319,41,998,131
4,1,#Douglas_1H4,97,12,1086,144
4,1,#Hotspur_R2,599,79,1086,144
4,1,#MESSENGERS.X_1H4,49,6,990,131
4,1,#Vernon_1H4,170,25,404,55
4,1,#Worcester_1H4,171,22,1086,144
4,2,#Bardolph_1H4,15,3,71,10
4,2,#Falstaff_1H4,531,64,667,83
4,2,#HenryV_H5,62,8,208,27
4,2,#Westmoreland_1H4,59,8,224,30
4,3,#Blunt_1H4,146,20,641,86
4,3,#Douglas_1H4,22,4,872,121
4,3,#Hotspur_R2,540,73,872,121
4,3,#Vernon_1H4,137,20,872,121
4,3,#Worcester_1H4,27,4,872,121
4,4,#Archbishop_1H4,258,34,311,41
4,4,#SirMichael_1H4,53,7,311,41
5,1,#Falstaff_1H4,186,19,1124,142
5,1,#HenryIV_1H4,355,47,927,121
5,1,#HenryV_H5,212,29,973,127
5,1,#Worcester_1H4,371,47,821,106
5,2,#Douglas_1H4,44,6,515,69
5,2,#Hotspur_R2,298,40,566,76
5,2,#MESSENGERS.1_1H4,7,1,175,22
5,2,#MESSENGERS.2_1H4,8,1,96,12
5,2,#Vernon_1H4,153,21,774,104
5,2,#Worcester_1H4,264,35,774,104
5,3,#Blunt_1H4,45,7,506,65
5,3,#Douglas_1H4,116,15,220,31
5,3,#Falstaff_1H4,220,25,286,34
5,3,#HenryV_H5,66,9,131,18
5,3,#Hotspur_R2,59,9,119,17
5,4,#Bedford_H5,50,6,414,50
5,4,#Douglas_1H4,62,8,153,19
5,4,#Falstaff_1H4,385,40,809,94
5,4,#HenryIV_1H4,136,19,450,58
5,4,#HenryV_H5,622,78,1070,132
5,4,#Hotspur_R2,133,17,947,111
5,4,#Westmoreland_1H4,9,1,117,16
5,5,#Bedford_H5,14,2,331,46
5,5,#HenryIV_1H4,180,26,331,46
5,5,#HenryV_H5,113,15,331,46
5,5,#Worcester_1H4,24,3,107,15
1,1,#ATTENDANTS_1H4,0,0,803,107
1,1,#Bedford_H5,0,0,803,107
1,3,#ATTENDANTS_1H4,0,0,925,126
2,4,#Gadshill_1H4,0,0,3184,409
3,1,#LadyMortimer_1H4,0,0,555,79
3,2,#ATTENDANTS_1H4,0,0,28,4
3,3,#Peto_1H4,0,0,848,117
5,1,#Bedford_H5,0,0,927,121
5,1,#Blunt_1H4,0,0,927,121
5,1,#Vernon_1H4,0,0,821,106
5,2,#SOLDIERS.HOTSPUR_1H4,0,0,566,76
5,5,#SOLDIERS.HENRY_1H4,0,0,331,46
5,5,#Vernon_1H4,0,0,107,15
5,5,#Westmoreland_1H4,0,0,331,46
