node,node_type
#ATTENDANTS_1H4,character
#Archbishop_1H4,character
#Bardolph_1H4,character
#Bedford_H5,character
#Blunt_1H4,character
#Chamberlain_1H4,character
#DRAWERS.Francis_1H4,character
#Douglas_1H4,character
#Falstaff_1H4,character
#Gadshill_1H4,character
#Glendower_1H4,character
#HenryIV_1H4,character
#HenryV_H5,character
#Hotspur_R2,character
#LadyMortimer_1H4,character
#LadyPercy_1H4,character
#MESSENGERS.1_1H4,character
#MESSENGERS.2_1H4,character
#MESSENGERS.X_1H4,character
#MistressQuickly_1H4,character
#Mortimer_1H4,character
#Northumberland_R2,character
#Ostler_1H4,character
#Peto_1H4,character
#Poins_1H4,character
#SERVANTS.HOTSPUR.1_1H4,character
#SOLDIERS.HENRY_1H4,character
#SOLDIERS.HOTSPUR_1H4,character
#Sheriff_1H4,character
#SirMichael_1H4,character
#TRAVELERS.CARRIERS.1_1H4,character
#TRAVELERS.CARRIERS.2_1H4,character
#TRAVELERS.CARRIERS.X_1H4,character
#TRAVELERS.CARRIERS_1H4,character
#TRAVELERS.GENTLEMEN.0.1_1H4,character
#TRAVELERS.GENTLEMEN_1H4,character
#Vernon_1H4,character
#Vintner_1H4,character
#Westmoreland_1H4,character
#Worcester_1H4,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
5.04,text_unit
5.05,text_unit
