act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
0,0,1,#Chorus_2H4,297,42,297,42
1,1,2,#LordBardolph_2H4,6,1,6,1
1,1,3,#LordBardolph_2H4,16,3,44,7
1,1,3,#Porter_2H4,28,4,44,7
1,1,4,#LordBardolph_2H4,4,1,4,1
1,1,5,#LordBardolph_2H4,118,16,170,24
1,1,5,#Northumberland_R2,52,8,170,24
1,1,6,#LordBardolph_2H4,77,11,245,35
1,1,6,#Northumberland_R2,56,9,245,35
1,1,6,#Travers_2H4,112,15,245,35
1,1,7,#LordBardolph_2H4,79,10,1281,167
1,1,7,#Morton_2H4,633,83,1281,167
1,1,7,#Northumberland_R2,569,74,1281,167
1,2,8,#Falstaff_1H4,456,47,517,55
1,2,8,#SERVANTS.FALSTAFF.1_2H4,61,8,517,55
1,2,9,#ChiefJustice_2H4,416,59,1455,178
1,2,9,#Falstaff_1H4,932,103,1455,178
1,2,9,#SERVANTS.CHIEFJUSTICE.1_2H4,85,12,1455,178
1,2,9,#SERVANTS.FALSTAFF.1_2H4,22,4,1455,178
1,2,10,#Falstaff_1H4,126,15,132,17
1,2,10,#SERVANTS.FALSTAFF.1_2H4,6,2,132,17
1,2,11,#Falstaff_1H4,60,7,60,7
1,3,12,#Archbishop_1H4,253,36,846,116
1,3,12,#Hastings_2H4,203,28,846,116
1,3,12,#LordBardolph_2H4,343,46,846,116
1,3,12,#Mowbray_2H4,47,6,846,116
2,1,13,#MistressQuickly_1H4,278,32,331,41
2,1,13,#OFFICERS.Fang_2H4,38,6,331,41
2,1,13,#OFFICERS.Snare_2H4,15,3,331,41
2,1,14,#Falstaff_1H4,28,6,121,20
2,1,14,#MistressQuickly_1H4,67,9,121,20
2,1,14,#OFFICERS.Fang_2H4,15,3,121,20
2,1,14,#OFFICERS.Snare_2H4,4,1,121,20
2,1,14,#SERVANTS.FALSTAFF.1_2H4,11,2,121,20
2,1,15,#ChiefJustice_2H4,213,29,637,77
2,1,15,#Falstaff_1H4,143,17,637,77
2,1,15,#MistressQuickly_1H4,281,31,637,77
2,1,16,#ChiefJustice_2H4,5,1,242,33
2,1,16,#Falstaff_1H4,137,18,242,33
2,1,16,#MESSENGERS.Gower_2H4,18,2,242,33
2,1,16,#MistressQuickly_1H4,82,12,242,33
2,1,17,#ChiefJustice_2H4,71,13,185,31
2,1,17,#Falstaff_1H4,76,12,185,31
2,1,17,#MESSENGERS.Gower_2H4,38,6,185,31
2,2,18,#HenryV_H5,391,45,570,67
2,2,18,#Poins_1H4,179,22,570,67
2,2,19,#Bardolph_1H4,62,11,683,98
2,2,19,#HenryV_H5,321,47,683,98
2,2,19,#Poins_1H4,195,26,683,98
2,2,19,#SERVANTS.FALSTAFF.1_2H4,105,14,683,98
2,2,20,#HenryV_H5,63,9,92,13
2,2,20,#Poins_1H4,29,4,92,13
2,3,21,#LadyNorthumberland_2H4,38,5,552,71
2,3,21,#LadyPercy_1H4,372,46,552,71
2,3,21,#Northumberland_R2,142,20,552,71
2,4,22,#DRAWERS.1_2H4,54,6,106,14
2,4,22,#DRAWERS.Francis_1H4,52,8,106,14
2,4,23,#DRAWERS.1_2H4,14,2,55,7
2,4,23,#DRAWERS.Francis_1H4,8,1,55,7
2,4,23,#DRAWERS.Will_2H4,33,4,55,7
2,4,24,#DollTearsheet_2H4,5,1,86,11
2,4,24,#MistressQuickly_1H4,81,10,86,11
2,4,25,#Falstaff_1H4,8,2,8,2
2,4,26,#DollTearsheet_2H4,100,13,264,35
2,4,26,#Falstaff_1H4,98,14,264,35
2,4,26,#MistressQuickly_1H4,66,8,264,35
2,4,27,#DRAWERS.X_2H4,9,2,264,33
2,4,27,#DollTearsheet_2H4,16,2,264,33
2,4,27,#Falstaff_1H4,51,7,264,33
2,4,27,#MistressQuickly_1H4,188,22,264,33
