act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
0,0,1,1,#Chorus_2H4,#Chorus_2H4,297,42
1,1,2,2,#LordBardolph_2H4,#LordBardolph_2H4,6,1
1,1,3,3,#LordBardolph_2H4,#LordBardolph_2H4 #Porter_2H4,4,1
1,1,3,4,#Porter_2H4,#LordBardolph_2H4 #Porter_2H4,6,1
1,1,3,5,#LordBardolph_2H4,#LordBardolph_2H4 #Porter_2H4,12,2
1,1,3,6,#Porter_2H4,#LordBardolph_2H4 #Porter_2H4,22,3
1,1,4,7,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Porter_2H4,4,1
1,1,5,8,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2,36,5
1,1,5,9,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2,9,2
1,1,5,10,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2,4,1
1,1,5,11,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2,83,11
1,1,5,12,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2,12,2
1,1,5,13,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2,26,3
1,1,6,14,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,15,2
1,1,6,15,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,23,3
1,1,6,16,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,8,1
1,1,6,17,#Travers_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,112,15
1,1,6,18,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,19,4
1,1,6,19,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,31,4
1,1,6,20,#Northumberland_R2,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,14,2
1,1,6,21,#LordBardolph_2H4,#LordBardolph_2H4 #Northumberland_R2 #Travers_2H4,23,4
1,1,7,22,#LordBardolph_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,5,1
1,1,7,23,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,36,5
1,1,7,24,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,19,3
1,1,7,25,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,127,15
1,1,7,26,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,13,2
1,1,7,27,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,62,9
1,1,7,28,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,18,2
1,1,7,29,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,90,11
1,1,7,30,#LordBardolph_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,9,1
1,1,7,31,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,252,31
1,1,7,32,#Northumberland_R2,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,204,28
1,1,7,33,#LordBardolph_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,8,1
1,1,7,34,#Morton_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,149,20
1,1,7,35,#LordBardolph_2H4,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Travers_2H4,57,7
