node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_2H4,1912,0,264,0
#Archbishop_1H4,3587,1094,496,156
#BEADLES.0.1_2H4,209,72,29,10
#BEADLES_2H4,235,0,32,0
#Bardolph_1H4,7653,310,1067,50
#Bedford_H5,2793,812,376,116
#Blunt_2H4,1837,0,239,0
#Bullcalf_2H4,1063,109,158,14
#ChiefJustice_2H4,4060,1137,520,160
#Chorus_2H4,297,297,42,42
#Clarence_2H4,2560,170,345,24
#Colevile_2H4,624,64,76,9
#DRAWERS.1_2H4,161,68,21,8
#DRAWERS.Francis_1H4,1123,60,154,9
#DRAWERS.Will_2H4,149,33,20,4
#DRAWERS.X_2H4,264,9,33,2
#Davy_2H4,1208,276,172,36
#DollTearsheet_2H4,2966,638,411,83
#Epilogue_2H4,331,331,36,36
#Falstaff_1H4,11179,5477,1478,676
#Feeble_2H4,1457,95,207,13
#GROOMS.1_2H4,21,16,4,3
#GROOMS.2_2H4,21,5,4,1
#Gloucester_2H4,2560,122,345,19
#Harcourt_2H4,471,64,66,8
#Hastings_2H4,3551,415,491,58
#HenryIV_1H4,3772,2281,513,308
#HenryV_H5,4970,2445,660,321
#LadyNorthumberland_2H4,552,38,71,5
#LadyPercy_1H4,552,372,71,46
#LordBardolph_2H4,5337,643,731,88
#MESSENGERS.1_2H4,2611,33,361,4
#MESSENGERS.Gower_2H4,427,56,64,8
#MUSICIANS_2H4,1171,0,163,0
#Man_2H4,1824,0,253,0
#MistressQuickly_1H4,4297,1425,582,178
#Morton_2H4,1281,633,167,83
#Mouldy_2H4,1063,95,158,13
#Mowbray_2H4,3587,434,496,58
#Northumberland_R2,2252,819,298,111
#OFFICERS.Fang_2H4,1331,53,171,9
#OFFICERS.Snare_2H4,1331,19,171,4
#OFFICERS_2H4,1102,0,147,0
#Peto_1H4,96,44,14,6
#Pistol_2H4,1824,553,254,79
#Poins_1H4,2343,474,316,63
#Porter_2H4,48,28,8,4
#SERVANTS.CHIEFJUSTICE.1_2H4,1455,85,178,12
#SERVANTS.FALSTAFF.1_2H4,7902,214,1058,32
#SERVANTS.HENRY_2H4,26,0,3,0
#SOLDIERS.HENRY_2H4,1503,0,207,0
#SOLDIERS.REBEL_2H4,2741,0,380,0
#Shadow_2H4,1457,6,207,2
#Shallow_2H4,4187,1570,589,212
#Silence_2H4,3022,257,431,46
#Surrey_2H4,587,0,81,0
#Travers_2H4,1526,112,202,15
#Wart_2H4,1457,4,207,2
#Warwick_2H4,3191,573,430,80
#Westmoreland_1H4,2892,851,401,114
