node1,node2,n_lines,n_tokens
#Chorus_2H4,0.00,42,297
#LordBardolph_2H4,1.01,235,1750
#Morton_2H4,1.01,235,1750
#Northumberland_R2,1.01,235,1750
#Porter_2H4,1.01,235,1750
#Travers_2H4,1.01,235,1750
#ChiefJustice_2H4,1.02,257,2164
#Falstaff_1H4,1.02,257,2164
#SERVANTS.CHIEFJUSTICE.1_2H4,1.02,257,2164
#SERVANTS.FALSTAFF.1_2H4,1.02,257,2164
#Archbishop_1H4,1.03,116,846
#Hastings_2H4,1.03,116,846
#LordBardolph_2H4,1.03,116,846
#Mowbray_2H4,1.03,116,846
#Bardolph_1H4,2.01,202,1516
#ChiefJustice_2H4,2.01,202,1516
#Falstaff_1H4,2.01,202,1516
#MESSENGERS.Gower_2H4,2.01,202,1516
#MistressQuickly_1H4,2.01,202,1516
#OFFICERS.Fang_2H4,2.01,202,1516
#OFFICERS.Snare_2H4,2.01,202,1516
#OFFICERS_2H4,2.01,202,1516
#SERVANTS.FALSTAFF.1_2H4,2.01,202,1516
#Bardolph_1H4,2.02,178,1345
#HenryV_H5,2.02,178,1345
#Poins_1H4,2.02,178,1345
#SERVANTS.FALSTAFF.1_2H4,2.02,178,1345
#LadyNorthumberland_2H4,2.03,71,552
#LadyPercy_1H4,2.03,71,552
#Northumberland_R2,2.03,71,552
#Bardolph_1H4,2.04,400,2892
#DRAWERS.1_2H4,2.04,400,2892
#DRAWERS.Francis_1H4,2.04,400,2892
#DRAWERS.Will_2H4,2.04,400,2892
#DRAWERS.X_2H4,2.04,400,2892
#DollTearsheet_2H4,2.04,400,2892
#Falstaff_1H4,2.04,400,2892
#HenryV_H5,2.04,400,2892
#MUSICIANS_2H4,2.04,400,2892
#MistressQuickly_1H4,2.04,400,2892
#Peto_1H4,2.04,400,2892
#Pistol_2H4,2.04,400,2892
#Poins_1H4,2.04,400,2892
#SERVANTS.FALSTAFF.1_2H4,2.04,400,2892
#Blunt_2H4,3.01,112,830
#HenryIV_1H4,3.01,112,830
#SERVANTS.HENRY_2H4,3.01,112,830
#Surrey_2H4,3.01,112,830
#Warwick_2H4,3.01,112,830
#Bardolph_1H4,3.02,345,2587
#Bullcalf_2H4,3.02,345,2587
#Falstaff_1H4,3.02,345,2587
#Feeble_2H4,3.02,345,2587
#Man_2H4,3.02,345,2587
#Mouldy_2H4,3.02,345,2587
#Shadow_2H4,3.02,345,2587
#Shallow_2H4,3.02,345,2587
#Silence_2H4,3.02,345,2587
#Wart_2H4,3.02,345,2587
#Archbishop_1H4,4.01,380,2741
#Bedford_H5,4.01,380,2741
#Hastings_2H4,4.01,380,2741
#LordBardolph_2H4,4.01,380,2741
#MESSENGERS.1_2H4,4.01,380,2741
#Mowbray_2H4,4.01,380,2741
#SOLDIERS.HENRY_2H4,4.01,380,2741
#SOLDIERS.REBEL_2H4,4.01,380,2741
#Westmoreland_1H4,4.01,380,2741
#Bardolph_1H4,4.02,136,1126
#Bedford_H5,4.02,136,1126
#Blunt_2H4,4.02,136,1126
#Colevile_2H4,4.02,136,1126
#Falstaff_1H4,4.02,136,1126
#SOLDIERS.HENRY_2H4,4.02,136,1126
#Westmoreland_1H4,4.02,136,1126
#ATTENDANTS_2H4,4.03,401,2942
#Bedford_H5,4.03,401,2942
#Clarence_2H4,4.03,401,2942
#Gloucester_2H4,4.03,401,2942
#Harcourt_2H4,4.03,401,2942
#HenryIV_1H4,4.03,401,2942
#HenryV_H5,4.03,401,2942
#Warwick_2H4,4.03,401,2942
#Westmoreland_1H4,4.03,401,2942
#Bardolph_1H4,5.01,91,690
#Davy_2H4,5.01,91,690
#Falstaff_1H4,5.01,91,690
#SERVANTS.FALSTAFF.1_2H4,5.01,91,690
#Shallow_2H4,5.01,91,690
#Bedford_H5,5.02,147,1143
#Blunt_2H4,5.02,147,1143
#ChiefJustice_2H4,5.02,147,1143
#Clarence_2H4,5.02,147,1143
#Gloucester_2H4,5.02,147,1143
#HenryV_H5,5.02,147,1143
#Warwick_2H4,5.02,147,1143
#Bardolph_1H4,5.03,144,961
#Davy_2H4,5.03,144,961
#Falstaff_1H4,5.03,144,961
#Pistol_2H4,5.03,144,961
#SERVANTS.FALSTAFF.1_2H4,5.03,144,961
#Shallow_2H4,5.03,144,961
#Silence_2H4,5.03,144,961
#BEADLES.0.1_2H4,5.04,32,235
#BEADLES_2H4,5.04,32,235
#DollTearsheet_2H4,5.04,32,235
#MistressQuickly_1H4,5.04,32,235
#ATTENDANTS_2H4,5.05,110,819
#Bardolph_1H4,5.05,110,819
#Bedford_H5,5.05,110,819
#ChiefJustice_2H4,5.05,110,819
#Falstaff_1H4,5.05,110,819
#GROOMS.1_2H4,5.05,110,819
#GROOMS.2_2H4,5.05,110,819
#HenryV_H5,5.05,110,819
#OFFICERS_2H4,5.05,110,819
#Pistol_2H4,5.05,110,819
#SERVANTS.FALSTAFF.1_2H4,5.05,110,819
#Shallow_2H4,5.05,110,819
#Epilogue_2H4,6.00,36,331
