source,target,key,n_lines,n_tokens,edge_index,edge_type
#Chorus_2H4,0.00.0001,0,42,297,1,active
#LordBardolph_2H4,1.01.0002,0,1,6,2,active
#LordBardolph_2H4,1.01.0003,0,1,4,3,active
1.01.0003,#Porter_2H4,0,1,4,3,passive
#Porter_2H4,1.01.0003,0,1,6,4,active
1.01.0003,#LordBardolph_2H4,0,1,6,4,passive
#LordBardolph_2H4,1.01.0003,1,2,12,5,active
1.01.0003,#Porter_2H4,1,2,12,5,passive
#Porter_2H4,1.01.0003,1,3,22,6,active
1.01.0003,#LordBardolph_2H4,1,3,22,6,passive
#LordBardolph_2H4,1.01.0004,0,1,4,7,active
1.01.0004,#Northumberland_R2,0,1,4,7,passive
1.01.0004,#Porter_2H4,0,1,4,7,passive
#Northumberland_R2,1.01.0005,0,5,36,8,active
1.01.0005,#LordBardolph_2H4,0,5,36,8,passive
#LordBardolph_2H4,1.01.0005,0,2,9,9,active
1.01.0005,#Northumberland_R2,0,2,9,9,passive
#Northumberland_R2,1.01.0005,1,1,4,10,active
1.01.0005,#LordBardolph_2H4,1,1,4,10,passive
#LordBardolph_2H4,1.01.0005,1,11,83,11,active
1.01.0005,#Northumberland_R2,1,11,83,11,passive
#Northumberland_R2,1.01.0005,2,2,12,12,active
1.01.0005,#LordBardolph_2H4,2,2,12,12,passive
#LordBardolph_2H4,1.01.0005,2,3,26,13,active
1.01.0005,#Northumberland_R2,2,3,26,13,passive
#Northumberland_R2,1.01.0006,0,2,15,14,active
1.01.0006,#LordBardolph_2H4,0,2,15,14,passive
1.01.0006,#Travers_2H4,0,2,15,14,passive
#LordBardolph_2H4,1.01.0006,0,3,23,15,active
1.01.0006,#Northumberland_R2,0,3,23,15,passive
1.01.0006,#Travers_2H4,1,3,23,15,passive
#Northumberland_R2,1.01.0006,1,1,8,16,active
1.01.0006,#LordBardolph_2H4,1,1,8,16,passive
1.01.0006,#Travers_2H4,2,1,8,16,passive
#Travers_2H4,1.01.0006,0,15,112,17,active
1.01.0006,#LordBardolph_2H4,2,15,112,17,passive
1.01.0006,#Northumberland_R2,1,15,112,17,passive
#Northumberland_R2,1.01.0006,2,4,19,18,active
1.01.0006,#LordBardolph_2H4,3,4,19,18,passive
1.01.0006,#Travers_2H4,3,4,19,18,passive
#LordBardolph_2H4,1.01.0006,1,4,31,19,active
1.01.0006,#Northumberland_R2,2,4,31,19,passive
1.01.0006,#Travers_2H4,4,4,31,19,passive
#Northumberland_R2,1.01.0006,3,2,14,20,active
1.01.0006,#LordBardolph_2H4,4,2,14,20,passive
1.01.0006,#Travers_2H4,5,2,14,20,passive
#LordBardolph_2H4,1.01.0006,2,4,23,21,active
1.01.0006,#Northumberland_R2,3,4,23,21,passive
1.01.0006,#Travers_2H4,6,4,23,21,passive
#LordBardolph_2H4,1.01.0007,0,1,5,22,active
1.01.0007,#Morton_2H4,0,1,5,22,passive
1.01.0007,#Northumberland_R2,0,1,5,22,passive
1.01.0007,#Travers_2H4,0,1,5,22,passive
#Northumberland_R2,1.01.0007,0,5,36,23,active
1.01.0007,#LordBardolph_2H4,0,5,36,23,passive
1.01.0007,#Morton_2H4,1,5,36,23,passive
1.01.0007,#Travers_2H4,1,5,36,23,passive
#Morton_2H4,1.01.0007,0,3,19,24,active
1.01.0007,#LordBardolph_2H4,1,3,19,24,passive
1.01.0007,#Northumberland_R2,1,3,19,24,passive
1.01.0007,#Travers_2H4,2,3,19,24,passive
#Northumberland_R2,1.01.0007,1,15,127,25,active
1.01.0007,#LordBardolph_2H4,2,15,127,25,passive
1.01.0007,#Morton_2H4,2,15,127,25,passive
1.01.0007,#Travers_2H4,3,15,127,25,passive
#Morton_2H4,1.01.0007,1,2,13,26,active
1.01.0007,#LordBardolph_2H4,3,2,13,26,passive
1.01.0007,#Northumberland_R2,2,2,13,26,passive
1.01.0007,#Travers_2H4,4,2,13,26,passive
#Northumberland_R2,1.01.0007,2,9,62,27,active
1.01.0007,#LordBardolph_2H4,4,9,62,27,passive
1.01.0007,#Morton_2H4,3,9,62,27,passive
1.01.0007,#Travers_2H4,5,9,62,27,passive
#Morton_2H4,1.01.0007,2,2,18,28,active
1.01.0007,#LordBardolph_2H4,5,2,18,28,passive
1.01.0007,#Northumberland_R2,3,2,18,28,passive
1.01.0007,#Travers_2H4,6,2,18,28,passive
#Northumberland_R2,1.01.0007,3,11,90,29,active
1.01.0007,#LordBardolph_2H4,6,11,90,29,passive
1.01.0007,#Morton_2H4,4,11,90,29,passive
1.01.0007,#Travers_2H4,7,11,90,29,passive
#LordBardolph_2H4,1.01.0007,1,1,9,30,active
1.01.0007,#Morton_2H4,5,1,9,30,passive
1.01.0007,#Northumberland_R2,4,1,9,30,passive
1.01.0007,#Travers_2H4,8,1,9,30,passive
#Morton_2H4,1.01.0007,3,31,252,31,active
1.01.0007,#LordBardolph_2H4,7,31,252,31,passive
1.01.0007,#Northumberland_R2,5,31,252,31,passive
1.01.0007,#Travers_2H4,9,31,252,31,passive
#Northumberland_R2,1.01.0007,4,28,204,32,active
1.01.0007,#LordBardolph_2H4,8,28,204,32,passive
1.01.0007,#Morton_2H4,6,28,204,32,passive
1.01.0007,#Travers_2H4,10,28,204,32,passive
#LordBardolph_2H4,1.01.0007,2,1,8,33,active
1.01.0007,#Morton_2H4,7,1,8,33,passive
1.01.0007,#Northumberland_R2,6,1,8,33,passive
1.01.0007,#Travers_2H4,11,1,8,33,passive
#Morton_2H4,1.01.0007,4,20,149,34,active
1.01.0007,#LordBardolph_2H4,9,20,149,34,passive
1.01.0007,#Northumberland_R2,7,20,149,34,passive
1.01.0007,#Travers_2H4,12,20,149,34,passive
#LordBardolph_2H4,1.01.0007,3,7,57,35,active
1.01.0007,#Morton_2H4,8,7,57,35,passive
1.01.0007,#Northumberland_R2,8,7,57,35,passive
1.01.0007,#Travers_2H4,13,7,57,35,passive
#Morton_2H4,1.01.0007,5,25,182,36,active
1.01.0007,#LordBardolph_2H4,10,25,182,36,passive
1.01.0007,#Northumberland_R2,9,25,182,36,passive
1.01.0007,#Travers_2H4,14,25,182,36,passive
#Northumberland_R2,1.01.0007,5,6,50,37,active
1.01.0007,#LordBardolph_2H4,11,6,50,37,passive
1.01.0007,#Morton_2H4,9,6,50,37,passive
1.01.0007,#Travers_2H4,15,6,50,37,passive
#Falstaff_1H4,1.02.0008,0,2,10,38,active
1.02.0008,#SERVANTS.FALSTAFF.1_2H4,0,2,10,38,passive
#SERVANTS.FALSTAFF.1_2H4,1.02.0008,0,3,27,39,active
1.02.0008,#Falstaff_1H4,0,3,27,39,passive
#Falstaff_1H4,1.02.0008,1,26,272,40,active
1.02.0008,#SERVANTS.FALSTAFF.1_2H4,1,26,272,40,passive
#SERVANTS.FALSTAFF.1_2H4,1.02.0008,1,3,24,41,active
1.02.0008,#Falstaff_1H4,1,3,24,41,passive
#Falstaff_1H4,1.02.0008,2,16,144,42,active
1.02.0008,#SERVANTS.FALSTAFF.1_2H4,2,16,144,42,passive
#SERVANTS.FALSTAFF.1_2H4,1.02.0008,2,2,10,43,active
