node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#BishopOfCanterbury_H5,#BishopOfEly_H5,0,1,1,732,103,2
#AMBASSADORS.0.1_H5,#AMBASSADORS_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#ATTENDANTS.ENGLISH.0_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Bedford_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Clarence_2H4,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Exeter_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Gloucester_2H4,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#HenryV_H5,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Warwick_2H4,0,1,2,2411,323,3
#AMBASSADORS.0.1_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#AMBASSADORS_H5,#ATTENDANTS.ENGLISH.0_H5,0,1,2,2411,323,3
#AMBASSADORS_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,2411,323,3
#AMBASSADORS_H5,#Bedford_H5,0,1,2,2411,323,3
#AMBASSADORS_H5,#Clarence_2H4,0,1,2,2411,323,3
#AMBASSADORS_H5,#Exeter_H5,0,1,2,2411,323,3
#AMBASSADORS_H5,#Gloucester_2H4,0,1,2,2411,323,3
#AMBASSADORS_H5,#HenryV_H5,0,1,2,2411,323,3
#AMBASSADORS_H5,#Warwick_2H4,0,1,2,2411,323,3
#AMBASSADORS_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Bedford_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Clarence_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Exeter_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Gloucester_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#HenryV_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Warwick_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH.0_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Bedford_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Clarence_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Exeter_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Gloucester_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#HenryV_H5,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Warwick_2H4,0,1,2,2411,323,3
#ATTENDANTS.ENGLISH_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#Bedford_H5,#Clarence_2H4,0,1,2,2411,323,3
#Bedford_H5,#Exeter_H5,0,1,2,2411,323,3
#Bedford_H5,#Gloucester_2H4,0,1,2,2411,323,3
#Bedford_H5,#HenryV_H5,0,1,2,2411,323,3
#Bedford_H5,#Warwick_2H4,0,1,2,2411,323,3
#Bedford_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#AMBASSADORS.0.1_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#AMBASSADORS_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#ATTENDANTS.ENGLISH.0_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#ATTENDANTS.ENGLISH_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#Bedford_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#BishopOfEly_H5,1,1,2,2411,323,3
#BishopOfCanterbury_H5,#Clarence_2H4,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#Exeter_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#Gloucester_2H4,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#HenryV_H5,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#Warwick_2H4,0,1,2,2411,323,3
#BishopOfCanterbury_H5,#Westmoreland_1H4,0,1,2,2411,323,3
#BishopOfEly_H5,#AMBASSADORS.0.1_H5,0,1,2,2411,323,3
#BishopOfEly_H5,#AMBASSADORS_H5,0,1,2,2411,323,3
#BishopOfEly_H5,#ATTENDANTS.ENGLISH.0_H5,0,1,2,2411,323,3
