act,scene,stagegroup,n_tokens,n_lines,onstage
0,0,1,244,36,#Chorus_H5
1,1,2,732,103,#BishopOfCanterbury_H5 #BishopOfEly_H5
1,2,3,49,7,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
1,2,4,1718,234,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
1,2,5,26,3,#AMBASSADORS_H5 #ATTENDANTS.ENGLISH.0_H5 #ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
1,2,6,517,66,#AMBASSADORS.0.1_H5 #AMBASSADORS_H5 #ATTENDANTS.ENGLISH.0_H5 #ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
1,2,7,101,13,#AMBASSADORS.0.1_H5 #ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
2,0,8,320,42,#Chorus_H5
2,1,9,218,26,#Bardolph_1H4 #Nym_H5
2,1,10,407,52,#Bardolph_1H4 #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4
2,1,11,66,9,#Bardolph_1H4 #Boy_H5 #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4
2,1,12,186,26,#Bardolph_1H4 #Nym_H5 #Pistol_2H4
2,1,13,90,12,#Bardolph_1H4 #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4
2,2,14,87,12,#Bedford_H5 #Exeter_H5 #Westmoreland_1H4
2,2,15,1305,178,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Cambridge_H5 #Exeter_H5 #Grey_H5 #HenryV_H5 #Scroop_H5 #Westmoreland_1H4
2,2,16,91,12,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Exeter_H5 #HenryV_H5 #Westmoreland_1H4
