act,scene,n_tokens,n_lines,onstage
0,0,244,36,#Chorus_H5
1,1,732,103,#BishopOfCanterbury_H5 #BishopOfEly_H5
1,2,2411,323,#AMBASSADORS.0.1_H5 #AMBASSADORS_H5 #ATTENDANTS.ENGLISH.0_H5 #ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
2,0,320,42,#Chorus_H5
2,1,967,125,#Bardolph_1H4 #Boy_H5 #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4
2,2,1483,202,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Cambridge_H5 #Exeter_H5 #Grey_H5 #HenryV_H5 #Scroop_H5 #Westmoreland_1H4
2,3,467,62,#Bardolph_1H4 #Boy_H5 #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4
2,4,1125,155,#ATTENDANTS.ENGLISH_H5 #ATTENDANTS.FRENCH_H5 #Berri_H5 #Brittany_H5 #Constable_H5 #Dauphin_H5 #Exeter_H5 #KingOfFrance_H5 #MESSENGERS.X.1_H5
3,0,261,37,#Chorus_H5
3,1,273,37,#Bedford_H5 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #SOLDIERS.ENGLISH_H5
3,2,1177,143,#Bardolph_1H4 #Boy_H5 #Fluellen_H5 #Gower_H5 #Jamy_H5 #MacMorris_H5 #Nym_H5 #Pistol_2H4
3,3,447,59,#Bedford_H5 #Exeter_H5 #Gloucester_2H4 #Governor_H5 #HenryV_H5 #SOLDIERS.ENGLISH_H5
3,4,383,60,#Alice_H5 #Katherine_H5
3,5,520,71,#ATTENDANTS.FRENCH_H5 #Brittany_H5 #Constable_H5 #Dauphin_H5 #KingOfFrance_H5
3,6,1415,177,#Fluellen_H5 #Gloucester_2H4 #Gower_H5 #HenryV_H5 #Montjoy_H5 #Pistol_2H4 #SOLDIERS.ENGLISH_H5
3,7,1168,161,#ATTENDANTS.FRENCH_H5 #Constable_H5 #Dauphin_H5 #MESSENGERS.X.2_H5 #Orleans_H5 #Rambures_H5
4,0,381,54,#Chorus_H5
4,1,2475,320,#Bedford_H5 #Erpingham_H5 #Fluellen_H5 #Gloucester_2H4 #Gower_H5 #HenryV_H5 #Pistol_2H4 #SOLDIERS.ENGLISH.Bates_H5 #SOLDIERS.ENGLISH.Court_H5 #SOLDIERS.ENGLISH.Williams_H5
4,2,480,64,#Beaumont_H5 #Constable_H5 #Dauphin_H5 #Grandpre_H5 #MESSENGERS.X.3_H5 #Orleans_H5 #Rambures_H5
4,3,1084,140,#Bedford_H5 #Erpingham_H5 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Montjoy_H5 #SOLDIERS.ENGLISH_H5 #Salisbury_H5 #Westmoreland_1H4 #York_H5
4,4,529,76,#Boy_H5 #Pistol_2H4 #SOLDIERS.FRENCH.LeFer_H5
4,5,181,25,#Bourbon_H5 #Constable_H5 #Dauphin_H5 #Orleans_H5 #Rambures_H5
4,6,299,39,#ATTENDANTS.ENGLISH_H5 #Exeter_H5 #HenryV_H5 #SOLDIERS.FRENCH_H5
4,7,1494,191,#Bourbon_H5 #Exeter_H5 #Fluellen_H5 #Gloucester_2H4 #Gower_H5 #HERALDS_H5 #HenryV_H5 #Montjoy_H5 #SOLDIERS.ENGLISH.Williams_H5 #SOLDIERS.FRENCH_H5 #Warwick_2H4
4,8,989,131,#Exeter_H5 #Fluellen_H5 #Gloucester_2H4 #Gower_H5 #HERALDS.1_H5 #HenryV_H5 #SOLDIERS.ENGLISH.Williams_H5 #Warwick_2H4
5,0,350,47,#Chorus_H5
5,1,726,92,#Fluellen_H5 #Gower_H5 #Pistol_2H4
5,2,3076,386,#ATTENDANTS.ENGLISH.Huntington_H5 #ATTENDANTS.ENGLISH_H5 #ATTENDANTS.FRENCH_H5 #Alice_H5 #Bedford_H5 #Burgundy_H5 #Exeter_H5 #HenryV_H5 #Katherine_H5 #KingOfFrance_H5 #QueenOfFrance_H5 #Warwick_2H4 #Westmoreland_1H4
6,0,112,14,#Chorus_H5
