act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
0,0,1,#Chorus_H5,#Chorus_H5,244,36
1,1,2,#BishopOfCanterbury_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,603,83
1,1,2,#BishopOfEly_H5,#BishopOfCanterbury_H5 #BishopOfEly_H5,129,20
1,2,3,#Exeter_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,4,1
1,2,3,#HenryV_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,37,5
1,2,3,#Westmoreland_1H4,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,8,1
1,2,4,#BishopOfCanterbury_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,1049,143
1,2,4,#BishopOfEly_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,111,15
1,2,4,#Exeter_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,95,13
1,2,4,#HenryV_H5,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,421,57
1,2,4,#Westmoreland_1H4,#ATTENDANTS.ENGLISH_H5 #Bedford_H5 #BishopOfCanterbury_H5 #BishopOfEly_H5 #Clarence_2H4 #Exeter_H5 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4,42,6
