node1,node2,n_lines,n_tokens
#Chorus_H5,0.00.0001,36,244
#BishopOfCanterbury_H5,1.01.0002,103,732
#BishopOfEly_H5,1.01.0002,103,732
#ATTENDANTS.ENGLISH_H5,1.02.0003,7,49
#Bedford_H5,1.02.0003,7,49
#Clarence_2H4,1.02.0003,7,49
#Exeter_H5,1.02.0003,7,49
#Gloucester_2H4,1.02.0003,7,49
#HenryV_H5,1.02.0003,7,49
#Warwick_2H4,1.02.0003,7,49
#Westmoreland_1H4,1.02.0003,7,49
#ATTENDANTS.ENGLISH_H5,1.02.0004,234,1718
#Bedford_H5,1.02.0004,234,1718
#BishopOfCanterbury_H5,1.02.0004,234,1718
#BishopOfEly_H5,1.02.0004,234,1718
#Clarence_2H4,1.02.0004,234,1718
#Exeter_H5,1.02.0004,234,1718
#Gloucester_2H4,1.02.0004,234,1718
#HenryV_H5,1.02.0004,234,1718
#Warwick_2H4,1.02.0004,234,1718
#Westmoreland_1H4,1.02.0004,234,1718
#AMBASSADORS_H5,1.02.0005,3,26
#ATTENDANTS.ENGLISH.0_H5,1.02.0005,3,26
#ATTENDANTS.ENGLISH_H5,1.02.0005,3,26
#Bedford_H5,1.02.0005,3,26
#BishopOfCanterbury_H5,1.02.0005,3,26
#BishopOfEly_H5,1.02.0005,3,26
#Clarence_2H4,1.02.0005,3,26
#Exeter_H5,1.02.0005,3,26
#Gloucester_2H4,1.02.0005,3,26
#HenryV_H5,1.02.0005,3,26
#Warwick_2H4,1.02.0005,3,26
#Westmoreland_1H4,1.02.0005,3,26
#AMBASSADORS.0.1_H5,1.02.0006,66,517
#AMBASSADORS_H5,1.02.0006,66,517
#ATTENDANTS.ENGLISH.0_H5,1.02.0006,66,517
#ATTENDANTS.ENGLISH_H5,1.02.0006,66,517
#Bedford_H5,1.02.0006,66,517
#BishopOfCanterbury_H5,1.02.0006,66,517
#BishopOfEly_H5,1.02.0006,66,517
#Clarence_2H4,1.02.0006,66,517
#Exeter_H5,1.02.0006,66,517
#Gloucester_2H4,1.02.0006,66,517
#HenryV_H5,1.02.0006,66,517
#Warwick_2H4,1.02.0006,66,517
#Westmoreland_1H4,1.02.0006,66,517
#AMBASSADORS.0.1_H5,1.02.0007,13,101
#ATTENDANTS.ENGLISH_H5,1.02.0007,13,101
#Bedford_H5,1.02.0007,13,101
#BishopOfCanterbury_H5,1.02.0007,13,101
#BishopOfEly_H5,1.02.0007,13,101
#Clarence_2H4,1.02.0007,13,101
#Exeter_H5,1.02.0007,13,101
#Gloucester_2H4,1.02.0007,13,101
#HenryV_H5,1.02.0007,13,101
#Warwick_2H4,1.02.0007,13,101
#Westmoreland_1H4,1.02.0007,13,101
#Chorus_H5,2.00.0008,42,320
#Bardolph_1H4,2.01.0009,26,218
#Nym_H5,2.01.0009,26,218
#Bardolph_1H4,2.01.0010,52,407
#MistressQuickly_1H4,2.01.0010,52,407
#Nym_H5,2.01.0010,52,407
#Pistol_2H4,2.01.0010,52,407
#Bardolph_1H4,2.01.0011,9,66
#Boy_H5,2.01.0011,9,66
#MistressQuickly_1H4,2.01.0011,9,66
#Nym_H5,2.01.0011,9,66
#Pistol_2H4,2.01.0011,9,66
#Bardolph_1H4,2.01.0012,26,186
#Nym_H5,2.01.0012,26,186
#Pistol_2H4,2.01.0012,26,186
#Bardolph_1H4,2.01.0013,12,90
#MistressQuickly_1H4,2.01.0013,12,90
#Nym_H5,2.01.0013,12,90
#Pistol_2H4,2.01.0013,12,90
#Bedford_H5,2.02.0014,12,87
#Exeter_H5,2.02.0014,12,87
#Westmoreland_1H4,2.02.0014,12,87
#ATTENDANTS.ENGLISH_H5,2.02.0015,178,1305
#Bedford_H5,2.02.0015,178,1305
#Cambridge_H5,2.02.0015,178,1305
#Exeter_H5,2.02.0015,178,1305
#Grey_H5,2.02.0015,178,1305
#HenryV_H5,2.02.0015,178,1305
#Scroop_H5,2.02.0015,178,1305
#Westmoreland_1H4,2.02.0015,178,1305
#ATTENDANTS.ENGLISH_H5,2.02.0016,12,91
#Bedford_H5,2.02.0016,12,91
#Exeter_H5,2.02.0016,12,91
#HenryV_H5,2.02.0016,12,91
#Westmoreland_1H4,2.02.0016,12,91
#Bardolph_1H4,2.03.0017,62,467
#Boy_H5,2.03.0017,62,467
#MistressQuickly_1H4,2.03.0017,62,467
#Nym_H5,2.03.0017,62,467
#Pistol_2H4,2.03.0017,62,467
#ATTENDANTS.FRENCH_H5,2.04.0018,68,495
#Berri_H5,2.04.0018,68,495
#Brittany_H5,2.04.0018,68,495
#Constable_H5,2.04.0018,68,495
#Dauphin_H5,2.04.0018,68,495
#KingOfFrance_H5,2.04.0018,68,495
#ATTENDANTS.FRENCH_H5,2.04.0019,4,21
#Berri_H5,2.04.0019,4,21
#Brittany_H5,2.04.0019,4,21
#Constable_H5,2.04.0019,4,21
#Dauphin_H5,2.04.0019,4,21
#KingOfFrance_H5,2.04.0019,4,21
#MESSENGERS.X.1_H5,2.04.0019,4,21
#ATTENDANTS.FRENCH_H5,2.04.0020,9,61
#Berri_H5,2.04.0020,9,61
#Brittany_H5,2.04.0020,9,61
#Constable_H5,2.04.0020,9,61
#Dauphin_H5,2.04.0020,9,61
#KingOfFrance_H5,2.04.0020,9,61
#ATTENDANTS.ENGLISH_H5,2.04.0021,74,548
#ATTENDANTS.FRENCH_H5,2.04.0021,74,548
#Berri_H5,2.04.0021,74,548
#Brittany_H5,2.04.0021,74,548
#Constable_H5,2.04.0021,74,548
#Dauphin_H5,2.04.0021,74,548
#Exeter_H5,2.04.0021,74,548
#KingOfFrance_H5,2.04.0021,74,548
#Chorus_H5,3.00.0022,37,261
#Bedford_H5,3.01.0023,37,273
