node1,node2,n_lines,n_tokens
#Chorus_H5,0.00,36,244
#BishopOfCanterbury_H5,1.01,103,732
#BishopOfEly_H5,1.01,103,732
#AMBASSADORS.0.1_H5,1.02,323,2411
#AMBASSADORS_H5,1.02,323,2411
#ATTENDANTS.ENGLISH.0_H5,1.02,323,2411
#ATTENDANTS.ENGLISH_H5,1.02,323,2411
#Bedford_H5,1.02,323,2411
#BishopOfCanterbury_H5,1.02,323,2411
#BishopOfEly_H5,1.02,323,2411
#Clarence_2H4,1.02,323,2411
#Exeter_H5,1.02,323,2411
#Gloucester_2H4,1.02,323,2411
#HenryV_H5,1.02,323,2411
#Warwick_2H4,1.02,323,2411
#Westmoreland_1H4,1.02,323,2411
#Chorus_H5,2.00,42,320
#Bardolph_1H4,2.01,125,967
#Boy_H5,2.01,125,967
#MistressQuickly_1H4,2.01,125,967
#Nym_H5,2.01,125,967
#Pistol_2H4,2.01,125,967
#ATTENDANTS.ENGLISH_H5,2.02,202,1483
#Bedford_H5,2.02,202,1483
#Cambridge_H5,2.02,202,1483
#Exeter_H5,2.02,202,1483
#Grey_H5,2.02,202,1483
#HenryV_H5,2.02,202,1483
#Scroop_H5,2.02,202,1483
#Westmoreland_1H4,2.02,202,1483
#Bardolph_1H4,2.03,62,467
#Boy_H5,2.03,62,467
#MistressQuickly_1H4,2.03,62,467
#Nym_H5,2.03,62,467
#Pistol_2H4,2.03,62,467
#ATTENDANTS.ENGLISH_H5,2.04,155,1125
#ATTENDANTS.FRENCH_H5,2.04,155,1125
#Berri_H5,2.04,155,1125
#Brittany_H5,2.04,155,1125
#Constable_H5,2.04,155,1125
#Dauphin_H5,2.04,155,1125
#Exeter_H5,2.04,155,1125
#KingOfFrance_H5,2.04,155,1125
#MESSENGERS.X.1_H5,2.04,155,1125
#Chorus_H5,3.00,37,261
#Bedford_H5,3.01,37,273
#Exeter_H5,3.01,37,273
#Gloucester_2H4,3.01,37,273
#HenryV_H5,3.01,37,273
#SOLDIERS.ENGLISH_H5,3.01,37,273
#Bardolph_1H4,3.02,143,1177
#Boy_H5,3.02,143,1177
#Fluellen_H5,3.02,143,1177
#Gower_H5,3.02,143,1177
#Jamy_H5,3.02,143,1177
#MacMorris_H5,3.02,143,1177
#Nym_H5,3.02,143,1177
#Pistol_2H4,3.02,143,1177
#Bedford_H5,3.03,59,447
#Exeter_H5,3.03,59,447
#Gloucester_2H4,3.03,59,447
#Governor_H5,3.03,59,447
#HenryV_H5,3.03,59,447
#SOLDIERS.ENGLISH_H5,3.03,59,447
#Alice_H5,3.04,60,383
#Katherine_H5,3.04,60,383
#ATTENDANTS.FRENCH_H5,3.05,71,520
#Brittany_H5,3.05,71,520
#Constable_H5,3.05,71,520
#Dauphin_H5,3.05,71,520
#KingOfFrance_H5,3.05,71,520
#Fluellen_H5,3.06,177,1415
#Gloucester_2H4,3.06,177,1415
#Gower_H5,3.06,177,1415
#HenryV_H5,3.06,177,1415
#Montjoy_H5,3.06,177,1415
#Pistol_2H4,3.06,177,1415
#SOLDIERS.ENGLISH_H5,3.06,177,1415
#ATTENDANTS.FRENCH_H5,3.07,161,1168
#Constable_H5,3.07,161,1168
#Dauphin_H5,3.07,161,1168
#MESSENGERS.X.2_H5,3.07,161,1168
#Orleans_H5,3.07,161,1168
#Rambures_H5,3.07,161,1168
#Chorus_H5,4.00,54,381
#Bedford_H5,4.01,320,2475
#Erpingham_H5,4.01,320,2475
#Fluellen_H5,4.01,320,2475
#Gloucester_2H4,4.01,320,2475
#Gower_H5,4.01,320,2475
#HenryV_H5,4.01,320,2475
#Pistol_2H4,4.01,320,2475
#SOLDIERS.ENGLISH.Bates_H5,4.01,320,2475
#SOLDIERS.ENGLISH.Court_H5,4.01,320,2475
#SOLDIERS.ENGLISH.Williams_H5,4.01,320,2475
#Beaumont_H5,4.02,64,480
#Constable_H5,4.02,64,480
#Dauphin_H5,4.02,64,480
#Grandpre_H5,4.02,64,480
#MESSENGERS.X.3_H5,4.02,64,480
#Orleans_H5,4.02,64,480
#Rambures_H5,4.02,64,480
#Bedford_H5,4.03,140,1084
#Erpingham_H5,4.03,140,1084
#Exeter_H5,4.03,140,1084
#Gloucester_2H4,4.03,140,1084
#HenryV_H5,4.03,140,1084
#Montjoy_H5,4.03,140,1084
#SOLDIERS.ENGLISH_H5,4.03,140,1084
#Salisbury_H5,4.03,140,1084
#Westmoreland_1H4,4.03,140,1084
#York_H5,4.03,140,1084
#Boy_H5,4.04,76,529
#Pistol_2H4,4.04,76,529
#SOLDIERS.FRENCH.LeFer_H5,4.04,76,529
#Bourbon_H5,4.05,25,181
#Constable_H5,4.05,25,181
#Dauphin_H5,4.05,25,181
#Orleans_H5,4.05,25,181
#Rambures_H5,4.05,25,181
#ATTENDANTS.ENGLISH_H5,4.06,39,299
#Exeter_H5,4.06,39,299
#HenryV_H5,4.06,39,299
#SOLDIERS.FRENCH_H5,4.06,39,299
#Bourbon_H5,4.07,191,1494
#Exeter_H5,4.07,191,1494
#Fluellen_H5,4.07,191,1494
#Gloucester_2H4,4.07,191,1494
#Gower_H5,4.07,191,1494
#HERALDS_H5,4.07,191,1494
#HenryV_H5,4.07,191,1494
#Montjoy_H5,4.07,191,1494
#SOLDIERS.ENGLISH.Williams_H5,4.07,191,1494
#SOLDIERS.FRENCH_H5,4.07,191,1494
#Warwick_2H4,4.07,191,1494
#Exeter_H5,4.08,131,989
#Fluellen_H5,4.08,131,989
#Gloucester_2H4,4.08,131,989
#Gower_H5,4.08,131,989
#HERALDS.1_H5,4.08,131,989
#HenryV_H5,4.08,131,989
#SOLDIERS.ENGLISH.Williams_H5,4.08,131,989
#Warwick_2H4,4.08,131,989
#Chorus_H5,5.00,47,350
#Fluellen_H5,5.01,92,726
#Gower_H5,5.01,92,726
#Pistol_2H4,5.01,92,726
#ATTENDANTS.ENGLISH.Huntington_H5,5.02,386,3076
#ATTENDANTS.ENGLISH_H5,5.02,386,3076
#ATTENDANTS.FRENCH_H5,5.02,386,3076
#Alice_H5,5.02,386,3076
#Bedford_H5,5.02,386,3076
#Burgundy_H5,5.02,386,3076
#Exeter_H5,5.02,386,3076
#HenryV_H5,5.02,386,3076
#Katherine_H5,5.02,386,3076
#KingOfFrance_H5,5.02,386,3076
#QueenOfFrance_H5,5.02,386,3076
#Warwick_2H4,5.02,386,3076
#Westmoreland_1H4,5.02,386,3076
#Chorus_H5,6.00,14,112
