source,target,n_lines,n_tokens,edge_type
#AMBASSADORS.0.1_H5,1.02.0006,17,132,active
#ATTENDANTS.ENGLISH_H5,5.02.0090,1,1,active
#Alice_H5,3.04.0032,21,112,active
#Alice_H5,5.02.0088,7,51,active
#Alice_H5,5.02.0090,1,1,active
#Bardolph_1H4,2.01.0009,9,60,active
#Bardolph_1H4,2.01.0010,8,49,active
#Bardolph_1H4,2.01.0011,1,3,active
#Bardolph_1H4,2.01.0012,9,64,active
#Bardolph_1H4,2.03.0017,6,37,active
#Bardolph_1H4,3.02.0024,2,11,active
#Bedford_H5,2.02.0014,3,26,active
#Bedford_H5,4.03.0060,5,39,active
#Bedford_H5,4.03.0061,2,12,active
#BishopOfCanterbury_H5,1.01.0002,83,603,active
#BishopOfCanterbury_H5,1.02.0004,143,1049,active
#BishopOfEly_H5,1.01.0002,20,129,active
#BishopOfEly_H5,1.02.0004,15,111,active
#Bourbon_H5,4.05.0068,9,74,active
#Boy_H5,2.01.0011,5,39,active
#Boy_H5,2.03.0017,8,50,active
#Boy_H5,3.02.0024,5,33,active
#Boy_H5,3.02.0026,27,259,active
#Boy_H5,4.04.0066,20,142,active
#Boy_H5,4.04.0067,10,103,active
#Brittany_H5,3.05.0033,9,65,active
#Burgundy_H5,5.02.0087,48,341,active
#Burgundy_H5,5.02.0089,21,170,active
#Burgundy_H5,5.02.0090,1,1,active
#Cambridge_H5,2.02.0015,15,107,active
#Chorus_H5,0.00.0001,36,244,active
#Chorus_H5,2.00.0008,42,320,active
#Chorus_H5,3.00.0022,37,261,active
#Chorus_H5,4.00.0043,54,381,active
#Chorus_H5,5.00.0082,47,350,active
#Chorus_H5,6.00.0091,14,112,active
#Constable_H5,2.04.0018,12,81,active
#Constable_H5,3.05.0033,22,172,active
#Constable_H5,3.07.0040,24,168,active
#Constable_H5,3.07.0041,19,130,active
#Constable_H5,3.07.0042,14,108,active
#Constable_H5,4.02.0057,1,8,active
#Constable_H5,4.02.0058,24,184,active
#Constable_H5,4.02.0059,5,46,active
#Constable_H5,4.05.0068,4,25,active
#Dauphin_H5,2.04.0018,24,178,active
#Dauphin_H5,2.04.0020,8,53,active
#Dauphin_H5,2.04.0021,7,51,active
#Dauphin_H5,3.05.0033,11,76,active
#Dauphin_H5,3.07.0040,53,443,active
#Dauphin_H5,4.02.0056,3,16,active
#Dauphin_H5,4.02.0057,4,28,active
#Dauphin_H5,4.02.0059,3,20,active
#Dauphin_H5,4.05.0068,7,40,active
#Erpingham_H5,4.01.0045,4,32,active
#Erpingham_H5,4.01.0053,3,21,active
#Exeter_H5,1.02.0003,1,4,active
#Exeter_H5,1.02.0004,13,95,active
#Exeter_H5,1.02.0006,2,4,active
#Exeter_H5,1.02.0007,1,5,active
#Exeter_H5,2.02.0014,6,40,active
#Exeter_H5,2.02.0015,6,44,active
#Exeter_H5,2.04.0021,58,436,active
#Exeter_H5,4.03.0060,2,15,active
#Exeter_H5,4.06.0070,27,212,active
#Exeter_H5,4.07.0073,1,9,active
#Exeter_H5,4.07.0074,1,7,active
#Exeter_H5,4.08.0081,5,31,active
#Exeter_H5,5.02.0089,8,62,active
#Exeter_H5,5.02.0090,1,1,active
#Fluellen_H5,3.02.0025,1,9,active
#Fluellen_H5,3.02.0027,13,122,active
#Fluellen_H5,3.02.0028,31,235,active
#Fluellen_H5,3.06.0034,14,119,active
#Fluellen_H5,3.06.0035,21,152,active
#Fluellen_H5,3.06.0036,9,81,active
#Fluellen_H5,3.06.0037,20,171,active
#Fluellen_H5,4.01.0049,16,147,active
#Fluellen_H5,4.07.0071,40,354,active
#Fluellen_H5,4.07.0073,21,174,active
#Fluellen_H5,4.07.0074,11,94,active
#Fluellen_H5,4.07.0075,8,68,active
#Fluellen_H5,4.08.0078,12,94,active
#Fluellen_H5,4.08.0079,4,28,active
#Fluellen_H5,4.08.0080,23,190,active
#Fluellen_H5,4.08.0081,3,22,active
#Fluellen_H5,5.01.0083,12,115,active
#Fluellen_H5,5.01.0084,42,326,active
#Gloucester_2H4,3.06.0039,1,9,active
#Gloucester_2H4,4.01.0045,1,4,active
#Gloucester_2H4,4.01.0055,1,2,active
#Gloucester_2H4,4.03.0060,1,4,active
#Gloucester_2H4,4.07.0073,1,9,active
#Governor_H5,3.03.0030,7,56,active
#Gower_H5,3.02.0027,7,46,active
#Gower_H5,3.02.0028,6,37,active
#Gower_H5,3.06.0034,5,24,active
#Gower_H5,3.06.0036,18,159,active
#Gower_H5,4.01.0049,4,16,active
#Gower_H5,4.07.0071,15,99,active
#Gower_H5,4.08.0078,1,5,active
#Gower_H5,5.01.0083,2,15,active
#Gower_H5,5.01.0084,3,14,active
#Gower_H5,5.01.0085,11,92,active
#Grandpre_H5,4.02.0059,18,137,active
#Grey_H5,2.02.0015,12,86,active
#HERALDS.1_H5,4.08.0081,1,8,active
#HenryV_H5,1.02.0003,5,37,active
#HenryV_H5,1.02.0004,57,421,active
#HenryV_H5,1.02.0005,3,26,active
#HenryV_H5,1.02.0006,47,381,active
#HenryV_H5,1.02.0007,12,96,active
#HenryV_H5,2.02.0015,133,980,active
#HenryV_H5,2.02.0016,12,91,active
#HenryV_H5,3.01.0023,37,273,active
#HenryV_H5,3.03.0029,43,332,active
#HenryV_H5,3.03.0030,1,3,active
#HenryV_H5,3.03.0031,8,56,active
#HenryV_H5,3.06.0037,11,73,active
#HenryV_H5,3.06.0038,32,252,active
#HenryV_H5,3.06.0039,4,31,active
#HenryV_H5,4.01.0044,12,89,active
#HenryV_H5,4.01.0045,18,126,active
#HenryV_H5,4.01.0046,1,6,active
#HenryV_H5,4.01.0047,11,59,active
#HenryV_H5,4.01.0048,1,6,active
#HenryV_H5,4.01.0050,2,17,active
#HenryV_H5,4.01.0051,86,723,active
#HenryV_H5,4.01.0052,56,420,active
#HenryV_H5,4.01.0053,3,14,active
#HenryV_H5,4.01.0054,17,132,active
#HenryV_H5,4.01.0055,3,24,active
#HenryV_H5,4.03.0062,49,399,active
#HenryV_H5,4.03.0063,5,44,active
#HenryV_H5,4.03.0064,41,320,active
#HenryV_H5,4.03.0065,3,16,active
#HenryV_H5,4.06.0069,2,16,active
#HenryV_H5,4.06.0070,10,71,active
#HenryV_H5,4.07.0072,11,95,active
#HenryV_H5,4.07.0073,19,128,active
#HenryV_H5,4.07.0074,12,66,active
#HenryV_H5,4.07.0075,10,71,active
#HenryV_H5,4.07.0076,14,108,active
#HenryV_H5,4.08.0080,13,88,active
