act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Bedford_H5,361,47,1264,169
1,1,#CardinalBeaufort_1H6,119,15,1349,180
1,1,#Exeter_H5,157,22,1310,175
1,1,#Gloucester_2H4,194,25,1288,172
1,1,#MESSENGERS.ENGLISH.1_1H6,126,18,185,26
1,1,#MESSENGERS.ENGLISH.2_1H6,54,7,54,7
1,1,#MESSENGERS.ENGLISH.3_1H6,338,46,450,60
1,2,#Alanson_1H6,133,19,823,106
1,2,#Bastard_1H6,103,13,183,23
1,2,#Charles_1H6,386,49,1179,153
1,2,#Pucelle_1H6,386,51,681,89
1,2,#Reignier_1H6,171,21,823,106
1,3,#CardinalBeaufort_1H6,144,19,468,60
1,3,#Gloucester_2H4,344,43,689,88
1,3,#Mayor_1H6,76,11,264,35
1,3,#OFFICERS.0.1_1H6,49,6,146,19
1,3,#SERVANTS.GLOUCESTER.0.1_1H6,14,2,675,87
1,3,#SERVANTS.GLOUCESTER_1H6,18,2,689,88
1,3,#WARDERS.1_1H6,22,3,681,88
1,3,#WARDERS.2_1H6,9,1,668,86
1,3,#Woodville_1H6,38,5,603,78
1,4,#Boy_1H6,32,4,170,22
1,4,#Gargrave_1H6,18,2,527,67
1,4,#Glansdale_1H6,9,1,696,89
1,4,#MESSENGERS.ENGLISH.X.1_1H6,33,4,92,12
1,4,#MasterGunner_1H6,138,18,153,20
1,4,#Salisbury_1H6,113,15,696,89
1,4,#Talbot_1H6,523,67,696,89
1,5,#Pucelle_1H6,54,7,122,15
1,5,#Talbot_1H6,260,32,314,39
1,6,#Alanson_1H6,19,2,229,31
1,6,#Charles_1H6,158,22,229,31
1,6,#Pucelle_1H6,21,3,21,3
1,6,#Reignier_1H6,31,4,229,31
2,1,#Alanson_1H6,59,8,306,40
2,1,#Bastard_1H6,27,4,306,40
2,1,#Bedford_H5,42,6,233,33
2,1,#Burgundy_1H6,40,6,233,33
2,1,#Charles_1H6,93,12,227,30
2,1,#Pucelle_1H6,96,12,227,30
2,1,#Reignier_1H6,31,4,306,40
2,1,#SOLDIERS.ENGLISH.1_1H6,34,4,34,4
2,1,#SOLDIERS.FRENCH.Sergeant_1H6,31,4,34,5
2,1,#Talbot_1H6,144,20,233,33
2,1,#WATCHMEN.1_1H6,29,5,286,41
2,2,#Bedford_H5,78,10,459,61
2,2,#Burgundy_1H6,97,12,459,61
2,2,#MESSENGERS.FRENCH.1_1H6,69,9,206,28
2,2,#SOLDIERS.ENGLISH.0.1_1H6,7,1,7,1
2,2,#Talbot_1H6,208,29,459,61
2,3,#Countess_1H6,350,45,621,84
2,3,#MESSENGERS.FRENCH.1_1H6,33,5,544,74
2,3,#Porter_1H6,3,1,399,55
2,3,#Talbot_1H6,235,33,544,74
2,4,#Lawyer_1H6,29,4,1058,135
2,4,#Somerset_1H6,297,37,906,115
2,4,#Suffolk_1H6,88,11,899,114
2,4,#Vernon_1H6,91,11,1058,135
2,4,#Warwick_2H4,211,27,1058,135
2,4,#York_1H6,342,45,1058,135
2,5,#JAILERS.0.1_1H6,30,4,831,112
2,5,#Mortimer_1H4,651,88,897,121
2,5,#York_1H6,275,37,726,97
3,1,#CardinalBeaufort_1H6,247,33,1396,195
3,1,#Exeter_H5,126,16,1514,210
3,1,#Gloucester_2H4,371,54,1396,195
3,1,#HenryVI_1H6,308,42,1396,195
3,1,#Mayor_1H6,75,10,563,77
3,1,#SERVANTS.1_1H6,5,1,409,57
3,1,#SERVANTS.2_1H6,4,1,404,56
3,1,#SERVANTS.3_1H6,9,2,400,55
3,1,#SERVANTS.GLOUCESTER.0.1_1H6,8,2,844,115
3,1,#SERVANTS.GLOUCESTER.0.2_1H6,65,8,822,111
3,1,#SERVANTS.WINCHESTER.0.1_1H6,29,4,857,117
3,1,#Somerset_1H6,37,5,1396,195
3,1,#Suffolk_1H6,8,1,1396,195
3,1,#Warwick_2H4,185,26,1396,195
3,1,#York_1H6,69,9,1396,195
3,2,#Alanson_1H6,2,1,402,52
3,2,#Bastard_1H6,37,5,402,52
3,2,#Bedford_H5,114,14,582,75
3,2,#Burgundy_1H6,66,9,657,87
3,2,#Charles_1H6,39,5,402,52
3,2,#Fastolf_1H6,26,4,42,6
3,2,#Pucelle_1H6,243,30,472,61
3,2,#Reignier_1H6,45,6,402,52
3,2,#SOLDIERS.ENGLISH.Captain_1H6,22,3,48,7
3,2,#SOLDIERS.FRENCH.PUCELLE.0.1_1H6,21,3,968,130
3,2,#Talbot_1H6,419,57,692,92
3,2,#Watchman_1H6,10,2,947,127
3,3,#Alanson_1H6,54,7,704,91
3,3,#Bastard_1H6,24,3,704,91
3,3,#Burgundy_1H6,88,12,428,55
3,3,#Charles_1H6,92,12,704,91
3,3,#Pucelle_1H6,446,57,704,91
3,4,#Basset_1H6,83,10,331,43
3,4,#Gloucester_2H4,8,1,198,27
3,4,#HenryVI_1H6,105,14,198,27
3,4,#Talbot_1H6,85,12,198,27
3,4,#Vernon_1H6,67,8,348,45
4,1,#Basset_1H6,108,15,716,96
4,1,#CardinalBeaufort_1H6,9,1,1307,174
4,1,#Exeter_H5,104,14,1468,195
4,1,#Fastolf_1H6,29,4,298,39
4,1,#Gloucester_2H4,264,37,1307,174
4,1,#HenryVI_1H6,478,63,1307,174
4,1,#Somerset_1H6,38,5,1307,174
4,1,#Talbot_1H6,255,33,591,78
4,1,#Vernon_1H6,79,10,782,104
4,1,#Warwick_2H4,33,4,1373,182
4,1,#York_1H6,71,9,1373,182
4,2,#General_1H6,202,27,292,39
4,2,#Talbot_1H6,221,29,423,56
4,3,#Lucy_1H6,152,20,285,37
4,3,#MESSENGERS.ENGLISH.X.2_1H6,49,7,64,9
4,3,#York_1H6,201,27,355,47
4,4,#Lucy_1H6,197,27,284,37
4,4,#SOLDIERS.ENGLISH.SOMERSET.0.1_1H6,16,2,284,37
4,4,#Somerset_1H6,141,17,354,46
4,5,#JohnTalbot_1H6,262,31,458,55
4,5,#Talbot_1H6,196,24,458,55
4,6,#JohnTalbot_1H6,138,16,466,57
4,6,#Talbot_1H6,328,41,466,57
4,7,#Bastard_1H6,31,4,505,66
4,7,#Burgundy_1H6,24,3,505,66
4,7,#Charles_1H6,88,11,505,66
4,7,#Lucy_1H6,237,32,346,46
4,7,#Pucelle_1H6,125,16,505,66
4,7,#SERVANTS.TALBOT.1_1H6,10,1,734,97
4,7,#Talbot_1H6,235,32,734,97
5,1,#CardinalBeaufort_1H6,79,11,252,35
5,1,#Exeter_H5,42,6,363,50
5,1,#Gloucester_2H4,136,18,363,50
5,1,#HenryVI_1H6,185,26,363,50
5,1,#Legate_1H6,7,1,201,28
5,2,#Alanson_1H6,16,2,158,21
5,2,#Burgundy_1H6,19,2,158,21
5,2,#Charles_1H6,53,7,158,21
5,2,#Pucelle_1H6,39,5,158,21
5,2,#SOLDIERS.FRENCH.Scout_1H6,31,5,104,14
5,3,#Pucelle_1H6,256,34,338,44
5,3,#QueenMargaret_1H6,254,33,1076,147
5,3,#Reignier_1H6,136,20,316,46
