source,target,key,n_lines,n_tokens,edge_index,edge_type
#Bedford_H5,1.01.0001,0,7,56,1,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,0,7,56,1,passive
1.01.0001,#CardinalBeaufort_1H6,0,7,56,1,passive
1.01.0001,#Exeter_H5,0,7,56,1,passive
1.01.0001,#Gloucester_2H4,0,7,56,1,passive
1.01.0001,#HERALDS.ENGLISH_1H6,0,7,56,1,passive
1.01.0001,#Somerset_1H6,0,7,56,1,passive
1.01.0001,#Warwick_2H4,0,7,56,1,passive
#Gloucester_2H4,1.01.0001,0,9,70,2,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,1,9,70,2,passive
1.01.0001,#Bedford_H5,0,9,70,2,passive
1.01.0001,#CardinalBeaufort_1H6,1,9,70,2,passive
1.01.0001,#Exeter_H5,1,9,70,2,passive
1.01.0001,#HERALDS.ENGLISH_1H6,1,9,70,2,passive
1.01.0001,#Somerset_1H6,1,9,70,2,passive
1.01.0001,#Warwick_2H4,1,9,70,2,passive
#Exeter_H5,1.01.0001,0,11,75,3,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,2,11,75,3,passive
1.01.0001,#Bedford_H5,1,11,75,3,passive
1.01.0001,#CardinalBeaufort_1H6,2,11,75,3,passive
1.01.0001,#Gloucester_2H4,1,11,75,3,passive
1.01.0001,#HERALDS.ENGLISH_1H6,2,11,75,3,passive
1.01.0001,#Somerset_1H6,2,11,75,3,passive
1.01.0001,#Warwick_2H4,2,11,75,3,passive
#CardinalBeaufort_1H6,1.01.0001,0,5,42,4,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,3,5,42,4,passive
1.01.0001,#Bedford_H5,2,5,42,4,passive
1.01.0001,#Exeter_H5,2,5,42,4,passive
1.01.0001,#Gloucester_2H4,2,5,42,4,passive
1.01.0001,#HERALDS.ENGLISH_1H6,3,5,42,4,passive
1.01.0001,#Somerset_1H6,3,5,42,4,passive
1.01.0001,#Warwick_2H4,3,5,42,4,passive
#Gloucester_2H4,1.01.0001,1,4,33,5,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,4,4,33,5,passive
1.01.0001,#Bedford_H5,3,4,33,5,passive
1.01.0001,#CardinalBeaufort_1H6,3,4,33,5,passive
1.01.0001,#Exeter_H5,3,4,33,5,passive
1.01.0001,#HERALDS.ENGLISH_1H6,4,4,33,5,passive
1.01.0001,#Somerset_1H6,4,4,33,5,passive
1.01.0001,#Warwick_2H4,4,4,33,5,passive
#CardinalBeaufort_1H6,1.01.0001,1,4,31,6,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,5,4,31,6,passive
1.01.0001,#Bedford_H5,4,4,31,6,passive
1.01.0001,#Exeter_H5,4,4,31,6,passive
1.01.0001,#Gloucester_2H4,3,4,31,6,passive
1.01.0001,#HERALDS.ENGLISH_1H6,5,4,31,6,passive
1.01.0001,#Somerset_1H6,5,4,31,6,passive
1.01.0001,#Warwick_2H4,5,4,31,6,passive
#Gloucester_2H4,1.01.0001,2,3,25,7,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,6,3,25,7,passive
1.01.0001,#Bedford_H5,5,3,25,7,passive
1.01.0001,#CardinalBeaufort_1H6,4,3,25,7,passive
1.01.0001,#Exeter_H5,5,3,25,7,passive
1.01.0001,#HERALDS.ENGLISH_1H6,6,3,25,7,passive
1.01.0001,#Somerset_1H6,6,3,25,7,passive
1.01.0001,#Warwick_2H4,6,3,25,7,passive
#Bedford_H5,1.01.0001,1,14,102,8,active
1.01.0001,#ATTENDANTS.ENGLISH_1H6,7,14,102,8,passive
1.01.0001,#CardinalBeaufort_1H6,5,14,102,8,passive
1.01.0001,#Exeter_H5,6,14,102,8,passive
1.01.0001,#Gloucester_2H4,4,14,102,8,passive
1.01.0001,#HERALDS.ENGLISH_1H6,7,14,102,8,passive
1.01.0001,#Somerset_1H6,7,14,102,8,passive
1.01.0001,#Warwick_2H4,7,14,102,8,passive
#MESSENGERS.ENGLISH.1_1H6,1.01.0002,0,5,34,9,active
1.01.0002,#ATTENDANTS.ENGLISH_1H6,0,5,34,9,passive
1.01.0002,#Bedford_H5,0,5,34,9,passive
1.01.0002,#CardinalBeaufort_1H6,0,5,34,9,passive
1.01.0002,#Exeter_H5,0,5,34,9,passive
1.01.0002,#Gloucester_2H4,0,5,34,9,passive
1.01.0002,#HERALDS.ENGLISH_1H6,0,5,34,9,passive
1.01.0002,#Somerset_1H6,0,5,34,9,passive
1.01.0002,#Warwick_2H4,0,5,34,9,passive
#Bedford_H5,1.01.0002,0,3,27,10,active
1.01.0002,#ATTENDANTS.ENGLISH_1H6,1,3,27,10,passive
1.01.0002,#CardinalBeaufort_1H6,1,3,27,10,passive
1.01.0002,#Exeter_H5,1,3,27,10,passive
1.01.0002,#Gloucester_2H4,1,3,27,10,passive
1.01.0002,#HERALDS.ENGLISH_1H6,1,3,27,10,passive
1.01.0002,#MESSENGERS.ENGLISH.1_1H6,0,3,27,10,passive
1.01.0002,#Somerset_1H6,1,3,27,10,passive
1.01.0002,#Warwick_2H4,1,3,27,10,passive
#Gloucester_2H4,1.01.0002,0,4,24,11,active
1.01.0002,#ATTENDANTS.ENGLISH_1H6,2,4,24,11,passive
1.01.0002,#Bedford_H5,1,4,24,11,passive
1.01.0002,#CardinalBeaufort_1H6,2,4,24,11,passive
1.01.0002,#Exeter_H5,2,4,24,11,passive
1.01.0002,#HERALDS.ENGLISH_1H6,2,4,24,11,passive
1.01.0002,#MESSENGERS.ENGLISH.1_1H6,1,4,24,11,passive
1.01.0002,#Somerset_1H6,2,4,24,11,passive
1.01.0002,#Warwick_2H4,2,4,24,11,passive
#Exeter_H5,1.01.0002,0,1,8,12,active
1.01.0002,#ATTENDANTS.ENGLISH_1H6,3,1,8,12,passive
1.01.0002,#Bedford_H5,2,1,8,12,passive
1.01.0002,#CardinalBeaufort_1H6,3,1,8,12,passive
1.01.0002,#Gloucester_2H4,2,1,8,12,passive
1.01.0002,#HERALDS.ENGLISH_1H6,3,1,8,12,passive
1.01.0002,#MESSENGERS.ENGLISH.1_1H6,2,1,8,12,passive
1.01.0002,#Somerset_1H6,3,1,8,12,passive
1.01.0002,#Warwick_2H4,3,1,8,12,passive
#MESSENGERS.ENGLISH.1_1H6,1.01.0002,1,13,92,13,active
1.01.0002,#ATTENDANTS.ENGLISH_1H6,4,13,92,13,passive
1.01.0002,#Bedford_H5,3,13,92,13,passive
1.01.0002,#CardinalBeaufort_1H6,4,13,92,13,passive
1.01.0002,#Exeter_H5,3,13,92,13,passive
1.01.0002,#Gloucester_2H4,3,13,92,13,passive
1.01.0002,#HERALDS.ENGLISH_1H6,4,13,92,13,passive
1.01.0002,#Somerset_1H6,4,13,92,13,passive
1.01.0002,#Warwick_2H4,4,13,92,13,passive
#Exeter_H5,1.01.0003,0,2,15,14,active
1.01.0003,#ATTENDANTS.ENGLISH_1H6,0,2,15,14,passive
1.01.0003,#Bedford_H5,0,2,15,14,passive
1.01.0003,#CardinalBeaufort_1H6,0,2,15,14,passive
1.01.0003,#Gloucester_2H4,0,2,15,14,passive
1.01.0003,#HERALDS.ENGLISH_1H6,0,2,15,14,passive
1.01.0003,#Somerset_1H6,0,2,15,14,passive
1.01.0003,#Warwick_2H4,0,2,15,14,passive
#Bedford_H5,1.01.0003,0,5,37,15,active
1.01.0003,#ATTENDANTS.ENGLISH_1H6,1,5,37,15,passive
1.01.0003,#CardinalBeaufort_1H6,1,5,37,15,passive
1.01.0003,#Exeter_H5,0,5,37,15,passive
1.01.0003,#Gloucester_2H4,1,5,37,15,passive
1.01.0003,#HERALDS.ENGLISH_1H6,1,5,37,15,passive
1.01.0003,#Somerset_1H6,1,5,37,15,passive
1.01.0003,#Warwick_2H4,1,5,37,15,passive
#MESSENGERS.ENGLISH.2_1H6,1.01.0004,0,7,54,16,active
1.01.0004,#ATTENDANTS.ENGLISH_1H6,0,7,54,16,passive
1.01.0004,#Bedford_H5,0,7,54,16,passive
1.01.0004,#CardinalBeaufort_1H6,0,7,54,16,passive
1.01.0004,#Exeter_H5,0,7,54,16,passive
1.01.0004,#Gloucester_2H4,0,7,54,16,passive
1.01.0004,#HERALDS.ENGLISH_1H6,0,7,54,16,passive
1.01.0004,#Somerset_1H6,0,7,54,16,passive
1.01.0004,#Warwick_2H4,0,7,54,16,passive
#Exeter_H5,1.01.0005,0,2,16,17,active
1.01.0005,#ATTENDANTS.ENGLISH_1H6,0,2,16,17,passive
1.01.0005,#Bedford_H5,0,2,16,17,passive
1.01.0005,#CardinalBeaufort_1H6,0,2,16,17,passive
1.01.0005,#Gloucester_2H4,0,2,16,17,passive
1.01.0005,#HERALDS.ENGLISH_1H6,0,2,16,17,passive
1.01.0005,#Somerset_1H6,0,2,16,17,passive
1.01.0005,#Warwick_2H4,0,2,16,17,passive
#Gloucester_2H4,1.01.0005,0,2,18,18,active
1.01.0005,#ATTENDANTS.ENGLISH_1H6,1,2,18,18,passive
1.01.0005,#Bedford_H5,1,2,18,18,passive
1.01.0005,#CardinalBeaufort_1H6,1,2,18,18,passive
1.01.0005,#Exeter_H5,0,2,18,18,passive
1.01.0005,#HERALDS.ENGLISH_1H6,1,2,18,18,passive
1.01.0005,#Somerset_1H6,1,2,18,18,passive
1.01.0005,#Warwick_2H4,1,2,18,18,passive
#Bedford_H5,1.01.0005,0,3,20,19,active
1.01.0005,#ATTENDANTS.ENGLISH_1H6,2,3,20,19,passive
1.01.0005,#CardinalBeaufort_1H6,2,3,20,19,passive
1.01.0005,#Exeter_H5,1,3,20,19,passive
1.01.0005,#Gloucester_2H4,1,3,20,19,passive
1.01.0005,#HERALDS.ENGLISH_1H6,2,3,20,19,passive
1.01.0005,#Somerset_1H6,2,3,20,19,passive
1.01.0005,#Warwick_2H4,2,3,20,19,passive
#MESSENGERS.ENGLISH.3_1H6,1.01.0006,0,4,31,20,active
1.01.0006,#ATTENDANTS.ENGLISH_1H6,0,4,31,20,passive
1.01.0006,#Bedford_H5,0,4,31,20,passive
1.01.0006,#CardinalBeaufort_1H6,0,4,31,20,passive
1.01.0006,#Exeter_H5,0,4,31,20,passive
1.01.0006,#Gloucester_2H4,0,4,31,20,passive
1.01.0006,#HERALDS.ENGLISH_1H6,0,4,31,20,passive
1.01.0006,#Somerset_1H6,0,4,31,20,passive
1.01.0006,#Warwick_2H4,0,4,31,20,passive
#CardinalBeaufort_1H6,1.01.0006,0,1,7,21,active
1.01.0006,#ATTENDANTS.ENGLISH_1H6,1,1,7,21,passive
1.01.0006,#Bedford_H5,1,1,7,21,passive
1.01.0006,#Exeter_H5,1,1,7,21,passive
1.01.0006,#Gloucester_2H4,1,1,7,21,passive
1.01.0006,#HERALDS.ENGLISH_1H6,1,1,7,21,passive
1.01.0006,#MESSENGERS.ENGLISH.3_1H6,0,1,7,21,passive
1.01.0006,#Somerset_1H6,1,1,7,21,passive
1.01.0006,#Warwick_2H4,1,1,7,21,passive
#MESSENGERS.ENGLISH.3_1H6,1.01.0006,1,34,247,22,active
1.01.0006,#ATTENDANTS.ENGLISH_1H6,2,34,247,22,passive
1.01.0006,#Bedford_H5,2,34,247,22,passive
1.01.0006,#CardinalBeaufort_1H6,1,34,247,22,passive
1.01.0006,#Exeter_H5,2,34,247,22,passive
1.01.0006,#Gloucester_2H4,2,34,247,22,passive
1.01.0006,#HERALDS.ENGLISH_1H6,2,34,247,22,passive
1.01.0006,#Somerset_1H6,2,34,247,22,passive
1.01.0006,#Warwick_2H4,2,34,247,22,passive
#Bedford_H5,1.01.0006,0,4,29,23,active
