source,target,n_lines,n_tokens,edge_type
#Alanson_1H6,1.02.0011,4,32,active
#Alanson_1H6,1.02.0012,9,57,active
#Alanson_1H6,1.02.0017,6,44,active
#Alanson_1H6,1.06.0038,2,19,active
#Alanson_1H6,2.01.0042,5,37,active
#Alanson_1H6,2.01.0043,3,22,active
#Alanson_1H6,3.02.0079,1,2,active
#Alanson_1H6,3.03.0085,5,39,active
#Alanson_1H6,3.03.0086,2,15,active
#Alanson_1H6,5.02.0116,2,16,active
#Alanson_1H6,5.04.0132,11,76,active
#Basset_1H6,3.04.0088,10,83,active
#Basset_1H6,4.01.0093,15,108,active
#Bastard_1H6,1.02.0013,13,103,active
#Bastard_1H6,2.01.0042,2,17,active
#Bastard_1H6,2.01.0043,2,10,active
#Bastard_1H6,3.02.0076,3,22,active
#Bastard_1H6,3.02.0077,2,15,active
#Bastard_1H6,3.03.0085,2,16,active
#Bastard_1H6,3.03.0086,1,8,active
#Bastard_1H6,4.07.0109,4,31,active
#Bedford_H5,1.01.0001,21,158,active
#Bedford_H5,1.01.0002,3,27,active
#Bedford_H5,1.01.0003,5,37,active
#Bedford_H5,1.01.0005,3,20,active
#Bedford_H5,1.01.0006,13,105,active
#Bedford_H5,1.01.0007,2,14,active
#Bedford_H5,2.01.0041,6,42,active
#Bedford_H5,2.02.0045,3,23,active
#Bedford_H5,2.02.0047,4,33,active
#Bedford_H5,2.02.0048,3,22,active
#Bedford_H5,3.02.0079,1,9,active
#Bedford_H5,3.02.0080,8,64,active
#Bedford_H5,3.02.0083,5,41,active
#Boy_1H6,1.04.0027,2,15,active
#Boy_1H6,1.04.0028,2,17,active
#Burgundy_1H6,2.01.0041,6,40,active
#Burgundy_1H6,2.02.0047,8,64,active
#Burgundy_1H6,2.02.0048,4,33,active
#Burgundy_1H6,3.02.0079,3,26,active
#Burgundy_1H6,3.02.0080,2,15,active
#Burgundy_1H6,3.02.0084,4,25,active
#Burgundy_1H6,3.03.0086,12,88,active
#Burgundy_1H6,4.07.0109,3,24,active
#Burgundy_1H6,5.02.0117,2,19,active
#CardinalBeaufort_1H6,1.01.0001,9,73,active
#CardinalBeaufort_1H6,1.01.0006,1,7,active
#CardinalBeaufort_1H6,1.01.0010,5,39,active
#CardinalBeaufort_1H6,1.03.0023,8,64,active
#CardinalBeaufort_1H6,1.03.0024,7,50,active
#CardinalBeaufort_1H6,1.03.0025,4,30,active
#CardinalBeaufort_1H6,3.01.0062,27,196,active
#CardinalBeaufort_1H6,3.01.0067,4,36,active
#CardinalBeaufort_1H6,3.01.0071,2,15,active
